date,ts_code,direction,price,shares,amount,commission,status,reason
20200123,601398.SH,BUY,5.72,5800,33176.0,4.9764,FILLED,
20200123,601288.SH,BUY,3.52,9400,33088.0,4.9632,FILLED,
20200123,601857.SH,BUY,5.64,5900,33276.0,4.9914,FILLED,
20200123,601318.SH,BUY,83.49,300,25047.0,3.7570499999999996,FILLED,
20200123,601988.SH,BUY,3.61,9200,33212.0,4.9818,FILLED,
20200123,600036.SH,BUY,36.81,900,33129.0,4.9693499999999995,FILLED,
20200123,601628.SH,BUY,32.26,1000,32259.999999999996,4.838999999999999,FILLED,
20200123,000858.SZ,BUY,126.16,200,25232.0,3.7847999999999997,FILLED,
20200123,600028.SH,BUY,4.94,6700,33098.0,4.9647,FILLED,
20200123,600276.SH,BUY,87.99,300,26397.0,3.9595499999999997,FILLED,
20200123,000651.SZ,BUY,63.94,500,31970.0,4.7955,FILLED,
20200123,600900.SH,BUY,17.15,1900,32584.999999999996,4.887749999999999,FILLED,
20200123,000333.SZ,BUY,55.1,600,33060.0,4.959,FILLED,
20200123,601166.SH,BUY,18.59,1700,31603.0,4.740449999999999,FILLED,
20200123,600000.SH,BUY,11.35,2900,32915.0,4.93725,FILLED,
20200123,000001.SZ,BUY,15.54,2100,32634.0,4.895099999999999,FILLED,
20200123,002415.SZ,BUY,36.0,900,32400.0,4.859999999999999,FILLED,
20200123,603288.SH,BUY,107.21,300,32162.999999999996,4.824449999999999,FILLED,
20200123,601088.SH,BUY,17.28,1900,32832.0,4.924799999999999,FILLED,
20200123,000002.SZ,BUY,28.98,1100,31878.0,4.7817,FILLED,
20200123,600104.SH,BUY,22.61,1400,31654.0,4.7481,FILLED,
20200123,002475.SZ,BUY,45.15,700,31605.0,4.740749999999999,FILLED,
20200123,600030.SH,BUY,23.9,1300,31069.999999999996,4.660499999999999,FILLED,
20200123,601601.SH,BUY,35.96,900,32364.0,4.8546,FILLED,
20200123,601668.SH,BUY,5.47,6000,32820.0,4.922999999999999,FILLED,
20200123,600016.SH,BUY,6.08,5400,32832.0,4.924799999999999,FILLED,
20200123,601328.SH,BUY,5.47,6000,32820.0,4.922999999999999,FILLED,
20200123,600585.SH,BUY,48.0,600,28800.0,4.319999999999999,FILLED,
20200123,601998.SH,BUY,5.82,5700,33174.0,4.9761,FILLED,
20200228,601288.SH,SELL,3.41,100,341.0,0.051149999999999994,FILLED,
20200228,601988.SH,SELL,3.55,200,710.0,0.1065,FILLED,
20200228,600900.SH,SELL,17.03,100,1703.0,0.25544999999999995,FILLED,
20200228,000002.SZ,SELL,29.59,100,2959.0,0.44384999999999997,FILLED,
20200228,002475.SZ,SELL,47.8,100,4780.0,0.717,FILLED,
20200228,601668.SH,SELL,5.37,100,537.0,0.08055,FILLED,
20200228,600585.SH,SELL,54.86,100,5486.0,0.8229,FILLED,
20200228,601998.SH,SELL,5.43,5700,30951.0,4.64265,FILLED,
20200228,601398.SH,BUY,5.3,200,1060.0,0.15899999999999997,FILLED,
20200228,601318.SH,BUY,77.72,100,7772.0,1.1658,FILLED,
20200228,601857.SH,BUY,5.07,400,2028.0,0.30419999999999997,FILLED,
20200228,600028.SH,BUY,4.6,200,919.9999999999999,0.13799999999999998,FILLED,
20200228,601166.SH,BUY,17.29,100,1729.0,0.25934999999999997,FILLED,
20200228,000001.SZ,BUY,14.5,100,1450.0,0.21749999999999997,FILLED,
20200228,601088.SH,BUY,16.0,100,1600.0,0.24,FILLED,
20200228,002352.SZ,BUY,48.95,600,29370.0,4.4055,FILLED,
20200228,601328.SH,BUY,5.2,100,520.0,0.078,FILLED,
20200228,600016.SH,BUY,5.72,200,1144.0,0.17159999999999997,FILLED,
20200228,601601.SH,BUY,31.89,100,3189.0,0.47834999999999994,FILLED,
20200331,601398.SH,SELL,5.15,100,515.0,0.07725,FILLED,
20200331,601288.SH,SELL,3.37,300,1011.0,0.15164999999999998,FILLED,
20200331,601988.SH,SELL,3.48,300,1044.0,0.1566,FILLED,
20200331,600028.SH,SELL,4.43,100,443.0,0.06645,FILLED,
20200331,600900.SH,SELL,17.29,100,1729.0,0.25934999999999997,FILLED,
20200331,603288.SH,SELL,125.17,100,12517.0,1.8775499999999998,FILLED,
20200331,601088.SH,SELL,16.24,200,3247.9999999999995,0.4871999999999999,FILLED,
20200331,601601.SH,SELL,28.22,1000,28220.0,4.233,FILLED,
20200331,601668.SH,SELL,5.27,200,1054.0,0.1581,FILLED,
20200331,600016.SH,SELL,5.71,300,1713.0,0.25694999999999996,FILLED,
20200331,601328.SH,SELL,5.16,200,1032.0,0.1548,FILLED,
20200331,601857.SH,BUY,4.62,300,1386.0,0.20789999999999997,FILLED,
20200331,601628.SH,BUY,26.34,100,2634.0,0.39509999999999995,FILLED,
20200331,601166.SH,BUY,15.91,100,1591.0,0.23864999999999997,FILLED,
20200331,600000.SH,BUY,10.15,100,1015.0,0.15225,FILLED,
20200331,000002.SZ,BUY,25.65,100,2565.0,0.38475,FILLED,
20200331,000001.SZ,BUY,12.8,100,1280.0,0.19199999999999998,FILLED,
20200331,002415.SZ,BUY,27.9,100,2790.0,0.4185,FILLED,
20200331,002475.SZ,BUY,38.16,200,7631.999999999999,1.1447999999999998,FILLED,
20200331,600048.SH,BUY,14.87,2000,29740.0,4.460999999999999,FILLED,
20200430,000333.SZ,SELL,53.75,100,5375.0,0.8062499999999999,FILLED,
20200430,600000.SH,SELL,10.63,100,1063.0,0.15944999999999998,FILLED,
20200430,000001.SZ,SELL,13.93,100,1393.0,0.20894999999999997,FILLED,
20200430,002415.SZ,SELL,32.06,100,3206.0,0.48089999999999994,FILLED,
20200430,002475.SZ,SELL,47.31,200,9462.0,1.4192999999999998,FILLED,
20200430,600048.SH,SELL,16.24,100,1623.9999999999998,0.24359999999999996,FILLED,
20200430,601398.SH,BUY,5.17,200,1034.0,0.1551,FILLED,
20200430,601288.SH,BUY,3.46,200,692.0,0.10379999999999999,FILLED,
20200430,601988.SH,BUY,3.48,400,1392.0,0.20879999999999999,FILLED,
20200430,601857.SH,BUY,4.44,500,2220.0,0.33299999999999996,FILLED,
20200430,600028.SH,BUY,4.46,300,1338.0,0.2007,FILLED,
20200430,600900.SH,BUY,17.45,100,1745.0,0.26175,FILLED,
20200430,601088.SH,BUY,15.93,100,1593.0,0.23894999999999997,FILLED,
20200430,600104.SH,BUY,18.9,200,3779.9999999999995,0.5669999999999998,FILLED,
20200430,601668.SH,BUY,5.24,300,1572.0,0.23579999999999998,FILLED,
20200430,600016.SH,BUY,5.89,100,589.0,0.08835,FILLED,
20200430,601328.SH,BUY,5.18,200,1036.0,0.15539999999999998,FILLED,
20200529,601398.SH,SELL,5.12,100,512.0,0.0768,FILLED,
20200529,601288.SH,SELL,3.4,200,680.0,0.102,FILLED,
20200529,601988.SH,SELL,3.45,200,690.0,0.1035,FILLED,
20200529,600900.SH,SELL,17.39,100,1739.0,0.26084999999999997,FILLED,
20200529,601088.SH,SELL,16.38,100,1638.0,0.24569999999999997,FILLED,
20200529,601328.SH,SELL,5.11,100,511.00000000000006,0.07665,FILLED,
20200529,600048.SH,SELL,14.36,1900,27284.0,4.0926,FILLED,
20200529,601857.SH,BUY,4.25,100,425.0,0.06375,FILLED,
20200529,601628.SH,BUY,25.6,100,2560.0,0.38399999999999995,FILLED,
20200529,600028.SH,BUY,4.14,300,1242.0,0.1863,FILLED,
20200529,000001.SZ,BUY,13.0,100,1300.0,0.19499999999999998,FILLED,
20200529,002415.SZ,BUY,27.47,200,5494.0,0.8240999999999999,FILLED,
20200529,600104.SH,BUY,17.92,100,1792.0000000000002,0.2688,FILLED,
20200529,601668.SH,BUY,5.0,100,500.0,0.075,FILLED,
20200529,601888.SH,BUY,101.23,300,30369.0,4.55535,FILLED,
20200630,601628.SH,SELL,27.21,100,2721.0,0.40814999999999996,FILLED,
20200630,000858.SZ,SELL,171.12,100,17112.0,2.5667999999999997,FILLED,
20200630,600900.SH,SELL,18.94,100,1894.0000000000002,0.2841,FILLED,
20200630,002415.SZ,SELL,30.35,100,3035.0,0.45524999999999993,FILLED,
20200630,601668.SH,SELL,4.77,6100,29096.999999999996,4.3645499999999995,FILLED,
20200630,002352.SZ,SELL,54.7,100,5470.0,0.8204999999999999,FILLED,
20200630,601888.SH,SELL,154.03,100,15403.0,2.31045,FILLED,
20200630,601398.SH,BUY,4.98,400,1992.0000000000002,0.2988,FILLED,
20200630,601288.SH,BUY,3.38,400,1352.0,0.20279999999999998,FILLED,
20200630,601988.SH,BUY,3.48,200,696.0,0.10439999999999999,FILLED,
20200630,601857.SH,BUY,4.19,400,1676.0000000000002,0.2514,FILLED,
20200630,600028.SH,BUY,3.91,700,2737.0,0.41054999999999997,FILLED,
20200630,601166.SH,BUY,15.78,100,1578.0,0.23669999999999997,FILLED,
20200630,600000.SH,BUY,10.58,100,1058.0,0.15869999999999998,FILLED,
20200630,000002.SZ,BUY,26.14,100,2614.0,0.39209999999999995,FILLED,
20200630,000001.SZ,BUY,12.8,100,1280.0,0.19199999999999998,FILLED,
20200630,601088.SH,BUY,14.36,400,5744.0,0.8615999999999999,FILLED,
20200630,300750.SZ,BUY,174.36,100,17436.0,2.6153999999999997,FILLED,
20200630,600585.SH,BUY,52.91,100,5291.0,0.79365,FILLED,
20200630,601328.SH,BUY,5.13,200,1026.0,0.15389999999999998,FILLED,
20200630,600016.SH,BUY,5.67,200,1134.0,0.17009999999999997,FILLED,
