date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000905.SZ,excess_000905.SZ
2020-02-28,-0.03876608,29,-0.03232770,-0.00643839,-0.07670043,0.03793435
2020-03-31,-0.04617045,29,-0.04513677,-0.00103368,-0.05329154,0.00712109
2020-04-30,0.04238246,29,0.03991788,0.00246458,-0.01986755,0.06225001
2020-05-29,-0.03356025,29,-0.00270307,-0.03085719,0.02195946,-0.05551971
2020-06-30,0.03734196,29,0.04639082,-0.00904886,0.06611570,-0.02877375
2020-07-31,0.08793855,29,0.10900098,-0.02106243,0.11937984,-0.03144130
2020-08-31,0.03353878,29,0.02588243,0.00765635,-0.00277008,0.03630886
2020-09-30,-0.01308854,29,-0.05230927,0.03922073,-0.07916667,0.06607813
2020-10-30,0.02916933,29,0.00201376,0.02715556,-0.00904977,0.03821910
2020-11-30,0.04779341,29,0.05185949,-0.00406608,0.10350076,-0.05570736
2020-12-31,0.03430297,29,0.02397408,0.01032889,-0.01103448,0.04533745
2021-01-29,0.02189291,29,0.00287927,0.01901364,-0.07949791,0.10139082
2021-02-26,-0.01163582,29,0.00746790,-0.01910372,0.00303030,-0.01466612
2021-03-31,-0.03634548,29,-0.01914145,-0.01720402,0.07854985,-0.11489532
2021-04-30,-0.00406599,27,0.00143667,-0.00550266,-0.05322129,0.04915530
2021-05-31,0.01416909,27,0.04892020,-0.03475111,0.00443787,0.00973122
2021-06-30,-0.03917886,27,-0.00671566,-0.03246320,-0.01914580,-0.02003306
2021-07-30,-0.10015009,28,-0.05397632,-0.04617377,-0.05255255,-0.04759753
2021-08-31,-0.01530848,28,0.04314612,-0.05845460,0.05705230,-0.07236078
2021-09-30,0.03352854,28,0.00683606,0.02669248,-0.00749625,0.04102480
2021-10-29,0.01507259,27,-0.00583793,0.02091052,-0.04229607,0.05736866
2021-11-30,-0.06206194,27,0.00466578,-0.06672772,0.17823344,-0.24029538
2021-12-31,0.05478699,27,0.02129366,0.03349333,0.00669344,0.04809355
2022-01-28,-0.04883583,28,-0.07647057,0.02763474,-0.05319149,0.00435566
2022-02-28,0.01092608,28,0.03000699,-0.01908092,0.07443820,-0.06351213
2022-03-31,-0.05437339,28,-0.06068310,0.00630971,0.00653595,-0.06090934
2022-04-29,-0.01186000,27,-0.06307740,0.05121740,-0.10909091,0.09723091
2022-05-31,-0.00449991,28,0.04573740,-0.05023731,0.22594752,-0.23044744
2022-06-30,0.05343551,26,0.06659151,-0.01315600,-0.06064209,0.11407761
2022-07-29,-0.07155494,27,-0.04277562,-0.02877933,0.01265823,-0.08421317
2022-08-31,0.00398507,28,-0.01570755,0.01969262,0.00750000,-0.00351493
2022-09-30,-0.02943622,26,-0.05550895,0.02607273,-0.12158809,0.09215187
2022-10-31,-0.08350261,27,-0.04328396,-0.04021865,0.02401130,-0.10751391
2022-11-30,0.10208786,27,0.08911489,0.01297298,0.05241379,0.04967407
2022-12-30,0.01986928,27,-0.01969876,0.03956804,-0.05373526,0.07360454
2023-01-31,0.03640902,27,0.05386773,-0.01745871,0.06648199,-0.03007298
2023-02-28,-0.01338033,27,0.00735213,-0.02073246,-0.03376623,0.02038590
2023-03-31,0.00300380,27,-0.00205668,0.00506048,-0.03091398,0.03391777
2023-04-28,0.01964009,29,0.01540377,0.00423631,0.04576976,-0.02612968
2023-05-31,-0.04824003,28,-0.03572085,-0.01251918,-0.00132626,-0.04691377
2023-06-30,0.00160805,29,-0.00078079,0.00238884,0.03320053,-0.03159249
2023-07-31,0.03331274,29,0.02778756,0.00552518,0.04370180,-0.01038906
2023-08-31,-0.04654633,29,-0.05200891,0.00546258,-0.10221675,0.05567042
2023-09-28,-0.00514384,29,-0.00301329,-0.00213054,0.01234568,-0.01748951
2023-10-31,-0.02400583,29,-0.02948254,0.00547670,-0.04878049,0.02477465
2023-11-30,-0.02158346,28,0.00361144,-0.02519490,0.03276353,-0.05434700
2023-12-29,-0.01009849,28,-0.01806727,0.00796877,-0.01103448,0.00093599
2024-01-31,-0.00864277,29,-0.06265233,0.05400957,-0.11854951,0.10990675
2024-02-29,0.06958954,29,0.08126917,-0.01167963,0.01107595,0.05851359
2024-03-29,0.02013550,29,0.00862163,0.01151387,0.00782473,0.01231078
2024-04-30,0.03558286,29,0.02093197,0.01465089,0.00000000,0.03558286
2024-05-31,-0.00264174,29,-0.00580100,0.00315926,-0.01708075,0.01443900
2024-06-28,-0.00449577,29,-0.03868410,0.03418833,-0.10742496,0.10292919
2024-07-31,-0.02133581,29,-0.00965609,-0.01167973,0.03362832,-0.05496413
2024-08-30,-0.00783702,29,-0.03284904,0.02501202,-0.04452055,0.03668353
