date,strategy,bench_000001.SH,bench_000905.SZ
2020-01-23,999862.14,1000000.00,1000000.00
2020-02-28,961101.40,967672.30,923299.57
2020-03-31,916726.92,923994.70,874095.51
2020-04-30,955580.06,960878.62,856729.38
2020-05-29,923510.55,958281.29,875542.69
2020-06-30,957996.24,1002736.75,933429.81
2020-07-31,1042241.04,1112036.03,1044862.52
2020-08-31,1077196.53,1140818.22,1041968.16
2020-09-30,1063097.60,1081142.86,959479.02
2020-10-30,1094107.44,1083320.03,950795.95
2020-11-30,1146398.56,1139500.45,1049204.05
2020-12-31,1185723.43,1166818.92,1037626.63
2021-01-29,1211682.37,1170178.50,955137.48
2021-02-26,1197583.45,1178917.28,958031.84
2021-03-31,1154056.71,1156351.09,1033285.09
2021-04-30,1149364.33,1158012.38,978292.33
2021-05-31,1165649.78,1214662.58,982633.86
2021-06-30,1119980.95,1206505.32,963820.55
2021-07-30,1007814.76,1141382.61,913169.32
2021-08-31,992386.65,1190628.84,965267.73
2021-09-30,1025659.93,1198768.05,958031.84
2021-10-29,1041119.28,1191769.73,917510.85
2021-11-30,976505.40,1197330.27,1081041.97
2021-12-31,1030005.19,1222825.82,1088277.86
2022-01-28,979704.03,1129315.63,1030390.74
2022-02-28,990408.35,1163202.99,1107091.17
2022-03-31,936556.49,1092616.23,1114327.06
2022-04-29,925448.93,1023696.84,992764.11
2022-05-31,921284.49,1070518.06,1217076.70
2022-06-30,970513.80,1141805.48,1143270.62
2022-07-29,901068.74,1092964.05,1157742.40
2022-08-31,904659.56,1075796.26,1166425.47
2022-09-30,878029.80,1016079.94,1024602.03
2022-10-31,804712.02,972099.98,1049204.05
2022-11-30,886863.35,1058728.56,1104196.82
2022-12-30,904484.69,1037872.92,1044862.52
2023-01-31,937416.09,1093780.77,1114327.06
2023-02-28,924873.15,1101822.39,1076700.43
2023-03-31,927651.28,1099556.29,1043415.34
2023-04-28,945870.43,1116493.61,1091172.21
2023-05-31,900241.61,1076611.51,1089725.04
2023-06-30,901689.24,1075770.90,1125904.49
2023-07-31,931726.98,1105663.94,1175108.54
2023-08-31,888358.51,1048159.57,1054992.76
2023-09-28,883788.94,1045001.15,1068017.37
2023-10-31,862572.85,1014191.87,1015918.96
2023-11-30,843955.54,1017854.56,1049204.05
2023-12-29,835432.86,999464.71,1037626.63
2024-01-31,828212.41,936845.92,914616.50
2024-02-29,885847.33,1012982.61,924746.74
2024-03-29,903684.31,1021716.17,931982.63
2024-04-30,935839.98,1043102.70,931982.63
2024-05-31,933367.73,1037051.66,916063.68
2024-06-28,929171.52,996934.25,817655.57
2024-07-31,909346.89,987307.76,845151.95
2024-08-30,902220.32,954875.65,807525.33
2024-09-30,1024048.08,1120935.97,934876.99
2024-10-31,977950.56,1101896.00,949348.77
2024-11-29,980980.79,1117562.34,966714.91
2024-12-31,1013900.40,1126064.63,1036179.45
2025-01-27,983542.85,1092077.95,1039073.81
2025-02-28,985287.33,1115694.93,1005788.71
2025-03-31,997957.35,1120683.59,1094066.57
2025-04-30,973994.96,1101629.58,1069464.54
2025-05-30,1005972.31,1124628.15,1153400.87
2025-06-30,1035304.30,1157195.73,1164978.29
2025-07-31,1036949.67,1200461.77,1201157.74
2025-08-29,1091289.84,1296116.57,1280752.53
2025-09-30,1097125.34,1304465.23,1186685.96
2025-10-31,1119184.84,1328658.71,1512301.01
2025-11-28,1113534.86,1306420.12,1564399.42
2025-12-31,1121482.61,1333379.01,1891461.65
