date,ts_code,name,shares,buy_price,buy_date,current_price,market_value,pnl_pct
20180228,002415.SZ,海康威视,600,39.9399,20180131,42.57,25542.0,6.59
20180228,002027.SZ,分众传媒,1700,14.3143,20180131,15.02,25534.0,4.93
20180228,600066.SH,宇通客车,1100,21.9419,20180131,23.2,25520.0,5.73
20180228,603899.SH,晨光股份,900,25.2853,20180131,27.94,25146.0,10.5
20180228,600900.SH,长江电力,1500,15.9159,20180131,16.47,24705.0,3.48
20180228,600377.SH,宁沪高速,2500,9.97,20180131,9.86,24650.0,-1.1
20180228,600009.SH,上海机场,500,46.9369,20180131,48.87,24435.0,4.12
20180228,600816.SH,建元信托,1900,12.983,20180131,12.84,24396.0,-1.1
20180228,600177.SH,雅戈尔,2700,9.1191,20180131,9.01,24327.0,-1.2
20180228,000883.SZ,湖北能源,5300,4.6847,20180131,4.55,24115.0,-2.87
20180228,600176.SH,中国巨石,1500,16.5565,20180131,15.96,23940.0,-3.6
20180228,600023.SH,浙能电力,4300,5.8058,20180131,5.56,23908.0,-4.23
20180228,600642.SH,申能股份,4100,6.036,20180131,5.82,23862.0,-3.58
20180228,601158.SH,重庆水务,3700,6.5866,20180131,6.43,23791.0,-2.38
20180228,600741.SH,华域汽车,900,26.5065,20180131,26.27,23643.0,-0.89
20180228,600516.SH,方大炭素,800,29.6696,20180131,29.55,23640.0,-0.4
20180228,600219.SH,南山铝业,7000,3.5335,20180131,3.37,23590.0,-4.63
20180228,600660.SH,福耀玻璃,900,27.1171,20180131,26.18,23562.0,-3.46
20180228,002294.SZ,信立泰,600,38.9789,20180131,39.18,23508.0,0.52
20180228,601328.SH,交通银行,3600,6.7868,20180131,6.5,23400.0,-4.23
20180228,600886.SH,国投电力,3400,7.1972,20180131,6.88,23392.0,-4.41
20180228,600867.SH,通化东宝,1000,22.8328,20180131,23.38,23380.0,2.4
20180228,600350.SH,山东高速,3900,6.3363,20180131,5.99,23361.0,-5.47
20180228,601006.SH,大秦铁路,2500,9.6596,20180131,9.32,23300.0,-3.52
20180228,601288.SH,农业银行,5600,4.4645,20180131,4.13,23128.0,-7.49
20180228,002602.SZ,世纪华通,700,33.2332,20180131,32.8,22960.0,-1.3
20180228,600674.SH,川投能源,2500,9.7397,20180131,9.18,22950.0,-5.75
20180228,600016.SH,民生银行,2700,9.0691,20180131,8.49,22923.0,-6.39
20180228,600887.SH,伊利股份,700,34.1341,20180131,32.45,22715.0,-4.93
20180228,600201.SH,生物股份,800,30.1001,20180131,28.36,22688.0,-5.78
20180228,600688.SH,上海石化,3800,6.5565,20180131,5.86,22268.0,-10.62
20180228,601398.SH,工商银行,3300,7.4875,20180131,6.67,22011.0,-10.92
20180228,600276.SH,恒瑞医药,300,75.7657,20180131,72.48,21744.0,-4.34
20180228,601238.SH,广汽集团,1000,24.024,20180131,21.62,21620.0,-10.01
20180228,601939.SH,建设银行,2600,9.5195,20180131,8.31,21606.0,-12.71
20180228,600036.SH,招商银行,700,33.9739,20180131,30.3,21210.0,-10.81
20180228,000513.SZ,丽珠集团,300,73.4834,20180131,68.48,20544.0,-6.81
20180228,300072.SZ,海新能科,600,38.6086,20180131,33.61,20166.0,-12.95
20180228,000858.SZ,五粮液,200,84.4644,20180131,74.28,14856.0,-12.06
20180330,600867.SH,通化东宝,1000,22.8328,20180131,26.74,26740.0,17.11
20180330,600276.SH,恒瑞医药,300,75.7657,20180131,87.01,26103.0,14.84
20180330,002294.SZ,信立泰,600,38.9789,20180131,43.3,25980.0,11.09
20180330,600886.SH,国投电力,3500,7.1883,20180131,7.11,24885.0,-1.09
20180330,300015.SZ,爱尔眼科,600,36.3363,20180228,41.18,24708.0,13.33
20180330,601158.SH,重庆水务,3700,6.5866,20180131,6.65,24605.0,0.96
20180330,603899.SH,晨光股份,800,25.2853,20180131,30.71,24568.0,21.45
20180330,600688.SH,上海石化,4100,6.506,20180131,5.97,24477.0,-8.24
20180330,600023.SH,浙能电力,4300,5.8058,20180131,5.53,23779.0,-4.75
20180330,600674.SH,川投能源,2600,9.7186,20180131,9.1,23660.0,-6.36
20180330,600642.SH,申能股份,4100,6.036,20180131,5.76,23616.0,-4.57
20180330,002602.SZ,世纪华通,700,33.2332,20180131,33.43,23401.0,0.59
20180330,600377.SH,宁沪高速,2400,9.97,20180131,9.66,23184.0,-3.11
20180330,600350.SH,山东高速,4000,6.3278,20180131,5.77,23080.0,-8.82
20180330,000883.SZ,湖北能源,5300,4.6847,20180131,4.34,23002.0,-7.36
20180330,300072.SZ,海新能科,700,37.8993,20180131,32.4,22680.0,-14.51
20180330,601288.SH,农业银行,5800,4.4531,20180131,3.91,22678.0,-12.2
20180330,600219.SH,南山铝业,7100,3.5313,20180131,3.18,22578.0,-9.95
20180330,601939.SH,建设银行,2900,9.3952,20180131,7.75,22475.0,-17.51
20180330,600900.SH,长江电力,1400,15.9159,20180131,16.02,22428.0,0.65
20180330,600660.SH,福耀玻璃,900,27.1171,20180131,24.77,22293.0,-8.66
20180330,601398.SH,工商银行,3600,7.4199,20180131,6.09,21924.0,-17.92
20180330,600004.SH,白云机场,1400,16.3864,20180228,15.64,21896.0,-4.55
20180330,600741.SH,华域汽车,900,26.5065,20180131,24.23,21807.0,-8.59
20180330,000513.SZ,丽珠集团,300,73.4834,20180131,72.6,21780.0,-1.2
20180330,002304.SZ,洋河股份,200,118.108,20180228,107.99,21598.0,-8.57
20180330,600516.SH,方大炭素,800,29.6696,20180131,26.5,21200.0,-10.68
20180330,600816.SH,建元信托,1800,12.983,20180131,11.73,21114.0,-9.65
20180330,601088.SH,中国神华,1000,24.1842,20180228,20.85,20850.0,-13.79
20180330,601225.SH,陕西煤业,2700,8.7387,20180228,7.71,20817.0,-11.77
20180330,601006.SH,大秦铁路,2500,9.6596,20180131,8.28,20700.0,-14.28
20180330,002415.SZ,海康威视,500,39.9399,20180131,41.3,20650.0,3.41
20180330,002027.SZ,分众传媒,1600,14.3143,20180131,12.89,20624.0,-9.95
20180330,600036.SH,招商银行,700,33.9739,20180131,29.09,20363.0,-14.38
20180330,600887.SH,伊利股份,700,34.1341,20180131,28.49,19943.0,-16.54
20180330,000858.SZ,五粮液,300,81.0943,20180131,66.36,19908.0,-18.17
20180330,600507.SH,方大特钢,1200,19.5595,20180228,16.45,19740.0,-15.9
20180330,600009.SH,上海机场,400,46.9369,20180131,48.84,19536.0,4.05
20180330,000661.SZ,长春高新,100,162.5624,20180228,183.58,18358.0,12.93
20180427,600566.SH,济川药业,500,46.026,20180330,50.26,25130.0,9.2
20180427,603288.SH,海天味业,400,56.8168,20180330,61.97,24788.0,9.07
20180427,002602.SZ,世纪华通,700,33.2332,20180131,35.07,24549.0,5.53
20180427,601225.SH,陕西煤业,3000,8.6366,20180228,8.0,24000.0,-7.37
20180427,600398.SH,海澜之家,2000,11.5015,20180330,11.89,23780.0,3.38
20180427,600036.SH,招商银行,800,33.3671,20180131,29.33,23464.0,-12.1
20180427,600816.SH,建元信托,2000,12.8588,20180131,11.66,23320.0,-9.32
20180427,601006.SH,大秦铁路,2800,9.5127,20180131,8.29,23212.0,-12.85
20180427,000883.SZ,湖北能源,5400,4.6784,20180131,4.27,23058.0,-8.73
20180427,601088.SH,中国神华,1100,23.8829,20180228,20.94,23034.0,-12.32
20180427,600018.SH,上港集团,3300,7.057,20180330,6.97,23001.0,-1.23
20180427,601288.SH,农业银行,6000,4.4351,20180131,3.81,22860.0,-14.09
20180427,600004.SH,白云机场,1500,16.3377,20180228,15.22,22830.0,-6.84
20180427,601398.SH,工商银行,3800,7.3502,20180131,6.0,22800.0,-18.37
20180427,600688.SH,上海石化,3900,6.506,20180131,5.82,22698.0,-10.54
20180427,601158.SH,重庆水务,3500,6.5866,20180131,6.45,22575.0,-2.07
20180427,600900.SH,长江电力,1400,15.9159,20180131,16.11,22554.0,1.22
20180427,600642.SH,申能股份,4100,6.036,20180131,5.49,22509.0,-9.05
20180427,600886.SH,国投电力,3300,7.1883,20180131,6.81,22473.0,-5.26
