date,quality_score,relative_momentum_score,value_score,lowvol_score,composite_score
2018-02-28,-0.02257401,-0.01936065,-0.01623304,-0.01926363,-0.02000163
2018-03-30,-0.01745435,-0.01458601,-0.01328349,-0.01567179,-0.01555742
2018-04-27,-0.01331676,-0.01126324,-0.01126917,-0.01282367,-0.01221693
2018-05-31,-0.00237436,-0.00213120,-0.00192149,-0.00219783,-0.00219484
2018-06-29,-0.07846953,-0.07681082,-0.06495239,-0.07303274,-0.07504589
2018-07-31,0.00900757,0.00888646,0.00651027,0.00803847,0.00844522
2018-08-31,-0.03116435,-0.02990082,-0.02481592,-0.02881622,-0.02941763
2018-09-28,0.01976114,0.01884346,0.01657783,0.01868263,0.01880068
2018-10-31,-0.07512429,-0.07236403,-0.06529980,-0.06935876,-0.07181970
2018-11-30,0.04244542,0.04196200,0.03739814,0.04561116,0.04199399
2018-12-28,-0.02424520,-0.02335322,-0.02210481,-0.02621280,-0.02390709
2019-01-31,0.02642015,0.02542887,0.02388038,0.02877037,0.02604477
2019-02-28,0.05608749,0.04935350,0.04887816,0.05685385,0.05276415
2019-03-29,0.04280824,0.03410305,0.03334583,0.04216938,0.03824623
2019-04-30,0.00588483,0.00497411,0.00458414,0.00548411,0.00531087
2019-05-31,-0.02768169,-0.02454863,-0.01988987,-0.02349755,-0.02478873
2019-06-28,0.01966613,0.01818096,0.01385385,0.01681042,0.01784612
2019-07-31,-0.00811554,-0.00739444,-0.00579923,-0.00687291,-0.00732932
2019-08-30,0.00428147,0.00389949,0.00329486,0.00386187,0.00393685
2019-09-30,-0.00270625,-0.00238502,-0.00193095,-0.00237576,-0.00242795
2019-10-31,-0.00243576,-0.00217909,-0.00170068,-0.00206230,-0.00217964
2019-11-29,0.00206269,0.00187301,0.00138397,0.00164771,0.00183225
2019-12-31,0.04181992,0.03439090,0.02793379,0.03441543,0.03602617
2020-01-23,-0.01969238,-0.01638853,-0.01473293,-0.01753846,-0.01746903
2020-02-28,-0.01863902,-0.01568223,-0.01343153,-0.01772599,-0.01668606
2020-03-31,-0.00975334,-0.00860290,-0.00707563,-0.00902486,-0.00883976
2020-04-30,0.03173544,0.02919531,0.02699214,0.02949101,0.02979823
2020-05-29,-0.01785333,-0.01603964,-0.01403767,-0.01626240,-0.01640755
2020-06-30,0.02285438,0.02147924,0.01962463,0.02152313,0.02168893
2020-07-31,0.07508910,0.06690549,0.06024903,0.07143320,0.06945044
2020-08-31,0.03545211,0.03102684,0.02616439,0.03293599,0.03213269
2020-09-30,-0.02480198,-0.02187636,-0.01760998,-0.02158565,-0.02221676
2020-10-30,-0.00171662,-0.00146278,-0.00136574,-0.00151287,-0.00154459
2020-11-30,0.03028573,0.02854770,0.02020159,0.02431867,0.02726974
2020-12-31,0.05215459,0.04847976,0.04010023,0.04587789,0.04811874
2021-01-29,0.04519887,0.04129871,0.03194856,0.03996917,0.04106181
2021-02-26,0.00086601,0.00076477,0.00063246,0.00074165,0.00077689
2021-03-31,0.00451452,0.00423848,0.00341725,0.00351918,0.00410401
2021-04-30,0.00022829,0.00022867,0.00023776,0.00023051,0.00023017
2021-05-31,0.01386399,0.01293458,0.01106366,0.01126628,0.01272899
2021-06-30,-0.01070678,-0.01078056,-0.00817761,-0.00898827,-0.01009545
2021-07-30,-0.04431533,-0.04757740,-0.03971076,-0.04129454,-0.04431325
2021-08-31,0.04222864,0.04145330,0.03683535,0.03829019,0.04055751
2021-09-30,-0.00468951,-0.00446200,-0.00364066,-0.00439797,-0.00440882
2021-10-29,-0.00084397,-0.00083812,-0.00068448,-0.00078254,-0.00080878
2021-11-30,-0.00715213,-0.00694384,-0.00595575,-0.00695624,-0.00687039
2021-12-31,0.02066664,0.01844424,0.01723740,0.01868461,0.01907711
2022-01-28,-0.04011478,-0.03811279,-0.03468608,-0.03952434,-0.03851121
