date,port_ret,n_stocks,bench_ret_000300.SH,excess_000300.SH
2018-02-28,-0.03077258,39,-0.05899511,0.02822253
2018-03-30,-0.02381430,39,-0.03110212,0.00728783
2018-04-27,-0.01875262,39,-0.03632712,0.01757450
2018-05-31,-0.00342430,40,0.01211097,-0.01553526
2018-06-29,-0.11577185,44,-0.07663403,-0.03913782
2018-07-31,0.01280521,44,0.00190041,0.01090481
2018-08-31,-0.04493174,43,-0.05206682,0.00713508
2018-09-28,0.02892421,43,0.03129740,-0.00237319
2018-10-31,-0.11019529,44,-0.08288825,-0.02730704
2018-11-30,0.06376954,40,0.00598214,0.05778740
2018-12-28,-0.03649961,41,-0.05107224,0.01457264
2019-01-31,0.03929037,40,0.06343456,-0.02414420
2019-02-28,0.07886327,40,0.14609332,-0.06723005
2019-03-29,0.05749063,40,0.05531491,0.00217572
2019-04-30,0.00825403,40,0.01055429,-0.00230026
2019-05-31,-0.03800654,39,-0.07242689,0.03442035
2019-06-28,0.02712087,39,0.05394197,-0.02682110
2019-07-31,-0.01115581,39,0.00255427,-0.01371009
2019-08-30,0.00599282,39,-0.00932705,0.01531987
2019-09-30,-0.00366112,39,0.00393251,-0.00759363
2019-10-31,-0.00328740,39,0.01893385,-0.02222125
2019-11-29,0.00280740,39,-0.01494340,0.01775081
2019-12-31,0.05517503,39,0.06997507,-0.01480004
2020-01-23,-0.02672528,40,-0.02262393,-0.00410134
2020-02-28,-0.02528372,37,-0.01594757,-0.00933615
2020-03-31,-0.01363272,38,-0.06443923,0.05080650
2020-04-30,0.04549327,37,0.06142501,-0.01593174
2020-05-29,-0.02529801,37,-0.01164297,-0.01365504
2020-06-30,0.03361238,38,0.07678788,-0.04317550
2020-07-31,0.10714980,39,0.12754254,-0.02039274
2020-08-31,0.05015634,38,0.02580786,0.02434847
2020-09-30,-0.03503216,40,-0.04751033,0.01247818
2020-10-30,-0.00247202,39,0.02352937,-0.02600138
2020-11-30,0.04260206,40,0.05642157,-0.01381951
2020-12-31,0.07483141,37,0.05060965,0.02422176
2021-01-29,0.06383153,38,0.02699449,0.03683703
2021-02-26,0.00121233,38,-0.00284077,0.00405310
2021-03-31,0.00642967,38,-0.05404031,0.06046998
2021-04-30,0.00036367,40,0.01488172,-0.01451805
2021-05-31,0.02035155,36,0.04061307,-0.02026151
2021-06-30,-0.01617565,36,-0.02016828,0.00399263
2021-07-30,-0.07022880,40,-0.07903297,0.00880417
2021-08-31,0.06514707,39,-0.00115556,0.06630263
2021-09-30,-0.00703863,39,0.01264620,-0.01968483
2021-10-29,-0.00129918,38,0.00871027,-0.01000945
2021-11-30,-0.01093318,38,-0.01563408,0.00470090
2021-12-31,0.03049304,39,0.02242275,0.00807029
2022-01-28,-0.06146865,39,-0.07622932,0.01476067
2022-02-28,0.01469111,39,0.00391648,0.01077463
2022-03-31,-0.06663079,39,-0.07836684,0.01173605
2022-04-29,-0.02031252,40,-0.04886941,0.02855688
2022-05-31,0.00368863,38,0.01874305,-0.01505442
2022-06-30,0.02544660,39,0.09617292,-0.07072632
2022-07-29,-0.07967400,38,-0.07021363,-0.00946037
2022-08-31,0.01522357,37,-0.02188476,0.03710833
2022-09-30,-0.04352658,37,-0.06716490,0.02363832
2022-10-31,-0.04906403,39,-0.07784253,0.02877850
2022-11-30,0.05564059,40,0.09813685,-0.04249626
2022-12-30,-0.03382506,41,0.00482666,-0.03865172
2023-01-31,0.04793327,40,0.07367019,-0.02573692
2023-02-28,0.01956295,37,-0.02102528,0.04058823
2023-03-31,-0.01386466,39,-0.00455417,-0.00931050
2023-04-28,0.01195373,41,-0.00539134,0.01734507
2023-05-31,-0.02867634,40,-0.05721953,0.02854319
2023-06-30,-0.01503463,39,0.01155922,-0.02659385
2023-07-31,0.01669575,38,0.04480954,-0.02811379
2023-08-31,-0.03218134,37,-0.06211339,0.02993205
2023-09-28,0.00638508,37,-0.02011825,0.02650333
2023-10-31,-0.03422219,37,-0.03171461,-0.00250758
2023-11-30,0.01008391,38,-0.02135834,0.03144225
2023-12-29,0.00130831,40,-0.01861817,0.01992648
2024-01-31,0.01536347,39,-0.06288289,0.07824636
2024-02-29,0.06048435,40,0.09352967,-0.03304532
2024-03-29,0.00721761,38,0.00608680,0.00113081
2024-04-30,0.04191550,40,0.01891457,0.02300092
2024-05-31,0.00612976,39,-0.00678882,0.01291858
2024-06-28,-0.03677338,39,-0.03303637,-0.00373701
2024-07-31,-0.03800246,38,-0.00565411,-0.03234835
2024-08-30,-0.01446661,40,-0.03505205,0.02058543
2024-09-30,0.12723302,41,0.20967527,-0.08244225
2024-10-31,-0.06093793,40,-0.03156284,-0.02937509
2024-11-29,-0.00021716,40,0.00656472,-0.00678188
2024-12-31,0.02929300,40,0.00467951,0.02461349
2025-01-27,-0.02633350,40,-0.02994495,0.00361145
2025-02-28,-0.02688895,39,0.01911631,-0.04600526
2025-03-31,0.03591949,40,-0.00070516,0.03662465
2025-04-30,-0.03415158,39,-0.03002982,-0.00412176
2025-05-30,0.02013517,39,0.01847514,0.00166004
2025-06-30,-0.00155718,40,0.02495859,-0.02651578
2025-07-31,-0.00360960,40,0.03544444,-0.03905404
2025-08-29,0.06616500,40,0.10333909,-0.03717409
2025-09-30,0.00485489,40,0.03200847,-0.02715359
2025-10-31,0.02355565,39,-0.00000558,0.02356123
2025-11-28,-0.00081543,39,-0.02456672,0.02375129
2025-12-31,0.00190972,40,0.02281547,-0.02090575
