date,strategy,bench_000300.SH
2018-01-31,998927.64,1000000.00
2018-02-28,968188.06,941004.89
2018-03-30,945131.34,911737.64
2018-04-27,927407.65,878616.84
2018-05-31,924231.93,889257.73
2018-06-29,817231.89,821110.33
2018-07-31,827696.72,822670.77
2018-08-31,790506.87,779836.92
2018-09-28,813371.66,804243.79
2018-10-31,723741.93,737581.43
2018-11-30,769894.62,741993.74
2018-12-28,741793.77,704098.46
2019-01-31,770939.12,748762.63
2019-02-28,831737.90,858151.85
2019-03-29,879555.04,905620.45
2019-04-30,886814.91,915178.62
2019-05-31,853110.14,848895.08
2019-06-28,876247.23,894686.16
2019-07-31,866471.98,896971.43
2019-08-30,871664.59,888605.33
2019-09-30,868473.32,892099.78
2019-10-31,865618.30,908990.66
2019-11-29,868048.44,895407.25
2019-12-31,915943.04,958063.43
2020-01-23,891464.21,936388.27
2020-02-28,868924.68,921455.15
2020-03-31,857078.87,862077.30
2020-04-30,896070.19,915030.40
2020-05-29,873401.40,904376.73
2020-06-30,902758.50,973821.90
2020-07-31,999488.89,1098025.62
2020-08-31,1049619.59,1126363.31
2020-09-30,1012849.15,1072849.41
2020-10-30,1010345.37,1098092.88
2020-11-30,1053388.16,1160049.00
2020-12-31,1132214.68,1218758.67
2021-01-29,1204485.67,1251658.45
2021-02-26,1205945.91,1248102.77
2021-03-31,1213699.75,1180654.92
2021-04-30,1214141.14,1198225.09
2021-05-31,1238850.80,1246888.69
2021-06-30,1218811.58,1221741.09
2021-07-30,1133215.90,1125183.25
2021-08-31,1207041.60,1123883.04
2021-09-30,1198545.68,1138095.88
2021-10-29,1196988.55,1148009.01
2021-11-30,1183901.66,1130060.94
2021-12-31,1220002.42,1155400.01
2022-01-28,1145010.52,1067324.66
2022-02-28,1161831.99,1071504.81
2022-03-31,1084418.21,987534.36
2022-04-29,1062390.94,939274.14
2022-05-31,1066309.71,956879.01
2022-06-30,1093443.67,1048904.85
2022-07-29,1006324.64,975257.43
2022-08-31,1021644.49,953914.16
2022-09-30,977175.80,889844.60
2022-10-31,929231.62,820576.85
2022-11-30,980934.62,901105.68
2022-12-30,947754.45,905455.01
2023-01-31,993183.42,972160.05
2023-02-28,1012613.02,951720.11
2023-03-31,998573.48,947385.82
2023-04-28,1010510.16,942278.14
2023-05-31,981532.43,888361.43
2023-06-30,966775.45,898630.20
2023-07-31,982916.49,938897.41
2023-08-31,951284.92,880579.30
2023-09-28,957358.95,862863.59
2023-10-31,924596.03,835498.20
2023-11-30,933919.57,817653.35
2023-12-29,935141.43,802430.14
2024-01-31,949508.45,751971.01
2024-02-29,1006938.85,822302.61
2024-03-29,1014206.54,827307.81
2024-04-30,1056717.51,842955.98
2024-05-31,1063194.93,837233.30
2024-06-28,1024097.66,809574.16
2024-07-31,985179.43,804996.73
2024-08-30,970927.22,776779.95
2024-09-30,1094461.22,939651.49
2024-10-31,1027767.02,909993.42
2024-11-29,1027543.83,915967.28
2024-12-31,1057643.67,920253.56
2025-01-27,1029792.21,892696.61
2025-02-28,1002102.18,909761.68
2025-03-31,1038097.18,909120.16
2025-04-30,1002644.52,881819.44
2025-05-30,1022832.94,898111.17
2025-06-30,1021240.20,920526.76
2025-07-31,1017553.93,953154.31
2025-08-29,1084880.39,1051652.42
2025-09-30,1090147.36,1085314.21
2025-10-31,1115826.49,1085308.15
2025-11-28,1114916.61,1058645.68
2025-12-31,1117045.79,1082799.18
