date,port_ret,n_stocks,bench_ret_000300.SH,excess_000300.SH
2018-02-28,-0.05657628,40,-0.05899511,0.00241882
2018-03-30,-0.03839533,40,-0.03110212,-0.00729320
2018-04-27,-0.02806162,40,-0.03632712,0.00826550
2018-05-31,-0.03214098,41,0.01211097,-0.04425194
2018-06-29,-0.07815041,41,-0.07663403,-0.00151637
2018-07-31,0.01557021,41,0.00190041,0.01366980
2018-08-31,-0.01970691,40,-0.05206682,0.03235991
2018-09-28,0.02539613,40,0.03129740,-0.00590127
2018-10-31,-0.06420692,41,-0.08288825,0.01868133
2018-11-30,-0.00212260,40,0.00598214,-0.00810474
2018-12-28,-0.03381607,41,-0.05107224,0.01725618
2019-01-31,0.02956677,41,0.06343456,-0.03386780
2019-02-28,0.08789793,41,0.14609332,-0.05819538
2019-03-29,0.02556470,41,0.05531491,-0.02975022
2019-04-30,-0.00761614,41,0.01055429,-0.01817043
2019-05-31,-0.06171827,41,-0.07242689,0.01070862
2019-06-28,0.00632612,41,0.05394197,-0.04761585
2019-07-31,-0.00993261,41,0.00255427,-0.01248689
2019-08-30,-0.05780424,41,-0.00932705,-0.04847718
2019-09-30,0.01212313,41,0.00393251,0.00819062
2019-10-31,0.00416499,41,0.01893385,-0.01476886
2019-11-29,-0.01429003,41,-0.01494340,0.00065338
2019-12-31,0.05438113,41,0.06997507,-0.01559394
2020-01-23,-0.03627866,41,-0.02262393,-0.01365473
2020-02-28,-0.03117675,41,-0.01594757,-0.01522918
2020-03-31,-0.04449274,41,-0.06443923,0.01994649
2020-04-30,-0.00230006,42,0.06142501,-0.06372507
2020-05-29,-0.03878476,42,-0.01164297,-0.02714180
2020-06-30,0.02313298,42,0.07678788,-0.05365490
2020-07-31,0.07400466,42,0.12754254,-0.05353788
2020-08-31,0.02252940,42,0.02580786,-0.00327846
2020-09-30,-0.04043056,42,-0.04751033,0.00707977
2020-10-30,-0.01229380,42,0.02352937,-0.03582317
2020-11-30,0.06989172,42,0.05642157,0.01347015
2020-12-31,-0.05193941,42,0.05060965,-0.10254906
2021-01-29,-0.01976092,42,0.02699449,-0.04675541
2021-02-26,0.04666240,42,-0.00284077,0.04950317
2021-03-31,0.04563232,42,-0.05404031,0.09967263
2021-04-30,-0.03717935,42,0.01488172,-0.05206107
2021-05-31,0.00866158,42,0.04061307,-0.03195149
2021-06-30,-0.03077787,42,-0.02016828,-0.01060959
2021-07-30,-0.06843369,42,-0.07903297,0.01059928
2021-08-31,0.20388183,41,-0.00115556,0.20503740
2021-09-30,0.04834472,42,0.01264620,0.03569852
2021-10-29,-0.03664014,42,0.00871027,-0.04535041
2021-11-30,-0.04486267,43,-0.01563408,-0.02922859
2021-12-31,0.07295304,42,0.02242275,0.05053029
2022-01-28,-0.02912062,42,-0.07622932,0.04710870
2022-02-28,0.01063075,42,0.00391648,0.00671427
2022-03-31,-0.01482969,42,-0.07836684,0.06353715
2022-04-29,-0.01569068,42,-0.04886941,0.03317872
2022-05-31,-0.01870459,42,0.01874305,-0.03744764
2022-06-30,0.00950866,42,0.09617292,-0.08666426
2022-07-29,-0.05417403,42,-0.07021363,0.01603960
2022-08-31,0.00575505,42,-0.02188476,0.02763982
2022-09-30,-0.03612838,42,-0.06716490,0.03103652
2022-10-31,-0.04399830,42,-0.07784253,0.03384423
2022-11-30,0.09373631,42,0.09813685,-0.00440054
2022-12-30,-0.03010903,42,0.00482666,-0.03493569
2023-01-31,0.04052233,42,0.07367019,-0.03314786
2023-02-28,0.01982902,42,-0.02102528,0.04085430
2023-03-31,0.02790461,42,-0.00455417,0.03245878
2023-04-28,0.08248417,42,-0.00539134,0.08787550
2023-05-31,-0.01440368,42,-0.05721953,0.04281585
2023-06-30,-0.01599231,42,0.01155922,-0.02755153
2023-07-31,0.03381967,42,0.04480954,-0.01098987
2023-08-31,-0.05069258,42,-0.06211339,0.01142081
2023-09-28,0.01203659,42,-0.02011825,0.03215484
2023-10-31,-0.02645092,42,-0.03171461,0.00526369
2023-11-30,-0.00208657,42,-0.02135834,0.01927177
2023-12-29,-0.00761004,42,-0.01861817,0.01100813
2024-01-31,0.04818012,42,-0.06288289,0.11106300
2024-02-29,0.05344509,42,0.09352967,-0.04008459
2024-03-29,0.00869102,42,0.00608680,0.00260421
2024-04-30,0.03404928,42,0.01891457,0.01513470
2024-05-31,0.03009758,42,-0.00678882,0.03688641
2024-06-28,-0.01420900,42,-0.03303637,0.01882737
2024-07-31,-0.02354137,42,-0.00565411,-0.01788725
2024-08-30,-0.02602496,42,-0.03505205,0.00902708
2024-09-30,0.14832706,42,0.20967527,-0.06134820
2024-10-31,-0.05192871,42,-0.03156284,-0.02036587
2024-11-29,0.00033815,42,0.00656472,-0.00622658
2024-12-31,0.03612067,42,0.00467951,0.03144116
2025-01-27,-0.03463760,42,-0.02994495,-0.00469265
2025-02-28,-0.03811737,43,0.01911631,-0.05723368
2025-03-31,0.01119972,43,-0.00070516,0.01190487
2025-04-30,-0.02079240,43,-0.03002982,0.00923742
2025-05-30,0.02868873,43,0.01847514,0.01021360
2025-06-30,-0.00370405,43,0.02495859,-0.02866265
2025-07-31,0.00166115,43,0.03544444,-0.03378329
2025-08-29,0.02190079,43,0.10333909,-0.08143830
2025-09-30,-0.04644368,43,0.03200847,-0.07845216
2025-10-31,0.03861605,43,-0.00000558,0.03862163
2025-11-28,-0.00731104,43,-0.02456672,0.01725568
2025-12-31,0.00772293,43,0.02281547,-0.01509254
