date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-02-28,-0.09120550,65,-0.06361275,-0.02759275,-0.05899511,-0.03221039,-0.04018692,-0.05101858
2018-03-30,0.04200612,61,-0.02776928,0.06977539,-0.03110212,0.07310824,-0.04965920,0.09166532
2018-04-27,-0.03548568,59,-0.02734864,-0.00813705,-0.03632712,0.00084144,-0.06045082,0.02496514
2018-05-31,-0.01318659,64,0.00429627,-0.01748286,0.01211097,-0.02529755,0.01635769,-0.02954428
2018-06-29,-0.10443417,66,-0.08013494,-0.02429923,-0.07663403,-0.02780014,-0.15557940,0.05114523
2018-07-31,0.04841479,63,0.01017862,0.03823617,0.00190041,0.04651438,-0.00889454,0.05730933
2018-08-31,-0.05417639,68,-0.05254866,-0.00162774,-0.05206682,-0.00210958,-0.04871795,-0.00545845
2018-09-28,0.00347088,68,0.03526289,-0.03179202,0.03129740,-0.02782652,-0.04582210,0.04929298
2018-10-31,-0.08041639,62,-0.07746890,-0.00294749,-0.08288825,0.00247186,-0.16949153,0.08907513
2018-11-30,0.07738453,63,-0.00560773,0.08299226,0.00598214,0.07140239,0.15646259,-0.07907806
2018-12-28,-0.04458166,66,-0.03643140,-0.00815026,-0.05107224,0.00649058,-0.10882353,0.06424187
2019-01-31,0.04545230,68,0.03635925,0.00909305,0.06343456,-0.01798226,-0.01485149,0.06030379
2019-02-28,0.16577508,65,0.13788795,0.02788713,0.14609332,0.01968177,0.18927973,-0.02350465
2019-03-29,0.08946517,51,0.05093728,0.03852789,0.05531491,0.03415026,0.25070423,-0.16123905
2019-04-30,0.00616409,55,-0.00401814,0.01018223,0.01055429,-0.00439020,-0.06644144,0.07260553
2019-05-31,-0.06119417,61,-0.05835706,-0.00283711,-0.07242689,0.01123272,-0.09529554,0.03410137
2019-06-28,0.01044827,57,0.02766151,-0.01721323,0.05394197,-0.04349370,0.01866667,-0.00821839
2019-07-31,0.00237183,56,-0.01556713,0.01793896,0.00255427,-0.00018244,-0.00785340,0.01022523
2019-08-30,-0.02543120,55,-0.01577808,-0.00965312,-0.00932705,-0.01610414,-0.06200528,0.03657408
2019-09-30,-0.00434626,53,0.00656658,-0.01091284,0.00393251,-0.00827877,0.01828411,-0.02263037
2019-10-31,-0.00144685,55,0.00821527,-0.00966211,0.01893385,-0.02038069,-0.01381215,0.01236531
2019-11-29,0.00472262,56,-0.01948573,0.02420835,-0.01494340,0.01966602,-0.03781513,0.04253775
2019-12-31,0.05499483,55,0.06202781,-0.00703297,0.06997507,-0.01498024,0.08733624,-0.03234141
2020-01-23,-0.04358944,55,-0.02412882,-0.01946062,-0.02262393,-0.02096551,-0.07496653,0.03137709
2020-02-28,-0.04382266,58,-0.03232770,-0.01149496,-0.01594757,-0.02787509,-0.07670043,0.03287777
2020-03-31,-0.03700669,57,-0.04513677,0.00813007,-0.06443923,0.02743253,-0.05329154,0.01628484
2020-04-30,0.05619867,65,0.03991788,0.01628078,0.06142501,-0.00522634,-0.01986755,0.07606622
2020-05-29,-0.02552861,57,-0.00270307,-0.02282554,-0.01164297,-0.01388564,0.02195946,-0.04748807
2020-06-30,0.01933577,52,0.04639082,-0.02705504,0.07678788,-0.05745211,0.06611570,-0.04677993
2020-07-31,0.06712695,50,0.10900098,-0.04187402,0.12754254,-0.06041558,0.11937984,-0.05225289
2020-08-31,0.02862513,59,0.02588243,0.00274270,0.02580786,0.00281726,-0.00277008,0.03139521
2020-09-30,-0.03689522,63,-0.05230927,0.01541404,-0.04751033,0.01061511,-0.07916667,0.04227144
2020-10-30,0.01076828,60,0.00201376,0.00875451,0.02352937,-0.01276109,-0.00904977,0.01981805
2020-11-30,0.02131939,63,0.05185949,-0.03054010,0.05642157,-0.03510218,0.10350076,-0.08218137
2020-12-31,0.02552977,52,0.02397408,0.00155569,0.05060965,-0.02507988,-0.01103448,0.03656425
2021-01-29,0.01937388,56,0.00287927,0.01649461,0.02699449,-0.00762061,-0.07949791,0.09887179
2021-02-26,-0.00087712,44,0.00746790,-0.00834502,-0.00284077,0.00196365,0.00303030,-0.00390742
2021-03-31,-0.01797915,43,-0.01914145,0.00116230,-0.05404031,0.03606116,0.07854985,-0.09652900
2021-04-30,0.00787615,70,0.00143667,0.00643948,0.01488172,-0.00700557,-0.05322129,0.06109744
2021-05-31,0.02806964,75,0.04892020,-0.02085056,0.04061307,-0.01254343,0.00443787,0.02363177
2021-06-30,-0.00844670,70,-0.00671566,-0.00173105,-0.02016828,0.01172158,-0.01914580,0.01069910
2021-07-30,-0.03135278,79,-0.05397632,0.02262354,-0.07903297,0.04768020,-0.05255255,0.02119977
2021-08-31,0.05880483,59,0.04314612,0.01565870,-0.00115556,0.05996039,0.05705230,0.00175253
2021-09-30,0.00155618,56,0.00683606,-0.00527988,0.01264620,-0.01109001,-0.00749625,0.00905244
2021-10-29,0.00185358,59,-0.00583793,0.00769151,0.00871027,-0.00685669,-0.04229607,0.04414965
2021-11-30,0.02679127,61,0.00466578,0.02212548,-0.01563408,0.04242534,0.17823344,-0.15144217
2021-12-31,0.03599073,66,0.02129366,0.01469707,0.02242275,0.01356798,0.00669344,0.02929729
2022-01-28,-0.04968331,63,-0.07647057,0.02678726,-0.07622932,0.02654601,-0.05319149,0.00350818
2022-02-28,0.04724473,64,0.03000699,0.01723774,0.00391648,0.04332826,0.07443820,-0.02719347
2022-03-31,-0.05605618,59,-0.06068310,0.00462692,-0.07836684,0.02231066,0.00653595,-0.06259213
2022-04-29,-0.10223850,85,-0.06307740,-0.03916110,-0.04886941,-0.05336910,-0.10909091,0.00685241
2022-05-31,0.10837028,83,0.04573740,0.06263288,0.01874305,0.08962723,0.22594752,-0.11757724
2022-06-30,0.03721116,79,0.06659151,-0.02938036,0.09617292,-0.05896177,-0.06064209,0.09785325
2022-07-29,0.02009284,79,-0.04277562,0.06286846,-0.07021363,0.09030648,0.01265823,0.00743462
2022-08-31,0.00532101,79,-0.01570755,0.02102856,-0.02188476,0.02720577,0.00750000,-0.00217899
2022-09-30,-0.06632069,82,-0.05550895,-0.01081174,-0.06716490,0.00084421,-0.12158809,0.05526740
2022-10-31,0.02797570,83,-0.04328396,0.07125967,-0.07784253,0.10581823,0.02401130,0.00396441
2022-11-30,0.08896497,86,0.08911489,-0.00014992,0.09813685,-0.00917188,0.05241379,0.03655118
2022-12-30,-0.03303325,85,-0.01969876,-0.01333449,0.00482666,-0.03785991,-0.05373526,0.02070200
2023-01-31,0.06757656,82,0.05386773,0.01370883,0.07367019,-0.00609363,0.06648199,0.00109456
2023-02-28,0.03620359,87,0.00735213,0.02885146,-0.02102528,0.05722887,-0.03376623,0.06996982
2023-03-31,-0.02144772,79,-0.00205668,-0.01939104,-0.00455417,-0.01689355,-0.03091398,0.00946626
2023-04-28,-0.00687237,77,0.01540377,-0.02227615,-0.00539134,-0.00148104,0.04576976,-0.05264214
2023-05-31,0.00766648,87,-0.03572085,0.04338734,-0.05721953,0.06488601,-0.00132626,0.00899274
2023-06-30,0.01485496,92,-0.00078079,0.01563575,0.01155922,0.00329574,0.03320053,-0.01834557
2023-07-31,0.06628274,80,0.02778756,0.03849518,0.04480954,0.02147320,0.04370180,0.02258094
2023-08-31,-0.03596083,84,-0.05200891,0.01604808,-0.06211339,0.02615256,-0.10221675,0.06625592
2023-09-28,0.00877034,88,-0.00301329,0.01178363,-0.02011825,0.02888859,0.01234568,-0.00357534
2023-10-31,0.00094364,84,-0.02948254,0.03042617,-0.03171461,0.03265825,-0.04878049,0.04972412
2023-11-30,0.02839005,81,0.00361144,0.02477862,-0.02135834,0.04974840,0.03276353,-0.00437348
2023-12-29,-0.01481693,86,-0.01806727,0.00325034,-0.01861817,0.00380125,-0.01103448,-0.00378244
2024-01-31,-0.12160154,94,-0.06265233,-0.05894921,-0.06288289,-0.05871865,-0.11854951,-0.00305203
2024-02-29,-0.00224303,94,0.08126917,-0.08351220,0.09352967,-0.09577270,0.01107595,-0.01331898
2024-03-29,0.02503813,84,0.00862163,0.01641649,0.00608680,0.01895132,0.00782473,0.01721340
2024-04-30,0.00569937,85,0.02093197,-0.01523260,0.01891457,-0.01321520,0.00000000,0.00569937
2024-05-31,-0.02364487,92,-0.00580100,-0.01784387,-0.00678882,-0.01685605,-0.01708075,-0.00656412
2024-06-28,-0.10903077,89,-0.03868410,-0.07034667,-0.03303637,-0.07599440,-0.10742496,-0.00160581
2024-07-31,0.03901792,82,-0.00965609,0.04867401,-0.00565411,0.04467203,0.03362832,0.00538960
2024-08-30,-0.02578554,87,-0.03284904,0.00706350,-0.03505205,0.00926650,-0.04452055,0.01873501
2024-09-30,0.19567680,86,0.17390779,0.02176900,0.20967527,-0.01399847,0.15770609,0.03797071
2024-10-31,0.04451404,82,-0.01698578,0.06149981,-0.03156284,0.07607688,0.01547988,0.02903416
2024-11-29,0.08359782,84,0.01421762,0.06938020,0.00656472,0.07703309,0.01829268,0.06530514
2024-12-31,-0.04201467,79,0.00760789,-0.04962256,0.00467951,-0.04669418,0.07185629,-0.11387096
2025-01-27,-0.00870117,84,-0.03018182,0.02148064,-0.02994495,0.02124377,0.00279330,-0.01149447
2025-02-28,0.01897305,76,0.02162573,-0.00265267,0.01911631,-0.00014326,-0.03203343,0.05100648
2025-03-31,0.01482354,75,0.00447135,0.01035219,-0.00070516,0.01552870,0.08776978,-0.07294625
2025-04-30,-0.00429508,76,-0.01700213,0.01270705,-0.03002982,0.02573474,-0.02248677,0.01819169
2025-05-30,0.02191602,93,0.02087687,0.00103916,0.01847514,0.00344089,0.07848444,-0.05656842
2025-06-30,0.01524551,85,0.02895853,-0.01371302,0.02495859,-0.00971309,0.01003764,0.00520787
2025-07-31,0.04898568,90,0.03738870,0.01159698,0.03544444,0.01354125,0.03105590,0.01792978
2025-08-29,0.04299920,77,0.07968167,-0.03668247,0.10333909,-0.06033990,0.06626506,-0.02326586
2025-09-30,-0.02756935,73,0.00644128,-0.03401063,0.03200847,-0.05957782,-0.07344633,0.04587698
2025-10-31,0.03099778,87,0.01854667,0.01245111,-0.00000558,0.03100337,0.27439024,-0.24339246
2025-11-28,0.01264698,89,-0.01673763,0.02938460,-0.02456672,0.03721370,0.03444976,-0.02180278
2025-12-31,0.00018502,75,0.02063570,-0.02045068,0.02281547,-0.02263045,0.20906568,-0.20888066
