date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-31,998392.20,1000000.00,1000000.00,1000000.00
2018-02-28,907333.34,936387.25,941004.89,959813.08
2018-03-30,945446.89,910384.45,911737.64,912149.53
2018-04-27,911897.06,885486.68,878616.84,857009.35
2018-05-31,899872.25,889290.97,889257.73,871028.04
2018-06-29,805894.84,818027.69,821110.33,735514.02
2018-07-31,844912.07,826354.09,822670.77,728971.96
2018-08-31,799137.78,782930.29,779836.92,693457.94
2018-09-28,801911.49,810538.68,804243.79,661682.24
2018-10-31,737424.66,747747.13,737581.43,549532.71
2018-11-30,794489.92,743553.97,741993.74,635514.02
2018-12-28,759070.24,716465.26,704098.46,566355.14
2019-01-31,793571.73,742515.40,748762.63,557943.93
2019-02-28,925126.15,844899.33,858151.85,663551.40
2019-03-29,1007892.72,887936.21,905620.45,829906.54
2019-04-30,1014105.46,884368.35,915178.62,774766.36
2019-05-31,952048.12,832759.22,848895.08,700934.58
2019-06-28,961995.38,855794.59,894686.16,714018.69
2019-07-31,964277.07,842472.32,896971.43,708411.21
2019-08-30,939754.35,829179.73,888605.33,664485.98
2019-09-30,935669.93,834624.60,892099.78,676635.51
2019-10-31,934316.16,841481.27,908990.66,667289.72
2019-11-29,938728.58,825084.39,895407.25,642056.07
2019-12-31,990353.80,876262.56,958063.43,698130.84
2020-01-23,947184.83,855119.38,936388.27,645794.39
2020-02-28,905676.67,827475.34,921455.15,596261.68
2020-03-31,872160.57,790125.78,862077.30,564485.98
2020-04-30,921174.83,821665.93,915030.40,553271.03
2020-05-29,897658.52,819444.91,904376.73,565420.56
2020-06-30,915015.44,857459.62,973821.90,602803.74
2020-07-31,976437.64,950923.56,1098025.62,674766.36
2020-08-31,1004388.29,975535.77,1126363.31,672897.20
2020-09-30,967331.16,924506.21,1072849.41,619626.17
2020-10-30,977747.65,926367.95,1098092.88,614018.69
2020-11-30,998592.63,974408.92,1160049.00,677570.09
2020-12-31,1024086.47,997769.47,1218758.67,670093.46
2021-01-29,1043927.00,1000642.32,1251658.45,616822.43
2021-02-26,1043011.35,1008115.01,1248102.77,618691.59
2021-03-31,1024258.89,988818.22,1180654.92,667289.72
2021-04-30,1032326.11,990238.83,1198225.09,631775.70
2021-05-31,1061303.13,1038681.51,1246888.69,634579.44
2021-06-30,1052338.62,1031706.09,1221741.09,622429.91
2021-07-30,1019344.88,976018.39,1125183.25,589719.63
2021-08-31,1079287.28,1018129.80,1123883.04,623364.49
2021-09-30,1080966.85,1025089.80,1138095.88,618691.59
2021-10-29,1082970.51,1019105.40,1148009.01,592523.36
2021-11-30,1111984.66,1023860.32,1130060.94,698130.84
2021-12-31,1152005.80,1045662.05,1155400.01,702803.74
2022-01-28,1094770.34,965699.68,1067324.66,665420.56
2022-02-28,1146492.47,994677.42,1071504.81,714953.27
2022-03-31,1082224.48,934317.31,987534.36,719626.17
2022-04-29,971579.47,875383.00,939274.14,641121.50
2022-05-31,1076869.81,915420.74,956879.01,785981.31
2022-06-30,1116941.38,976380.00,1048904.85,738317.76
2022-07-29,1139383.91,934614.74,975257.43,747663.55
2022-08-31,1145446.58,919934.23,953914.16,753271.03
2022-09-30,1069479.77,868869.65,889844.60,661682.24
2022-10-31,1099399.22,831261.53,820576.85,677570.09
2022-11-30,1197207.24,905339.31,901105.68,713084.11
2022-12-30,1157659.59,887505.25,905455.01,674766.36
2023-01-31,1235890.24,935313.14,972160.05,719626.17
2023-02-28,1280633.90,942189.68,951720.11,695327.10
2023-03-31,1253167.22,940251.89,947385.82,673831.78
2023-04-28,1244554.99,954735.32,942278.14,704672.90
2023-05-31,1254096.35,920631.36,888361.43,703738.32
2023-06-30,1272725.90,919912.54,898630.20,727102.80
2023-07-31,1357085.66,945474.67,938897.41,758878.50
2023-08-31,1308283.73,896301.56,880579.30,681308.41
2023-09-28,1319757.82,893600.74,862863.59,689719.63
2023-10-31,1321003.19,867255.12,835498.20,656074.77
2023-11-30,1358506.54,870387.16,817653.35,677570.09
2023-12-29,1338377.65,854661.65,802430.14,670093.46
2024-01-31,1175628.87,801115.10,751971.01,590654.21
2024-02-29,1172991.90,866221.06,822302.61,597196.26
2024-03-29,1202361.42,873689.30,827307.81,601869.16
2024-04-30,1209214.12,891977.34,842955.98,601869.16
2024-05-31,1180622.41,886802.97,837233.30,591588.79
2024-06-28,1051898.24,852497.80,809574.16,528037.38
2024-07-31,1092941.12,844266.00,804996.73,545794.39
2024-08-30,1064759.04,816532.67,776779.95,521495.33
2024-09-30,1273107.68,958534.07,939651.49,603738.32
2024-10-31,1329778.84,942252.62,909993.42,613084.11
2024-11-29,1440945.45,955649.21,915967.28,624299.07
2024-12-31,1380404.60,962919.68,920253.56,669158.88
2025-01-27,1368393.46,933857.02,892696.61,671028.04
2025-02-28,1394356.06,954052.35,909761.68,649532.71
2025-03-31,1415025.35,958318.26,909120.16,706542.06
2025-04-30,1408947.70,942024.80,881819.44,690654.21
2025-05-30,1439826.23,961691.33,898111.17,744859.81
2025-06-30,1461777.11,989540.49,920526.76,752336.45
2025-07-31,1533383.26,1026538.13,953154.31,775700.93
2025-08-29,1599317.51,1108334.40,1051652.42,827102.80
2025-09-30,1555225.37,1115473.50,1085314.21,766355.14
2025-10-31,1603433.91,1136161.82,1085308.15,976635.51
2025-11-28,1623712.50,1117145.16,1058645.68,1010280.37
2025-12-31,1624012.92,1140198.24,1082799.18,1221495.33
