date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,0.00215253,61,0.03299014,-0.03083761,0.00187793,0.00027460
2018-02-12,-0.10986046,61,-0.10470486,-0.00515560,-0.14245548,0.03259502
2018-02-26,0.04621989,63,0.05562502,-0.00940513,0.12896175,-0.08274186
2018-03-12,0.02720463,63,-0.00086332,0.02806795,0.03097773,-0.00377311
2018-03-26,-0.09218528,64,-0.05800867,-0.03417661,-0.13333333,0.04114806
2018-04-09,0.01104852,65,0.00145890,0.00958962,0.11484290,-0.10379438
2018-04-23,-0.01503574,56,-0.02239485,0.00735911,-0.10106900,0.08603326
2018-05-07,0.00445431,59,0.02237045,-0.01791614,0.01081081,-0.00635650
2018-05-21,0.01383367,61,0.02461088,-0.01077722,0.02459893,-0.01076526
2018-06-04,-0.05636218,55,-0.03816291,-0.01819927,-0.03340292,-0.02295925
2018-06-15,-0.04005457,50,-0.02241534,-0.01763923,-0.05507559,0.01502103
2018-07-02,-0.07978166,56,-0.08151949,0.00173782,-0.11428571,0.03450405
2018-07-16,0.00201162,58,0.01386561,-0.01185400,-0.02064516,0.02265678
2018-07-30,0.00215234,64,0.01954758,-0.01739524,0.02898551,-0.02683317
2018-08-13,-0.04032950,62,-0.02899131,-0.01133819,0.02048656,-0.06081605
2018-08-27,0.00684065,64,-0.00178508,0.00862573,-0.05646173,0.06330239
2018-09-10,-0.06658604,66,-0.04006420,-0.02652184,-0.05984043,-0.00674562
2018-09-21,0.04451195,66,0.04794944,-0.00343749,0.01697313,0.02753882
2018-10-08,-0.02480679,56,-0.02894543,0.00413864,-0.04033380,0.01552700
2018-10-22,-0.02915656,60,-0.02268874,-0.00646782,-0.13043478,0.10127822
2018-11-05,0.02597335,53,0.00397548,0.02199787,0.02500000,0.00097335
2018-11-19,0.02583414,51,0.01428700,0.01154714,0.10406504,-0.07823090
2018-12-03,-0.02737944,54,-0.01801864,-0.00936080,0.02356406,-0.05094350
2018-12-17,-0.00591103,52,-0.02140438,0.01549334,-0.06906475,0.06315371
2018-12-28,-0.03046139,52,-0.04006103,0.00959964,-0.06336940,0.03290800
2019-01-14,0.01134250,58,0.01678863,-0.00544613,0.05280528,-0.04146278
2019-01-28,0.02199899,62,0.02413922,-0.00214024,-0.03291536,0.05491435
2019-02-11,0.02732781,64,0.02191752,0.00541028,0.00810373,0.01922408
2019-02-25,0.05622843,66,0.11582496,-0.05959653,0.13504823,-0.07881980
2019-03-11,0.00407219,62,0.02218940,-0.01811721,0.02832861,-0.02425643
2019-03-25,0.03263165,59,0.00529859,0.02733306,0.33471074,-0.30207909
2019-04-08,0.05116159,61,0.06630855,-0.01514696,-0.03818369,0.08934529
2019-04-22,0.01466262,56,-0.00917394,0.02383656,-0.01287554,0.02753815
2019-05-06,-0.10093614,56,-0.09597963,-0.00495651,-0.18913043,0.08819430
2019-05-20,-0.01606832,55,-0.01233781,-0.00373051,0.00134048,-0.01740880
2019-06-03,-0.00463130,55,0.00678474,-0.01141604,0.01070950,-0.01534081
2019-06-17,0.00675564,66,-0.00085077,0.00760641,-0.03973510,0.04649074
2019-07-01,0.04058253,69,0.05446720,-0.01388467,0.07862069,-0.03803816
2019-07-15,-0.02677304,62,-0.03373425,0.00696121,0.00895141,-0.03572444
2019-07-29,-0.02361867,67,-0.00040048,-0.02321819,-0.03041825,0.00679958
2019-08-12,-0.06638182,53,-0.04284675,-0.02353507,-0.08496732,0.01858550
2019-08-26,0.00334088,53,0.01725506,-0.01391418,0.02428571,-0.02094484
2019-09-09,0.05429361,56,0.05628347,-0.00198986,0.05020921,0.00408441
2019-09-23,-0.02224255,56,-0.01575743,-0.00648512,-0.00132802,-0.02091453
2019-09-30,-0.01766839,68,-0.02414701,0.00647862,-0.03723404,0.01956565
2019-10-21,0.00721327,71,0.01185076,-0.00463749,-0.00690608,0.01411935
2019-11-04,0.00444456,70,0.01220363,-0.00775906,0.00556328,-0.00111872
2019-11-18,-0.04339941,74,-0.02227924,-0.02112017,-0.03181189,-0.01158752
2019-12-02,0.01782809,71,-0.01147841,0.02930650,-0.02142857,0.03925666
2019-12-16,0.04022698,72,0.03775820,0.00246878,0.04525547,-0.00502849
2019-12-30,0.01470344,53,0.01864078,-0.00393733,0.03631285,-0.02160940
2020-01-13,0.01778905,54,0.02485036,-0.00706132,0.01752022,0.00026883
2020-01-23,-0.05184063,54,-0.04462796,-0.00721267,-0.08476821,0.03292758
2020-02-10,-0.04044412,57,-0.02890626,-0.01153786,-0.07670043,0.03625631
2020-02-24,0.01628480,63,0.04869265,-0.03240785,0.04388715,-0.02760235
2020-03-09,-0.00207354,58,-0.02901215,0.02693861,0.01351351,-0.01558705
2020-03-23,-0.07991358,53,-0.09619277,0.01627919,-0.10962963,0.02971605
2020-04-03,0.04241580,53,0.03902762,0.00338818,-0.00166389,0.04407969
2020-04-20,0.02416637,66,0.03204262,-0.00787625,0.01000000,0.01416637
2020-04-30,-0.00794974,69,0.00263953,-0.01058927,-0.02310231,0.01515257
2020-05-18,0.00179727,62,0.00536187,-0.00356460,-0.01013514,0.01193240
2020-06-01,0.01214527,62,0.01391572,-0.00177045,0.13651877,-0.12437350
2020-06-15,-0.00930382,58,-0.00871243,-0.00059139,-0.03303303,0.02372921
2020-06-29,0.00766516,58,0.02473531,-0.01707015,-0.02795031,0.03561547
2020-07-13,0.11902083,63,0.16267676,-0.04365593,0.42012780,-0.30110697
2020-07-27,-0.04191125,56,-0.06913729,0.02722604,-0.20697413,0.16506288
2020-08-10,0.02860380,59,0.05429432,-0.02569052,0.04822695,-0.01962316
2020-08-24,0.00459987,61,0.00188974,0.00271013,-0.00541272,0.01001259
2020-09-07,-0.02741721,62,-0.02748303,0.00006582,-0.04353741,0.01612021
2020-09-21,-0.00986477,65,0.00739369,-0.01725846,0.00000000,-0.00986477
2020-09-30,-0.03675346,61,-0.02981156,-0.00694191,-0.05689900,0.02014554
2020-10-19,0.02986839,62,0.02940133,0.00046706,0.02413273,0.00573566
2020-11-02,-0.04360041,67,-0.02642810,-0.01717231,-0.04712813,0.00352772
2020-11-16,0.03958341,64,0.03778142,0.00180199,0.08037094,-0.04078753
2020-11-30,0.00359534,56,0.01338103,-0.00978569,0.03719599,-0.03360065
2020-12-14,-0.00863220,69,-0.00667354,-0.00195867,-0.04275862,0.03412642
2020-12-28,-0.02078128,55,0.00835984,-0.02914112,-0.02161383,0.00083256
2021-01-11,0.00363847,49,0.03950578,-0.03586731,-0.01914580,0.02278427
2021-01-25,0.01233947,38,0.02626090,-0.01392142,-0.00600601,0.01834548
2021-02-08,-0.01375798,33,-0.02532709,0.01156911,-0.04833837,0.03458039
2021-02-22,0.00101333,42,0.03113938,-0.03012605,0.06666667,-0.06565334
2021-03-08,-0.03765807,47,-0.06068199,0.02302392,0.00595238,-0.04361045
2021-03-22,-0.00422439,45,0.00643743,-0.01066182,0.06804734,-0.07227173
2021-04-02,0.01323833,39,0.01189311,0.00134522,-0.02077562,0.03401395
2021-04-19,-0.00435299,67,-0.00196416,-0.00238883,0.00282885,-0.00718185
2021-04-30,-0.02449046,81,-0.00882579,-0.01566468,-0.04654443,0.02205396
2021-05-17,0.02089719,60,0.02052868,0.00036851,0.02514793,-0.00425074
2021-05-31,0.00610488,57,0.02782041,-0.02171553,-0.02020202,0.02630690
2021-06-11,-0.01045728,63,-0.00711640,-0.00334087,-0.01325479,0.00279751
2021-06-28,-0.01019582,64,0.00463099,-0.01482681,0.00298507,-0.01318089
2021-07-12,-0.01624586,72,-0.01623127,-0.00001459,-0.02380952,0.00756366
2021-07-26,-0.01723515,72,-0.02266038,0.00542523,-0.01981707,0.00258192
2021-08-09,0.01095992,71,0.00784264,0.00311728,-0.00466563,0.01562555
2021-08-23,0.01399385,70,-0.00500845,0.01900230,0.02187500,-0.00788115
2021-09-06,0.02128427,59,0.04162258,-0.02033830,0.04740061,-0.02611634
2021-09-17,-0.00647376,57,-0.00217927,-0.00429449,0.01021898,-0.01669274
2021-09-30,-0.03499748,82,-0.01267292,-0.02232456,-0.04335260,0.00835512
2021-10-18,0.00498285,73,-0.00000810,0.00499095,-0.00906344,0.01404629
2021-11-01,-0.03371490,83,-0.00663046,-0.02708443,-0.03048780,-0.00322709
2021-11-15,0.02477665,77,-0.00315333,0.02792998,0.10534591,-0.08056926
2021-11-29,0.00440152,83,0.00831919,-0.00391767,0.06827881,-0.06387729
2021-12-13,0.03257514,80,0.03322910,-0.00065396,-0.03328895,0.06586408
2021-12-27,0.02469382,73,-0.01768716,0.04238098,0.05234160,-0.02764778
2022-01-10,0.04211175,78,-0.00621006,0.04832181,0.01701571,0.02509604
2022-01-24,-0.03530227,80,-0.01931636,-0.01598591,-0.08236808,0.04706582
2022-02-07,-0.02469475,78,-0.02682216,0.00212741,0.05049088,-0.07518563
2022-02-21,0.04849684,72,0.01779559,0.03070126,0.02002670,0.02847014
2022-03-07,-0.01643402,74,-0.03373537,0.01730135,0.03010471,-0.04653874
2022-03-21,-0.04843748,65,-0.03533193,-0.01310554,-0.07750953,0.02907205
2022-04-01,0.01452225,74,0.00892247,0.00559979,0.12121212,-0.10668987
2022-04-18,-0.01488465,83,-0.02656111,0.01167646,0.01474201,-0.02962666
2022-04-29,-0.07383921,88,-0.04645923,-0.02737998,-0.16949153,0.09565231
2022-05-16,0.03142864,81,0.00875807,0.02267056,0.11661808,-0.08518944
2022-05-30,0.01664486,78,0.02450164,-0.00785679,0.07963446,-0.06298961
2022-06-13,0.00385146,83,0.03381656,-0.02996510,-0.03506651,0.03891797
2022-06-27,-0.00601948,93,0.03797640,-0.04399587,-0.00626566,0.00024619
2022-07-11,0.00808561,70,-0.01941332,0.02749893,-0.01513241,0.02321801
2022-07-25,0.02455950,71,-0.01907180,0.04363130,0.03585147,-0.01129197
2022-08-08,0.00969517,67,-0.00413929,0.01383446,0.02224969,-0.01255452
2022-08-22,0.03217979,75,0.01262324,0.01955655,0.03748489,-0.00530509
2022-09-05,0.02187620,88,-0.02376064,0.04563684,-0.02214452,0.04402072
2022-09-19,-0.05391718,87,-0.02634757,-0.02756961,-0.11561383,0.06169665
2022-09-30,-0.03846937,84,-0.02927569,-0.00919368,-0.04582210,0.00735273
2022-10-17,0.03483608,86,0.02002116,0.01481492,0.05790960,-0.02307353
2022-10-31,-0.03823993,88,-0.06206255,0.02382262,-0.03204272,-0.00619721
2022-11-14,0.07013583,86,0.06563661,0.00449922,0.03586207,0.03427376
2022-11-28,0.00351140,84,-0.00157385,0.00508524,0.01597870,-0.01246730
2022-12-12,0.01756838,86,0.03264305,-0.01507467,0.00655308,0.01101530
2022-12-26,-0.04461684,74,-0.03569601,-0.00892083,-0.05078125,0.00616441
2023-01-09,0.02207783,72,0.03605273,-0.01397490,-0.00548697,0.02756480
2023-01-20,0.02410696,75,0.02793669,-0.00382974,0.05655172,-0.03244477
2023-02-06,0.03826292,77,-0.00799923,0.04626215,0.01174935,0.02651357
2023-02-20,0.00188147,85,0.01594483,-0.01406337,-0.04516129,0.04704276
2023-03-06,0.01124703,86,0.00963050,0.00161653,0.03108108,-0.01983405
2023-03-20,-0.04652848,90,-0.02622364,-0.02030485,-0.00524246,-0.04128602
2023-04-03,0.01643166,88,0.01900693,-0.00257526,-0.04084321,0.05727488
2023-04-17,-0.01730048,76,0.02706395,-0.04436443,0.07829670,-0.09559718
2023-04-28,-0.00931022,81,-0.01841172,0.00910150,-0.03949045,0.03018022
2023-05-15,0.03194001,82,-0.00377275,0.03571277,0.03713528,-0.00519527
2023-05-29,-0.03765481,90,-0.02696931,-0.01068549,-0.06010230,0.02244749
2023-06-12,-0.00921703,65,0.00229251,-0.01150954,0.04897959,-0.05819662
2023-06-26,-0.02650246,69,-0.02422382,-0.00227863,-0.05836576,0.03186330
2023-07-10,0.05180814,83,0.01684650,0.03496164,0.08953168,-0.03772354
2023-07-24,0.01344034,91,-0.01234044,0.02578078,0.02275601,-0.00931566
2023-08-07,0.03858618,75,0.03307996,0.00550622,-0.03831891,0.07690509
2023-08-21,-0.01060401,81,-0.05379703,0.04319302,-0.01928021,0.00867620
2023-09-04,0.02338469,79,0.02718500,-0.00380031,-0.00393185,0.02731654
2023-09-18,-0.00691748,84,-0.01609299,0.00917551,-0.01578947,0.00887199
2023-09-28,-0.01544024,83,-0.00494464,-0.01049561,-0.01336898,-0.00207126
