date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.02178658,54,0.03299014,-0.05477673,0.00187793,-0.02366452
2018-02-12,-0.09922437,51,-0.10470486,0.00548049,-0.14245548,0.04323111
2018-02-26,0.03765795,47,0.05562502,-0.01796707,0.12896175,-0.09130380
2018-03-12,0.02924353,52,-0.00086332,0.03010686,0.03097773,-0.00173420
2018-03-26,-0.07987273,50,-0.05800867,-0.02186406,-0.13333333,0.05346060
2018-04-09,0.01136419,51,0.00145890,0.00990528,0.11484290,-0.10347871
2018-04-23,-0.03340465,51,-0.02239485,-0.01100980,-0.10106900,0.06766435
2018-05-07,0.01642811,53,0.02237045,-0.00594234,0.01081081,0.00561730
2018-05-21,0.04909375,50,0.02461088,0.02448287,0.02459893,0.02449482
2018-06-04,-0.04799508,51,-0.03816291,-0.00983217,-0.03340292,-0.01459216
2018-06-15,-0.02773560,52,-0.02241534,-0.00532025,-0.05507559,0.02734000
2018-07-02,-0.06341659,47,-0.08151949,0.01810290,-0.11428571,0.05086913
2018-07-16,0.00325931,54,0.01386561,-0.01060631,-0.02064516,0.02390447
2018-07-30,0.06089470,47,0.01954758,0.04134713,0.02898551,0.03190920
2018-08-13,-0.04469712,49,-0.02899131,-0.01570582,0.02048656,-0.06518368
2018-08-27,-0.00278681,54,-0.00178508,-0.00100173,-0.05646173,0.05367492
2018-09-10,-0.10431278,56,-0.04006420,-0.06424858,-0.05984043,-0.04447235
2018-09-21,0.05419543,56,0.04794944,0.00624599,0.01697313,0.03722231
2018-10-08,-0.03049717,49,-0.02894543,-0.00155174,-0.04033380,0.00983663
2018-10-22,-0.00567976,50,-0.02268874,0.01700898,-0.13043478,0.12475503
2018-11-05,0.03531296,56,0.00397548,0.03133748,0.02500000,0.01031296
2018-11-19,0.01049358,54,0.01428700,-0.00379342,0.10406504,-0.09357146
2018-12-03,-0.01097945,52,-0.01801864,0.00703919,0.02356406,-0.03454352
2018-12-17,-0.01280958,51,-0.02140438,0.00859479,-0.06906475,0.05625516
2018-12-28,-0.04370034,47,-0.04006103,-0.00363931,-0.06336940,0.01966906
2019-01-14,0.01296692,52,0.01678863,-0.00382171,0.05280528,-0.03983836
2019-01-28,0.03808962,52,0.02413922,0.01395040,-0.03291536,0.07100498
