date,strategy,bench_000001.SH,bench_000905.SZ
2018-01-15,998382.80,1000000.00,1000000.00
2018-01-29,976631.45,1032990.14,1001877.93
2018-02-12,879725.81,924831.05,859154.93
2018-02-26,912854.48,976274.80,969953.05
2018-03-12,939549.57,975431.96,1000000.00
2018-03-26,864505.18,918848.45,866666.67
2018-04-09,874329.58,920188.96,966197.18
2018-04-23,845122.91,899581.47,868544.60
2018-05-07,859006.68,919705.51,877934.27
2018-05-21,901178.54,942340.28,899530.52
2018-06-04,857926.40,906377.83,869483.57
2018-06-15,834131.30,886061.06,821596.24
2018-07-02,781233.54,813829.82,727699.53
2018-07-16,783779.82,825114.07,712676.06
2018-07-30,831507.86,841243.05,733333.33
2018-08-13,794341.85,816854.31,748356.81
2018-08-27,792128.17,815396.17,706103.29
2018-09-10,709499.08,782727.97,663849.77
2018-09-21,747950.69,820259.34,675117.37
2018-10-08,725140.31,796516.58,647887.32
2018-10-22,721021.69,778444.62,563380.28
2018-11-05,746483.10,781539.31,577464.79
2018-11-19,754316.38,792705.16,637558.69
2018-12-03,746034.40,778421.69,652582.16
2018-12-17,736478.01,761760.06,607511.74
2018-12-28,704293.67,731243.17,569014.08
2019-01-14,713426.19,743519.74,599061.03
2019-01-28,740600.32,761467.73,579342.72
2019-02-11,757730.41,778157.22,584037.56
2019-02-25,804119.20,868287.24,662910.80
2019-03-11,793642.08,887554.02,681690.14
2019-03-25,804391.21,892256.80,909859.15
2019-04-08,840804.36,951421.06,875117.37
2019-04-22,861101.62,942692.78,863849.77
2019-05-06,814159.10,852213.47,700469.48
2019-05-20,763558.58,841699.03,701408.45
2019-06-03,803175.48,847409.73,708920.19
2019-06-17,816040.17,846688.78,680751.17
2019-07-01,859650.15,892805.55,734272.30
2019-07-15,839813.34,862687.43,740845.07
2019-07-29,842684.45,862341.94,718309.86
2019-08-12,808382.79,825393.39,657277.00
2019-08-26,812654.34,839635.60,673239.44
2019-09-09,846994.65,886893.20,707042.25
2019-09-23,825294.34,872918.05,706103.29
2019-09-30,814486.87,851839.69,679812.21
2019-10-21,823608.35,861934.63,675117.37
2019-11-04,832394.66,872453.36,678873.24
2019-11-18,813019.56,853015.76,657277.00
2019-12-02,784482.25,843224.50,643192.49
2019-12-16,839183.16,875063.14,672300.47
2019-12-30,854125.88,891374.99,696713.62
2020-01-13,866768.05,913525.99,708920.19
2020-01-23,816985.19,872757.19,648826.29
2020-02-10,790079.00,847529.04,599061.03
2020-02-24,804664.12,888797.47,625352.11
2020-03-09,789488.34,863011.55,633802.82
2020-03-23,711718.89,779996.07,564319.25
2020-04-03,747251.96,810437.46,563380.28
2020-04-20,766055.06,836406.00,569014.08
2020-04-30,776941.42,838613.72,555868.54
2020-05-18,772989.35,843110.26,550234.74
2020-06-01,773890.38,854842.75,625352.11
2020-06-15,760174.41,847394.99,604694.84
2020-06-29,768334.28,868355.56,587793.43
2020-07-13,874719.70,1009616.83,834741.78
2020-07-27,836609.11,939814.66,661971.83
2020-08-10,860669.40,990841.25,693896.71
2020-08-24,873257.43,992713.68,690140.85
2020-09-07,859522.56,965430.90,660093.90
2020-09-21,871707.08,972569.00,660093.90
2020-09-30,849661.76,943575.20,622535.21
2020-10-19,882922.61,971317.57,637558.69
2020-11-02,870818.47,945647.49,607511.74
2020-11-16,903007.28,981375.39,656338.03
2020-11-30,909380.98,994507.21,680751.17
2020-12-14,906500.33,987870.33,651643.19
2020-12-28,915596.70,996128.77,637558.69
2021-01-11,952681.78,1035481.61,625352.11
2021-01-25,980745.02,1062674.28,621596.24
2021-02-08,967867.40,1035759.84,591549.30
2021-02-22,988326.66,1068012.76,630985.92
2021-03-08,914993.34,1003203.62,634741.78
2021-03-22,919375.95,1009661.67,677934.27
2021-04-02,946402.38,1021669.68,663849.77
2021-04-19,920931.32,1019662.96,665727.70
2021-04-30,916666.67,1010663.63,634741.78
2021-05-17,914476.69,1031411.22,650704.23
2021-05-31,920339.33,1060105.50,637558.69
2021-06-11,910414.18,1052561.36,629107.98
2021-06-28,899325.19,1057435.77,630985.92
2021-07-12,877709.48,1040272.24,615962.44
2021-07-26,847297.98,1016699.28,603755.87
2021-08-09,853607.22,1024672.89,600938.97
2021-08-23,844129.53,1019540.87,614084.51
2021-09-06,903870.89,1061976.79,643192.49
2021-09-17,887386.91,1059662.46,649765.26
2021-09-30,880952.56,1046233.44,621596.24
2021-10-18,880961.99,1046224.97,615962.44
2021-11-01,866194.83,1039288.01,597183.10
2021-11-15,855590.48,1036010.80,660093.90
2021-11-29,861015.94,1044629.56,705164.32
2021-12-13,897770.92,1079341.66,681690.14
2021-12-27,897412.18,1060251.17,717370.89
2022-01-10,907786.52,1053666.95,729577.46
2022-01-24,901627.51,1033313.94,669483.57
2022-02-07,880338.59,1005598.23,703286.38
2022-02-21,890204.42,1023493.44,717370.89
2022-03-07,855313.93,988965.51,738967.14
2022-03-21,830782.60,954023.44,681690.14
