date,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,pe_ttm,roe_ttm,turnover_20,mom_3_1,mom_6_1,ret_5d_std,volume_chg,high_low_20,close_to_high_60,dv_ttm,roa_ttm,gross_margin,low_leverage,growth_revenue,growth_profit,illiq_20
2018-02-28,-0.02745544,-0.04984333,-0.03496738,-0.02710484,-0.08482148,-0.01508261,-0.04408245,-0.03596275,-0.03154307,-0.04396816,-0.03019347,-0.02568518,-0.04598269,-0.05050325,-0.04548048,-0.03759146,-0.03929948,-0.04886899,-0.06311852,-0.04213072,-0.04436540,-0.08981050
2018-03-30,0.00812438,0.01343397,0.01088748,0.00856325,0.02222367,0.00357860,0.01237552,0.00859906,0.01014592,0.01172902,0.00984933,0.00887757,0.01432780,0.01062517,0.01243759,0.00947034,0.00969936,0.01339648,0.01669682,0.01179283,0.01161695,0.02413492
2018-04-27,-0.01670852,-0.01890061,-0.01909316,-0.02063850,-0.04342298,-0.00733774,-0.02782728,-0.01876217,-0.02013997,-0.02550205,-0.01629619,-0.02115364,-0.02538325,-0.02562074,-0.02477970,-0.01784741,-0.02096114,-0.02434493,-0.03154395,-0.02660119,-0.02499507,-0.05025227
2018-05-31,-0.01044975,-0.01592694,-0.01543011,-0.01620317,-0.03218860,-0.00433671,-0.01912547,-0.01206090,-0.01458978,-0.01948497,-0.01406084,-0.01886760,-0.01879811,-0.01798151,-0.01910144,-0.00947775,-0.01330937,-0.01667551,-0.02312752,-0.02104344,-0.01926969,-0.03566730
2018-06-29,-0.01980142,-0.03030268,-0.03675878,-0.02283934,-0.06521883,-0.00915922,-0.03908756,-0.02263214,-0.02866678,-0.03235466,-0.02734126,-0.02944946,-0.03340414,-0.05117582,-0.03168739,-0.01992667,-0.02444183,-0.03535447,-0.04713461,-0.04269721,-0.03515615,-0.07310525
2018-07-31,0.01093435,0.01492611,0.01454811,0.01333553,0.02466020,0.00495300,0.01750459,0.01225177,0.01407462,0.01368208,0.01253083,0.01685646,0.01356717,0.01506295,0.01440629,0.01056330,0.01398692,0.01752777,0.02233193,0.01873058,0.01664997,0.03048391
2018-08-31,-0.02237361,-0.02475756,-0.02140184,-0.02000066,-0.04378393,-0.00988643,-0.03427094,-0.02357294,-0.02197947,-0.02908157,-0.02848160,-0.02513523,-0.02592330,-0.02752673,-0.02932761,-0.02212334,-0.02641184,-0.02994211,-0.03882000,-0.03606694,-0.03075394,-0.05707128
2018-09-28,-0.00097821,-0.00091981,-0.00112495,-0.00087748,-0.00207504,-0.00045161,-0.00151152,-0.00100856,-0.00103064,-0.00139129,-0.00120600,-0.00139559,-0.00123584,-0.00109658,-0.00125166,-0.00101186,-0.00113930,-0.00145455,-0.00193787,-0.00155601,-0.00154036,-0.00270940
2018-10-31,-0.04630235,-0.05232500,-0.03286258,-0.03408888,-0.08321550,-0.03793329,-0.03681171,-0.03797400,-0.02932109,-0.04792867,-0.05359100,-0.03806990,-0.05011411,-0.04213016,-0.04975521,-0.04558439,-0.04206705,-0.04831097,-0.04808013,-0.05331231,-0.05546298,-0.06887722
2018-11-30,0.02798207,0.02520850,0.01974930,0.02245541,0.04681340,0.02591605,0.01772835,0.02423935,0.01796754,0.02770264,0.03205951,0.02072358,0.02748694,0.01962256,0.03287191,0.02744426,0.02578472,0.02741949,0.02613794,0.02849722,0.03209161,0.03039360
