date,ts_code,direction,price,shares,amount,commission,status,reason
20180115,000737.SZ,BUY,4.496735,31800,142996.173,21.44942595,FILLED,
20180115,603611.SH,BUY,20.019985,7100,142141.89349999998,21.321284024999994,FILLED,
20180115,600313.SH,BUY,3.12468,45700,142797.87600000002,21.4196814,FILLED,
20180115,600992.SH,BUY,10.706035,13300,142390.2655,21.358539825,FILLED,
20180115,603508.SH,BUY,37.756550000000004,3700,139699.23500000002,20.95488525,FILLED,
20180115,603117.SH,BUY,9.263875,15400,142663.67500000002,21.399551250000002,FILLED,
20180115,600448.SH,BUY,5.14771,27700,142591.567,21.38873505,FILLED,
20180129,603611.SH,SELL,20.12976,7100,142921.296,21.438194399999997,FILLED,
20180129,600313.SH,SELL,3.125305,45700,142826.4385,21.423965774999996,FILLED,
20180129,600992.SH,SELL,11.382900000000001,13300,151392.57,22.708885499999997,FILLED,
20180129,603508.SH,SELL,38.3424,500,19171.199999999997,2.875679999999999,FILLED,
20180129,603117.SH,SELL,8.776815,1500,13165.222499999998,1.9747833749999995,FILLED,
20180129,600448.SH,SELL,5.072380000000001,3600,18260.568000000003,2.7390852000000003,FILLED,
20180129,000037.SZ,BUY,6.619915000000001,18500,122468.4275,18.370264125,FILLED,
20180129,000692.SZ,BUY,4.476705,27500,123109.3875,18.466408124999997,FILLED,
20180129,600747.SH,BUY,2.533795,48500,122889.0575,18.433358624999997,FILLED,
20180129,600854.SH,BUY,5.287920000000001,23200,122679.74400000002,18.4019616,FILLED,
20180212,000737.SZ,SELL,4.21367,31800,133994.70599999998,20.099205899999994,FILLED,
20180212,603508.SH,SELL,34.03886500000001,3200,108924.36800000003,16.3386552,FILLED,
20180212,603117.SH,SELL,8.577115000000001,13900,119221.89850000001,17.883284775,FILLED,
20180212,600448.SH,SELL,4.423355,24100,106602.8555,15.990428325,FILLED,
20180212,000037.SZ,SELL,5.481765,18500,101412.65250000001,15.211897875,FILLED,
20180212,000692.SZ,SELL,3.8242550000000004,27500,105167.01250000001,15.775051875,FILLED,
20180212,600747.SH,SELL,2.03694,48500,98791.59,14.818738499999998,FILLED,
20180212,600854.SH,SELL,4.5931,23200,106559.92,15.983987999999998,FILLED,
20180212,000032.SZ,BUY,7.541295000000001,16700,125939.62650000001,18.890943975,FILLED,
20180212,600178.SH,BUY,5.22783,24100,125990.703,18.898605449999998,FILLED,
20180212,000679.SZ,BUY,5.778655,21800,125974.67899999999,18.896201849999997,FILLED,
20180212,000421.SZ,BUY,5.127680000000001,24600,126140.92800000001,18.9211392,FILLED,
20180212,000922.SZ,BUY,5.918865,21300,126071.8245,18.910773674999998,FILLED,
