date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.13967521,8,0.03299014,-0.17266536,0.01817147,-0.15784668,0.00187793,-0.14155315
2018-02-12,0.02467205,7,-0.10470486,0.12937692,-0.09574890,0.12042095,-0.14245548,0.16712754
2018-02-26,0.05423875,7,0.05562502,-0.00138627,0.05869097,-0.00445221,0.12896175,-0.07472300
2018-03-12,0.06935619,12,-0.00086332,0.07021952,0.00224542,0.06711077,0.03097773,0.03837846
2018-03-26,-0.05492593,7,-0.05800867,0.00308274,-0.06002743,0.00510150,-0.13333333,0.07840740
2018-04-09,0.04844304,20,0.00145890,0.04698414,-0.00694962,0.05539267,0.11484290,-0.06639986
2018-04-23,-0.08281666,8,-0.02239485,-0.06042181,-0.02247731,-0.06033935,-0.10106900,0.01825234
2018-05-07,0.00866348,13,0.02237045,-0.01370697,0.01801809,-0.00935461,0.01081081,-0.00214733
2018-05-21,0.02292202,13,0.02461088,-0.00168886,0.02270478,0.00021724,0.02459893,-0.00167691
2018-06-04,-0.10437633,8,-0.03816291,-0.06621342,-0.02898673,-0.07538960,-0.03340292,-0.07097341
2018-06-15,0.00492310,7,-0.02241534,0.02733844,-0.01422014,0.01914324,-0.05507559,0.05999869
2018-07-02,-0.07481156,7,-0.08151949,0.00670793,-0.09204105,0.01722949,-0.11428571,0.03947415
2018-07-16,-0.02044869,12,0.01386561,-0.03431430,0.01881537,-0.03926406,-0.02064516,0.00019647
2018-07-30,0.02785654,12,0.01954758,0.00830896,0.01238261,0.01547393,0.02898551,-0.00112897
2018-08-13,-0.00840491,11,-0.02899131,0.02058640,-0.03548577,0.02708086,0.02048656,-0.02889147
2018-08-27,-0.01926054,12,-0.00178508,-0.01747546,0.00478695,-0.02404749,-0.05646173,0.03720119
2018-09-10,-0.05048391,7,-0.04006420,-0.01041971,-0.05181318,0.00132927,-0.05984043,0.00935652
2018-09-21,0.02155633,11,0.04794944,-0.02639312,0.05585563,-0.03429931,0.01697313,0.00458320
2018-10-08,-0.03393895,7,-0.02894543,-0.00499352,-0.03506445,0.00112550,-0.04033380,0.00639485
2018-10-22,-0.05401772,7,-0.02268874,-0.03132898,-0.00626747,-0.04775026,-0.13043478,0.07641706
2018-11-05,0.07839167,12,0.00397548,0.07441619,-0.00227446,0.08066613,0.02500000,0.05339167
2018-11-19,0.02829303,12,0.01428700,0.01400603,0.00973632,0.01855671,0.10406504,-0.07577201
2018-12-03,-0.03570532,20,-0.01801864,-0.01768668,-0.01021455,-0.02549077,0.02356406,-0.05926939
2018-12-17,-0.03928051,20,-0.02140438,-0.01787613,-0.03059035,-0.00869016,-0.06906475,0.02978424
2018-12-28,-0.05583916,20,-0.04006103,-0.01577813,-0.04762216,-0.00821700,-0.06336940,0.00753024
2019-01-14,0.05073040,12,0.01678863,0.03394177,0.01897624,0.03175415,0.05280528,-0.00207488
2019-01-28,0.00543040,11,0.02413922,-0.01870882,0.03781009,-0.03237969,-0.03291536,0.03834576
2019-02-11,0.01605989,11,0.02191752,-0.00585763,0.03853749,-0.02247760,0.00810373,0.00795617
2019-02-25,0.10549785,25,0.11582496,-0.01032711,0.12793411,-0.02243625,0.13504823,-0.02955038
2019-03-11,0.03570159,24,0.02218940,0.01351219,0.00012643,0.03557517,0.02832861,0.00737298
2019-03-25,0.03961104,25,0.00529859,0.03431245,0.00345061,0.03616044,0.33471074,-0.29509970
2019-04-08,0.08847740,24,0.06630855,0.02216885,0.08400163,0.00447577,-0.03818369,0.12666109
2019-04-22,-0.02258722,19,-0.00917394,-0.01341328,-0.00779293,-0.01479429,-0.01287554,-0.00971168
2019-05-06,-0.08810490,20,-0.09597963,0.00787473,-0.08470617,-0.00339872,-0.18913043,0.10102554
2019-05-20,-0.02999722,8,-0.01233781,-0.01765941,-0.01813605,-0.01186117,0.00134048,-0.03133770
2019-06-03,0.04454274,7,0.00678474,0.03775800,0.00393066,0.04061208,0.01070950,0.03383323
2019-06-17,-0.00671692,7,-0.00085077,-0.00586615,0.00628084,-0.01299777,-0.03973510,0.03301818
2019-07-01,0.10702074,11,0.05446720,0.05255354,0.07688106,0.03013968,0.07862069,0.02840005
2019-07-15,-0.02580251,11,-0.03373425,0.00793173,-0.02836106,0.00255855,0.00895141,-0.03475392
2019-07-29,0.00989455,7,-0.00040048,0.01029504,0.00786640,0.00202815,-0.03041825,0.04031280
2019-08-12,-0.06813079,7,-0.04284675,-0.02528404,-0.04025813,-0.02787267,-0.08496732,0.01683653
2019-08-26,0.00017385,11,0.01725506,-0.01708121,0.01805999,-0.01788614,0.02428571,-0.02411186
2019-09-09,0.04951740,11,0.05628347,-0.00676607,0.05497685,-0.00545946,0.05020921,-0.00069181
2019-09-23,-0.01362632,19,-0.01575743,0.00213111,-0.02071177,0.00708545,-0.00132802,-0.01229830
2019-09-30,-0.01644132,19,-0.02414701,0.00770569,-0.01956824,0.00312692,-0.03723404,0.02079272
2019-10-21,0.02539483,19,0.01185076,0.01354407,0.01738396,0.00801087,-0.00690608,0.03230091
2019-11-04,0.02119067,19,0.01220363,0.00898705,0.02506720,-0.00387653,0.00556328,0.01562739
2019-11-18,-0.01396241,7,-0.02227924,0.00831683,-0.01764463,0.00368223,-0.03181189,0.01784949
2019-12-02,-0.02824612,7,-0.01147841,-0.01676771,-0.01839087,-0.00985526,-0.02142857,-0.00681755
2019-12-16,0.02701838,11,0.03775820,-0.01073982,0.03949040,-0.01247202,0.04525547,-0.01823710
2019-12-30,0.02643101,24,0.01864078,0.00779023,0.02359521,0.00283580,0.03631285,-0.00988184
2020-01-13,0.01714863,24,0.02485036,-0.00770174,0.02997695,-0.01282832,0.01752022,-0.00037159
2020-01-23,-0.04971742,19,-0.04462796,-0.00508947,-0.04759457,-0.00212286,-0.08476821,0.03505079
2020-02-10,-0.03419005,20,-0.02890626,-0.00528379,-0.02195261,-0.01223744,-0.07670043,0.04251038
2020-02-24,0.01436698,25,0.04869265,-0.03432567,0.05537112,-0.04100414,0.04388715,-0.02952017
2020-03-09,-0.01925440,19,-0.02901215,0.00975775,-0.03283610,0.01358170,0.01351351,-0.03276791
2020-03-23,-0.10549430,18,-0.09619277,-0.00930153,-0.11679040,0.01129610,-0.10962963,0.00413533
2020-04-03,0.06396730,7,0.03902762,0.02493969,0.05181208,0.01215522,-0.00166389,0.06563120
2020-04-20,0.01710064,11,0.03204262,-0.01494198,0.03776692,-0.02066627,0.01000000,0.00710064
2020-04-30,0.01495326,12,0.00263953,0.01231373,0.01534262,-0.00038936,-0.02310231,0.03805557
2020-05-18,0.00679333,12,0.00536187,0.00143145,0.00264135,0.00415197,-0.01013514,0.01692846
2020-06-01,-0.00916150,11,0.01391572,-0.02307722,0.01234504,-0.02150654,0.13651877,-0.14568027
2020-06-15,-0.05408334,18,-0.00871243,-0.04537091,-0.00411748,-0.04996587,-0.03303303,-0.02105031
