date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,998360.02,1000000.00,1000000.00,1000000.00
2018-01-29,858913.87,1032990.14,1018171.47,1001877.93
2018-02-12,880105.04,924831.05,920682.67,859154.93
2018-02-26,927840.84,976274.80,974718.43,969953.05
2018-03-12,992192.35,975431.96,976907.08,1000000.00
2018-03-26,937695.26,918848.45,918265.86,866666.67
2018-04-09,983120.07,920188.96,911884.26,966197.18
2018-04-23,901701.35,899581.47,891387.55,868544.60
2018-05-07,909513.22,919705.51,907448.65,877934.27
2018-05-21,930361.10,942340.28,928052.08,899530.52
2018-06-04,833253.42,906377.83,901150.88,869483.57
2018-06-15,837355.61,886061.06,888336.38,821596.24
2018-07-02,774711.73,813829.82,806572.97,727699.53
2018-07-16,758869.89,825114.07,821748.94,712676.06
2018-07-30,780009.38,841243.05,831924.34,733333.33
2018-08-13,773453.47,816854.31,802402.86,748356.81
2018-08-27,758556.34,815396.17,806243.92,706103.29
2018-09-10,720261.45,782727.97,764469.86,663849.77
2018-09-21,735787.64,820259.34,807169.81,675117.37
2018-10-08,710815.78,796516.58,778866.84,647887.32
2018-10-22,672419.13,778444.62,773985.32,563380.28
2018-11-05,725131.19,781539.31,772224.92,577464.79
2018-11-19,745647.35,792705.16,779743.55,637558.69
2018-12-03,719023.77,778421.69,771778.82,652582.16
2018-12-17,690780.15,761760.06,748169.84,607511.74
2018-12-28,652207.57,731243.17,712540.38,569014.08
2019-01-14,685294.32,743519.74,726061.72,599061.03
2019-01-28,689015.74,761467.73,753514.17,579342.72
2019-02-11,700081.26,778157.22,782552.72,584037.56
2019-02-25,773938.33,868287.24,882667.90,662910.80
2019-03-11,801569.16,887554.02,882779.49,681690.14
2019-03-25,833320.15,892256.80,885825.61,909859.15
2019-04-08,907050.15,951421.06,960236.41,875117.37
2019-04-22,886562.41,942692.78,952753.35,863849.77
2019-05-06,808451.92,852213.47,872049.26,700469.48
2019-05-20,784200.61,841699.03,856233.73,701408.45
2019-06-03,819131.05,847409.73,859599.29,708920.19
2019-06-17,813629.01,846688.78,864998.30,680751.17
2019-07-01,900704.19,892805.55,931500.28,734272.30
2019-07-15,877463.76,862687.43,905081.94,740845.07
2019-07-29,886145.87,862341.94,912201.68,718309.86
2019-08-12,825772.05,825393.39,875478.15,657277.00
