date,vol_surge_ratio,shrink_pullback,vol_compression,ma_convergence,obv_slope,lower_shadow_ratio,money_flow_strength,bottom_deviation,turnover_concentration,illiq_change,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,roe_ttm,turnover_20,volume_chg,close_to_high_60,growth_revenue,growth_profit,pe_ttm,mom_3_1,mom_6_1,ret_5d_std,high_low_20,dv_ttm,roa_ttm,gross_margin,low_leverage,illiq_20
2018-01-29,-0.00093434,-0.00165231,-0.00070917,-0.00123108,-0.00090733,-0.00108795,-0.00093408,-0.00030945,-0.00040043,-0.00090584,-0.00052974,-0.00076244,-0.00050902,-0.00039407,-0.00181774,-0.00026141,-0.00043551,-0.00041371,-0.00077558,-0.00059400,-0.00077739,-0.00040494,-0.00116928,-0.00054089,-0.00041763,-0.00081216,-0.00070344,-0.00060938,-0.00049770,-0.00054010,-0.00115426,-0.00190170
2018-02-12,-0.05317817,-0.08696288,-0.08416711,-0.08944769,-0.05465467,-0.06338915,-0.03830428,-0.05299139,-0.04958260,-0.09450766,-0.03402004,-0.04366683,-0.05046976,-0.02799325,-0.10646407,-0.01532898,-0.02846629,-0.03529484,-0.04791793,-0.04878409,-0.05785225,-0.07455513,-0.04103295,-0.05036552,-0.04019109,-0.06016934,-0.06919846,-0.03671550,-0.03171497,-0.04813962,-0.06959555,-0.10803704
2018-02-26,0.02113320,0.04188769,0.02800626,0.03411472,0.02718382,0.02618005,0.01362189,0.01610277,0.01637236,0.03468608,0.01155422,0.02686636,0.01758082,0.00743737,0.04335485,0.00719525,0.01342114,0.01275137,0.01850453,0.01899760,0.01932676,0.02643629,0.01830274,0.01897526,0.01243064,0.00863963,0.02613907,0.01915203,0.01393962,0.01915626,0.02642533,0.04527370
2018-03-12,0.04001191,0.04856641,0.01861541,0.04515941,0.03843600,0.06003190,0.05536625,0.02598053,0.01758654,0.03407925,0.02107468,0.03838907,0.02262955,0.02878571,0.06660551,0.01210574,0.01677121,0.02251729,0.03994164,0.03225174,0.03098263,0.04484217,0.02265733,0.03027265,0.02523244,0.01918236,0.02085769,0.02066423,0.01726264,0.03126846,0.03400861,0.06764056
2018-03-26,-0.02611790,-0.03492837,-0.02513046,-0.03122019,-0.01903399,-0.02901354,-0.02123151,-0.02213005,-0.01476077,-0.03059789,-0.02333200,-0.02172091,-0.01948206,-0.01468335,-0.03648293,-0.02418430,-0.02236183,-0.01985672,-0.02273013,-0.01960906,-0.03675002,-0.03334783,-0.00963858,-0.02728046,-0.02469319,-0.02340304,-0.02264623,-0.01985311,-0.02162355,-0.02110061,-0.01782939,-0.02764884
2018-04-09,0.00690924,0.01235253,0.01005715,0.00921358,0.00467544,0.00725472,0.00456785,0.00406088,0.00457633,0.01121818,0.00691907,0.00517999,0.00589602,0.00251720,0.01325435,0.00779740,0.00679772,0.00515732,0.00648439,0.00644502,0.00988617,0.01073296,0.00375522,0.00816175,0.00704946,0.00594152,0.00727349,0.00569599,0.00712616,0.00806277,0.00597282,0.00853660
2018-04-23,-0.07154207,-0.06358021,-0.06402502,-0.09112160,-0.02564242,-0.03406735,-0.02677504,-0.03384470,-0.02219960,-0.05790610,-0.05357142,-0.04819637,-0.04980712,-0.02957020,-0.06825503,-0.06972222,-0.05991310,-0.04199854,-0.05638956,-0.02750749,-0.06313333,-0.05282084,-0.02258194,-0.03516992,-0.05452018,-0.05762637,-0.05667836,-0.06320725,-0.05466149,-0.05072101,-0.03899673,-0.04939845
2018-05-07,0.04798158,0.06102935,0.04868693,0.04878322,0.03116649,0.04910121,0.04227805,0.03680585,0.03531626,0.04134774,0.04495481,0.03758344,0.03744189,0.02826428,0.06550139,0.04619001,0.04558051,0.03345228,0.05630028,0.04169876,0.05166397,0.06239004,0.02330286,0.03824317,0.03696642,0.03305782,0.04095511,0.03739526,0.04332227,0.04357658,0.04387237,0.04830296
2018-05-21,0.01621589,0.02010178,0.01514983,0.01517076,0.01640092,0.01724620,0.01454744,0.01183687,0.01013877,0.01835855,0.01393089,0.01589979,0.01130752,0.01235085,0.02390535,0.01890386,0.01651107,0.01040698,0.01796982,0.01831515,0.01650366,0.01530710,0.00779202,0.01220138,0.01625631,0.01173696,0.01192935,0.01201402,0.01242008,0.01383753,0.01225883,0.01416705
2018-06-04,-0.02921385,-0.02909858,-0.02300600,-0.01869249,-0.02118961,-0.02541116,-0.02287190,-0.02254696,-0.01260546,-0.02079060,-0.02475174,-0.02501718,-0.01549351,-0.02211317,-0.03502549,-0.02971246,-0.02531456,-0.01499209,-0.02578516,-0.02962563,-0.03312714,-0.03114669,-0.01053694,-0.02245613,-0.02469690,-0.01711139,-0.01548456,-0.01846428,-0.02362451,-0.01962373,-0.02090921,-0.02089797
