date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.00213718,12,0.03299014,-0.03512732,0.01817147,-0.02030865,0.00187793,-0.00401511
2018-02-12,-0.12716380,15,-0.10470486,-0.02245894,-0.09574890,-0.03141490,-0.14245548,0.01529168
2018-02-26,0.05151105,15,0.05562502,-0.00411398,0.05869097,-0.00717992,0.12896175,-0.07745070
2018-03-12,0.07940236,20,-0.00086332,0.08026569,0.00224542,0.07715694,0.03097773,0.04842463
2018-03-26,-0.05295971,12,-0.05800867,0.00504896,-0.06002743,0.00706772,-0.13333333,0.08037362
2018-04-09,0.01645108,16,0.00145890,0.01499218,-0.00694962,0.02340070,0.11484290,-0.09839182
2018-04-23,-0.10710015,13,-0.02239485,-0.08470530,-0.02247731,-0.08462283,-0.10106900,-0.00603115
2018-05-07,0.09077488,14,0.02237045,0.06840443,0.01801809,0.07275678,0.01081081,0.07996406
2018-05-21,0.03123654,17,0.02461088,0.00662566,0.02270478,0.00853176,0.02459893,0.00663761
2018-06-04,-0.04702676,12,-0.03816291,-0.00886385,-0.02898673,-0.01804003,-0.03340292,-0.01362384
2018-06-15,0.00082333,15,-0.02241534,0.02323867,-0.01422014,0.01504347,-0.05507559,0.05589892
2018-07-02,-0.08731024,15,-0.08151949,-0.00579075,-0.09204105,0.00473082,-0.11428571,0.02697548
2018-07-16,-0.00213925,15,0.01386561,-0.01600486,0.01881537,-0.02095462,-0.02064516,0.01850591
2018-07-30,0.05413740,15,0.01954758,0.03458982,0.01238261,0.04175478,0.02898551,0.02515189
2018-08-13,-0.00556432,15,-0.02899131,0.02342699,-0.03548577,0.02992145,0.02048656,-0.02605088
2018-08-27,-0.02791823,15,-0.00178508,-0.02613315,0.00478695,-0.03270517,-0.05646173,0.02854351
2018-09-10,-0.04435381,14,-0.04006420,-0.00428961,-0.05181318,0.00745937,-0.05984043,0.01548662
2018-09-21,0.06228040,14,0.04794944,0.01433096,0.05585563,0.00642477,0.01697313,0.04530728
2018-10-08,-0.03368111,12,-0.02894543,-0.00473568,-0.03506445,0.00138334,-0.04033380,0.00665269
2018-10-22,0.00339189,14,-0.02268874,0.02608063,-0.00626747,0.00965936,-0.13043478,0.13382667
2018-11-05,-0.00836877,20,0.00397548,-0.01234424,-0.00227446,-0.00609431,0.02500000,-0.03336877
2018-11-19,0.03900170,21,0.01428700,0.02471470,0.00973632,0.02926538,0.10406504,-0.06506334
2018-12-03,-0.02188227,23,-0.01801864,-0.00386363,-0.01021455,-0.01166772,0.02356406,-0.04544634
2018-12-17,-0.01945858,21,-0.02140438,0.00194580,-0.03059035,0.01113177,-0.06906475,0.04960617
2018-12-28,-0.03936869,15,-0.04006103,0.00069234,-0.04762216,0.00825347,-0.06336940,0.02400071
2019-01-14,0.00646354,21,0.01678863,-0.01032509,0.01897624,-0.01251270,0.05280528,-0.04634174
2019-01-28,0.02536812,12,0.02413922,0.00122890,0.03781009,-0.01244197,-0.03291536,0.05828348
2019-02-11,0.03750555,14,0.02191752,0.01558802,0.03853749,-0.00103194,0.00810373,0.02940182
2019-02-25,0.07547977,24,0.11582496,-0.04034519,0.12793411,-0.05245433,0.13504823,-0.05956846
2019-03-11,0.02226527,25,0.02218940,0.00007587,0.00012643,0.02213885,0.02832861,-0.00606334
2019-03-25,0.05149019,20,0.00529859,0.04619160,0.00345061,0.04803959,0.33471074,-0.28322055
2019-04-08,0.06640823,24,0.06630855,0.00009968,0.08400163,-0.01759340,-0.03818369,0.10459192
2019-04-22,-0.04306392,24,-0.00917394,-0.03388998,-0.00779293,-0.03527099,-0.01287554,-0.03018839
2019-05-06,-0.08160789,12,-0.09597963,0.01437174,-0.08470617,0.00309828,-0.18913043,0.10752254
2019-05-20,-0.09510489,16,-0.01233781,-0.08276708,-0.01813605,-0.07696883,0.00134048,-0.09644537
2019-06-03,0.08439113,15,0.00678474,0.07760639,0.00393066,0.08046048,0.01070950,0.07368163
2019-06-17,0.01094658,15,-0.00085077,0.01179735,0.00628084,0.00466573,-0.03973510,0.05068168
2019-07-01,0.09682754,17,0.05446720,0.04236033,0.07688106,0.01994648,0.07862069,0.01820685
2019-07-15,-0.05161458,15,-0.03373425,-0.01788034,-0.02836106,-0.02325352,0.00895141,-0.06056599
2019-07-29,0.00235946,15,-0.00040048,0.00275995,0.00786640,-0.00550694,-0.03041825,0.03277772
2019-08-12,-0.03353696,15,-0.04284675,0.00930979,-0.04025813,0.00672116,-0.08496732,0.05143036
2019-08-26,-0.00003098,14,0.01725506,-0.01728604,0.01805999,-0.01809097,0.02428571,-0.02431669
2019-09-09,0.02497397,19,0.05628347,-0.03130950,0.05497685,-0.03000288,0.05020921,-0.02523523
2019-09-23,-0.01946469,20,-0.01575743,-0.00370727,-0.02071177,0.00124708,-0.00132802,-0.01813667
2019-09-30,-0.01679393,12,-0.02414701,0.00735308,-0.01956824,0.00277431,-0.03723404,0.02044011
2019-10-21,0.02528811,11,0.01185076,0.01343735,0.01738396,0.00790416,-0.00690608,0.03219419
2019-11-04,0.00422827,12,0.01220363,-0.00797535,0.02506720,-0.02083893,0.00556328,-0.00133501
2019-11-18,-0.03105099,15,-0.02227924,-0.00877175,-0.01764463,-0.01340635,-0.03181189,0.00076091
2019-12-02,-0.07941656,16,-0.01147841,-0.06793815,-0.01839087,-0.06102570,-0.02142857,-0.05798799
2019-12-16,0.11498889,25,0.03775820,0.07723069,0.03949040,0.07549849,0.04525547,0.06973342
2019-12-30,0.03083784,24,0.01864078,0.01219706,0.02359521,0.00724263,0.03631285,-0.00547501
2020-01-13,0.01360853,24,0.02485036,-0.01124183,0.02997695,-0.01636841,0.01752022,-0.00391168
2020-01-23,-0.06807461,19,-0.04462796,-0.02344666,-0.04759457,-0.02048005,-0.08476821,0.01669360
2020-02-10,-0.02677914,24,-0.02890626,0.00212712,-0.02195261,-0.00482653,-0.07670043,0.04992129
2020-02-24,0.04885996,21,0.04869265,0.00016731,0.05537112,-0.00651117,0.04388715,0.00497281
2020-03-09,0.02959069,19,-0.02901215,0.05860284,-0.03283610,0.06242678,0.01351351,0.01607717
2020-03-23,-0.09381150,14,-0.09619277,0.00238127,-0.11679040,0.02297890,-0.10962963,0.01581813
2020-04-03,0.06056816,14,0.03902762,0.02154054,0.05181208,0.00875607,-0.00166389,0.06223205
2020-04-20,0.04286388,15,0.03204262,0.01082126,0.03776692,0.00509697,0.01000000,0.03286388
2020-04-30,0.01974104,12,0.00263953,0.01710151,0.01534262,0.00439842,-0.02310231,0.04284335
2020-05-18,0.02878613,14,0.00536187,0.02342425,0.00264135,0.02614477,-0.01013514,0.03892126
2020-06-01,0.05834102,18,0.01391572,0.04442530,0.01234504,0.04599598,0.13651877,-0.07817776
2020-06-15,-0.01839584,18,-0.00871243,-0.00968340,-0.00411748,-0.01427836,-0.03303303,0.01463720
2020-06-29,0.03083004,19,0.02473531,0.00609473,0.03912226,-0.00829223,-0.02795031,0.05878035
2020-07-13,0.15718499,16,0.16267676,-0.00549178,0.18085063,-0.02366564,0.42012780,-0.26294281
2020-07-27,-0.02862562,14,-0.06913729,0.04051167,-0.06686870,0.03824308,-0.20697413,0.17834851
2020-08-10,0.02831602,13,0.05429432,-0.02597830,0.04337460,-0.01505858,0.04822695,-0.01991093
