date,ts_code,name,shares,buy_price,buy_date,current_price,market_value,pnl_pct
20180115,000809.SZ,和展能源,38700,3.6955,20180115,3.69,142803.0,-0.15
20180115,000737.SZ,北方铜业,31800,4.4967,20180115,4.49,142782.0,-0.15
20180115,000978.SZ,桂林旅游,17500,8.1622,20180115,8.15,142625.0,-0.15
20180115,600313.SH,农发种业,45700,3.1247,20180115,3.12,142584.0,-0.15
20180115,600237.SH,铜峰电子,27300,5.2278,20180115,5.22,142506.0,-0.15
20180115,000159.SZ,国际实业,27300,5.2278,20180115,5.22,142506.0,-0.15
20180115,603508.SH,思维列控,3700,37.7566,20180115,37.7,139490.0,-0.15
20180129,000428.SZ,华天酒店,29900,4.1262,20180129,4.12,123188.0,-0.15
20180129,600237.SH,铜峰电子,24000,5.2278,20180115,5.13,123120.0,-1.87
20180129,603020.SH,爱普股份,10500,11.7376,20180129,11.72,123060.0,-0.15
20180129,603117.SH,万林物流,14000,8.8032,20180129,8.79,123060.0,-0.15
20180129,600854.SH,春兰股份,23300,5.2879,20180129,5.28,123024.0,-0.15
20180129,600080.SH,金花股份,14300,8.5728,20180129,8.56,122408.0,-0.15
20180129,000705.SZ,浙江震元,14700,8.3024,20180129,8.29,121863.0,-0.15
20180129,000737.SZ,北方铜业,31800,4.4967,20180115,0.0,0.0,-100.0
20180212,600178.SH,东安动力,21400,5.2278,20180212,5.22,111708.0,-0.15
20180212,000922.SZ,佳电股份,18900,5.9189,20180212,5.91,111699.0,-0.15
20180212,603020.SH,爱普股份,10800,11.6992,20180129,10.34,111672.0,-11.62
20180212,000032.SZ,深桑达Ａ,14800,7.5413,20180212,7.53,111444.0,-0.15
20180212,000153.SZ,丰原药业,15800,7.0506,20180212,7.04,111232.0,-0.15
20180212,600573.SH,惠泉啤酒,15800,7.0506,20180212,7.04,111232.0,-0.15
20180212,000679.SZ,大连友谊,19200,5.7787,20180212,5.77,110784.0,-0.15
20180212,600080.SH,金花股份,14300,8.5728,20180129,0.0,0.0,-100.0
20180226,603979.SH,金诚信,14100,9.5543,20180226,9.54,134514.0,-0.15
20180226,600819.SH,耀皮玻璃,27700,4.8573,20180226,4.85,134345.0,-0.15
20180226,600716.SH,凤凰股份,31900,4.2163,20180226,4.21,134299.0,-0.15
20180226,600573.SH,惠泉啤酒,18000,7.102,20180212,7.46,134280.0,5.04
20180226,600052.SH,东望时代,37400,3.5954,20180226,3.59,134266.0,-0.15
20180226,000833.SZ,粤桂股份,21600,6.2193,20180226,6.21,134136.0,-0.15
20180226,603020.SH,爱普股份,12600,11.5502,20180129,10.64,134064.0,-7.88
20180312,600327.SH,大东方,12000,7.0305,20180312,7.02,84240.0,-0.15
20180312,000159.SZ,国际实业,17900,4.7071,20180312,4.7,84130.0,-0.15
20180312,000809.SZ,和展能源,24100,3.4952,20180312,3.49,84109.0,-0.15
20180312,603979.SH,金诚信,8400,9.5543,20180226,10.01,84084.0,4.77
20180312,600159.SH,大龙地产,23200,3.6254,20180312,3.62,83984.0,-0.15
20180312,600470.SH,六国化工,15100,5.5683,20180312,5.56,83956.0,-0.15
20180312,000428.SZ,华天酒店,21800,3.8558,20180312,3.85,83930.0,-0.15
20180312,000978.SZ,桂林旅游,10600,7.9219,20180312,7.91,83846.0,-0.15
20180312,600819.SH,耀皮玻璃,16500,4.8573,20180226,5.08,83820.0,4.59
20180312,600375.SH,汉马科技,16500,5.0876,20180312,5.08,83820.0,-0.15
20180312,600791.SH,京能置业,12700,6.5999,20180312,6.59,83693.0,-0.15
20180312,603727.SH,博迈科,4100,20.3705,20180312,20.34,83394.0,-0.15
20180326,600159.SH,大龙地产,41000,3.495,20180312,3.32,136120.0,-5.01
