date,model_a_score,model_b_score,small_cap,industry_momentum
2018-02-28,-0.09186252,-0.09133899,-0.09302828,-0.04833433
2018-03-30,0.01338680,0.01336764,0.01356787,0.00678410
2018-04-27,-0.02732344,-0.02725477,-0.02769182,-0.01547698
2018-05-31,-0.02098288,-0.02088823,-0.02123984,-0.01290548
2018-06-29,-0.08104765,-0.08050037,-0.08208894,-0.04887100
2018-07-31,0.08335639,0.08314073,0.08459074,0.04170947
2018-08-31,-0.03886715,-0.03869607,-0.03948126,-0.02095184
2018-09-28,-0.00229910,-0.00226700,-0.00233363,-0.00116258
2018-10-31,-0.06884372,-0.06854437,-0.06993340,-0.03697582
2018-11-30,0.14876341,0.14749679,0.15081606,0.08578139
2018-12-28,-0.05790148,-0.05777513,-0.02931257,-0.04474676
2019-01-31,0.04266847,0.04223295,0.03005039,0.03089367
2019-02-28,0.15649854,0.15603111,0.08425274,0.10447625
2019-03-29,0.08640284,0.08559574,0.06422192,0.04814060
2019-04-30,-0.01434951,-0.01439294,-0.00597260,-0.01022539
2019-05-31,-0.05247092,-0.05253375,-0.01715320,-0.03234092
2019-06-28,0.04160720,0.04142206,0.01658162,0.02672381
2019-07-31,-0.01841583,-0.01837301,-0.00674282,-0.01265503
2019-08-30,-0.01707921,-0.01702219,-0.00328906,-0.01267898
2019-09-30,-0.01501932,-0.01496215,-0.00347229,-0.01142438
2019-10-31,0.00731528,0.00734090,0.00148731,0.00566812
2019-11-29,0.00057932,0.00058026,0.00007071,0.00049611
2019-12-31,0.04684496,0.04654493,0.00000000,0.03119544
2020-01-23,-0.03089150,-0.03069086,-0.00000000,-0.01750680
2020-02-28,-0.04641527,-0.04625024,-0.00000000,-0.02659056
2020-03-31,-0.03577291,-0.03580640,-0.00000000,-0.01955904
2020-04-30,0.03631848,0.03639895,0.00000000,0.02021385
2020-05-29,-0.00688032,-0.00687676,-0.00000000,-0.00386885
2020-06-30,0.00338923,0.00338798,0.00000000,0.00230074
2020-07-31,0.07755603,0.07728331,0.00000000,0.05724471
2020-08-31,0.02421082,0.02410377,0.00000000,0.02010406
2020-09-30,-0.03746087,-0.03749078,-0.00000000,-0.03014594
2020-10-30,0.00897819,0.00901157,0.00000000,0.00680262
2020-11-30,0.05365146,0.05338519,0.00000000,0.04031129
2020-12-31,0.05047884,0.05010904,0.00408740,0.03520124
2021-01-29,0.03625308,0.03634498,0.00280719,0.02809641
2021-02-26,-0.01295122,-0.01289313,-0.00103530,-0.00915041
2021-03-31,-0.04131137,-0.04104261,-0.00000000,-0.02885871
2021-04-30,-0.00924644,-0.00908563,-0.00678794,-0.00523188
2021-05-31,0.06332849,0.06270530,0.03544672,0.04235769
2021-06-30,0.03511386,0.03462251,0.02142226,0.02084025
2021-07-30,0.00451822,0.00449774,0.00242116,0.00283810
