date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.03571580,8,0.03299014,-0.06870595,0.01817147,-0.05388727,0.00187793,-0.03759373
2018-02-12,0.00077521,2,-0.10470486,0.10548007,-0.09574890,0.09652411,-0.14245548,0.14323069
2018-02-26,0.00518275,3,0.05562502,-0.05044228,0.05869097,-0.05350822,0.12896175,-0.12377900
2018-03-12,0.01540368,6,-0.00086332,0.01626700,0.00224542,0.01315825,0.03097773,-0.01557406
2018-03-26,-0.01616675,3,-0.05800867,0.04184192,-0.06002743,0.04386068,-0.13333333,0.11716659
2018-04-09,0.00502947,10,0.00145890,0.00357057,-0.00694962,0.01197910,0.11484290,-0.10981343
2018-04-23,-0.00750021,7,-0.02239485,0.01489464,-0.02247731,0.01497710,-0.10106900,0.09356879
2018-05-07,0.01089367,6,0.02237045,-0.01147678,0.01801809,-0.00712442,0.01081081,0.00008286
2018-05-21,0.00746242,6,0.02461088,-0.01714847,0.02270478,-0.01524237,0.02459893,-0.01713652
2018-06-04,-0.01448737,2,-0.03816291,0.02367553,-0.02898673,0.01449936,-0.03340292,0.01891555
2018-06-15,-0.00377209,2,-0.02241534,0.01864325,-0.01422014,0.01044805,-0.05507559,0.05130350
2018-07-02,-0.00012139,2,-0.08151949,0.08139810,-0.09204105,0.09191967,-0.11428571,0.11416433
2018-07-16,0.00075943,6,0.01386561,-0.01310618,0.01881537,-0.01805594,-0.02064516,0.02140459
2018-07-30,0.01310455,6,0.01954758,-0.00644303,0.01238261,0.00072193,0.02898551,-0.01588096
2018-08-13,-0.00397160,6,-0.02899131,0.02501971,-0.03548577,0.03151417,0.02048656,-0.02445816
2018-08-27,-0.00335546,5,-0.00178508,-0.00157038,0.00478695,-0.00814241,-0.05646173,0.05310627
2018-09-10,-0.00973912,2,-0.04006420,0.03032508,-0.05181318,0.04207406,-0.05984043,0.05010131
2018-09-21,0.00495976,5,0.04794944,-0.04298968,0.05585563,-0.05089587,0.01697313,-0.01201336
2018-10-08,-0.00453917,3,-0.02894543,0.02440626,-0.03506445,0.03052528,-0.04033380,0.03579462
2018-10-22,-0.00207649,3,-0.02268874,0.02061225,-0.00626747,0.00419097,-0.13043478,0.12835829
2018-11-05,0.00936211,6,0.00397548,0.00538663,-0.00227446,0.01163657,0.02500000,-0.01563789
2018-11-19,0.00363291,6,0.01428700,-0.01065409,0.00973632,-0.00610341,0.10406504,-0.10043213
2018-12-03,-0.00203526,10,-0.01801864,0.01598338,-0.01021455,0.00817930,0.02356406,-0.02559932
2018-12-17,-0.01457943,20,-0.02140438,0.00682495,-0.03059035,0.01601092,-0.06906475,0.05448532
2018-12-28,-0.03372366,20,-0.04006103,0.00633737,-0.04762216,0.01389850,-0.06336940,0.02964574
2019-01-14,0.05146821,12,0.01678863,0.03467958,0.01897624,0.03249196,0.05280528,-0.00133707
2019-01-28,0.01365662,6,0.02413922,-0.01048260,0.03781009,-0.02415346,-0.03291536,0.04657198
2019-02-11,0.00562203,6,0.02191752,-0.01629550,0.03853749,-0.03291546,0.00810373,-0.00248170
2019-02-25,0.03872509,12,0.11582496,-0.07709987,0.12793411,-0.08920901,0.13504823,-0.09632314
