date,ts_code,direction,price,shares,amount,commission,status,reason
20180115,600237.SH,BUY,5.22783,2400,12546.792,1.8820187999999998,FILLED,
20180115,000721.SZ,BUY,5.337995,2400,12811.188,1.9216782,FILLED,
20180115,603020.SH,BUY,11.737580000000001,1000,11737.580000000002,1.760637,FILLED,
20180115,000737.SZ,BUY,4.496735,2800,12590.858,1.8886287,FILLED,
20180115,600889.SH,BUY,8.302435,1500,12453.652499999998,1.8680478749999996,FILLED,
20180115,600855.SH,BUY,13.760610000000002,900,12384.549,1.85768235,FILLED,
20180115,000705.SZ,BUY,8.092120000000001,1500,12138.180000000002,1.8207270000000002,FILLED,
20180129,000721.SZ,SELL,5.421855,2400,13012.452,1.9518677999999998,FILLED,
20180129,600889.SH,SELL,8.287550000000001,100,828.7550000000001,0.12431325,FILLED,
20180129,600855.SH,SELL,15.55663,900,14000.967,2.10014505,FILLED,
20180129,000705.SZ,SELL,8.277565,1500,12416.347499999998,1.8624521249999995,FILLED,
20180129,600854.SH,BUY,5.287920000000001,2300,12162.216000000002,1.8243324,FILLED,
20180129,603117.SH,BUY,8.803185,1400,12324.458999999999,1.8486688499999997,FILLED,
20180129,600540.SH,BUY,4.416615,2800,12366.522,1.8549783,FILLED,
20180129,000428.SZ,BUY,4.126180000000001,3000,12378.540000000003,1.8567810000000002,FILLED,
20180212,600237.SH,SELL,4.183715,2400,10040.916000000001,1.5061374,FILLED,
20180212,603020.SH,SELL,10.32449,1000,10324.490000000002,1.5486735,FILLED,
20180212,000737.SZ,SELL,4.21367,2800,11798.275999999998,1.7697413999999996,FILLED,
20180212,600889.SH,SELL,6.270580000000001,1400,8778.812000000002,1.3168218,FILLED,
20180212,600854.SH,SELL,4.5931,2300,10564.13,1.5846194999999998,FILLED,
20180212,603117.SH,SELL,8.577115000000001,1400,12007.961000000001,1.80119415,FILLED,
20180212,600540.SH,SELL,3.83424,2800,10735.872,1.6103807999999997,FILLED,
20180212,000428.SZ,SELL,3.6145700000000005,3000,10843.710000000001,1.6265565,FILLED,
20180212,600288.SH,BUY,6.780155,2100,14238.325499999999,2.135748825,FILLED,
20180212,600616.SH,BUY,7.220815,2000,14441.63,2.1662445,FILLED,
20180226,600288.SH,SELL,7.20917,100,720.917,0.10813755,FILLED,
20180226,600616.SH,SELL,7.4887500000000005,100,748.875,0.11233125,FILLED,
20180226,603020.SH,BUY,10.65596,1300,13852.748,2.0779121999999997,FILLED,
20180312,600288.SH,SELL,8.237625000000001,2000,16475.250000000004,2.4712875000000003,FILLED,
20180312,600616.SH,SELL,8.16773,1900,15518.687000000002,2.32780305,FILLED,
20180312,603020.SH,SELL,11.642510000000001,1300,15135.263000000003,2.2702894500000004,FILLED,
20180312,600159.SH,BUY,3.62543,3400,12326.462000000001,1.8489693,FILLED,
20180312,000809.SZ,BUY,3.4952350000000005,3500,12233.322500000002,1.834998375,FILLED,
20180312,600791.SH,BUY,6.5998850000000004,1800,11879.793000000001,1.78196895,FILLED,
20180312,000159.SZ,BUY,4.707050000000001,2600,12238.330000000002,1.8357495000000001,FILLED,
20180312,000965.SZ,BUY,5.708550000000001,2100,11987.955000000002,1.7981932500000002,FILLED,
20180312,000716.SZ,BUY,5.42813,2200,11941.886,1.7912829,FILLED,
20180326,600159.SH,SELL,3.31502,3400,11271.068000000001,1.6906602,FILLED,
20180326,600791.SH,SELL,6.2406250000000005,1800,11233.125000000002,1.6849687500000001,FILLED,
20180326,000965.SZ,SELL,5.361945,2100,11260.0845,1.689012675,FILLED,
20180326,000716.SZ,SELL,5.03244,2200,11071.368,1.6607052,FILLED,
20180326,000159.SZ,BUY,4.436645,600,2661.987,0.39929804999999996,FILLED,
20180326,000809.SZ,BUY,3.26489,900,2938.401,0.44076014999999996,FILLED,
20180326,600573.SH,BUY,7.53128,1900,14309.431999999999,2.1464147999999996,FILLED,
20180409,000809.SZ,SELL,3.524705,4400,15508.702,2.3263052999999996,FILLED,
20180409,000159.SZ,SELL,4.483265,600,2689.9590000000003,0.40349385,FILLED,
20180409,600573.SH,SELL,7.648510000000001,400,3059.4040000000005,0.4589106,FILLED,
20180409,000573.SZ,BUY,4.6169150000000005,2500,11542.287500000002,1.7313431250000002,FILLED,
20180409,600854.SH,BUY,4.717065,2400,11320.956,1.6981434,FILLED,
20180409,600592.SH,BUY,8.592870000000001,1300,11170.731000000002,1.6756096500000002,FILLED,
20180409,603979.SH,BUY,9.37404,1200,11248.848000000002,1.6873272000000001,FILLED,
20180409,600589.SH,BUY,5.4381450000000005,2100,11420.104500000001,1.713015675,FILLED,
20180409,600078.SH,BUY,4.516765,2500,11291.9125,1.6937868749999998,FILLED,
20180409,603300.SH,BUY,7.060575,1600,11296.92,1.6945379999999999,FILLED,
20180409,600237.SH,BUY,4.556825,2500,11392.0625,1.7088093749999997,FILLED,
20180423,600573.SH,SELL,8.547160000000002,1500,12820.740000000002,1.923111,FILLED,
20180423,600589.SH,SELL,5.37193,2100,11281.053,1.69215795,FILLED,
20180423,603300.SH,SELL,7.08935,1600,11342.96,1.7014439999999997,FILLED,
20180423,600237.SH,SELL,4.73289,2500,11832.225,1.77483375,FILLED,
20180423,600854.SH,BUY,4.556825,300,1367.0475,0.20505712499999998,FILLED,
20180423,600078.SH,BUY,4.236345000000001,400,1694.5380000000005,0.25418070000000004,FILLED,
20180423,600592.SH,BUY,7.89182,200,1578.364,0.23675459999999998,FILLED,
20180423,000573.SZ,BUY,4.276405,400,1710.562,0.2565843,FILLED,
20180423,000159.SZ,BUY,4.18627,300,1255.881,0.18838215,FILLED,
20180423,603979.SH,BUY,9.183755,100,918.3755,0.13775632499999999,FILLED,
20180423,603558.SH,BUY,9.424115,1300,12251.3495,1.8377024249999998,FILLED,
20180507,000159.SZ,SELL,4.323505,100,432.3505,0.064852575,FILLED,
20180507,000573.SZ,SELL,4.3135200000000005,2900,12509.208,1.8763812,FILLED,
20180507,600854.SH,SELL,4.7628449999999996,2700,12859.681499999999,1.9289522249999997,FILLED,
20180507,600592.SH,SELL,8.077865000000001,1500,12116.7975,1.8175196249999999,FILLED,
20180507,603979.SH,SELL,9.74536,1300,12668.967999999999,1.9003451999999996,FILLED,
20180507,603558.SH,SELL,10.274564999999999,1300,13356.9345,2.003540175,FILLED,
20180507,000978.SZ,BUY,6.920365,1700,11764.6205,1.764693075,FILLED,
20180507,600791.SH,BUY,5.548310000000001,2200,12206.282000000001,1.8309423,FILLED,
20180507,000428.SZ,BUY,3.615415,3300,11930.8695,1.789630425,FILLED,
20180507,000530.SZ,BUY,4.777155,2500,11942.887499999999,1.7914331249999997,FILLED,
20180521,000159.SZ,SELL,4.5931,2800,12860.679999999998,1.9291019999999997,FILLED,
20180521,600078.SH,SELL,4.53319,2900,13146.251,1.9719376499999999,FILLED,
20180521,600791.SH,SELL,5.67148,2200,12477.256,1.8715883999999998,FILLED,
20180521,000859.SZ,BUY,3.555325,3400,12088.105,1.8132157499999997,FILLED,
20180521,000565.SZ,BUY,6.239345000000001,1900,11854.755500000001,1.778213325,FILLED,
20180521,600692.SH,BUY,9.073590000000001,1300,11795.667000000001,1.7693500500000001,FILLED,
20180604,000978.SZ,SELL,6.769830000000001,1700,11508.711000000001,1.72630665,FILLED,
20180604,000428.SZ,SELL,3.37493,1200,4049.916,0.6074874,FILLED,
20180604,000530.SZ,SELL,4.583115,2500,11457.7875,1.718668125,FILLED,
20180604,000859.SZ,SELL,3.265095,1200,3918.114,0.5877171,FILLED,
20180604,000565.SZ,SELL,5.791300000000001,1900,11003.470000000001,1.6505205,FILLED,
20180604,600692.SH,SELL,8.50722,1300,11059.386,1.6589079,FILLED,
20180615,000428.SZ,SELL,3.125305,2100,6563.1405,0.984471075,FILLED,
20180615,000859.SZ,SELL,3.025455,2200,6656.001,0.9984001499999999,FILLED,
20180702,600613.SH,BUY,6.049060000000001,1100,6653.966000000001,0.9980949000000001,FILLED,
20180716,600613.SH,SELL,6.220655000000001,1100,6842.7205,1.026408075,FILLED,
20180716,000716.SZ,BUY,3.535295,3400,12020.003,1.8030004499999999,FILLED,
20180716,601599.SH,BUY,3.86579,3100,11983.949,1.79759235,FILLED,
20180716,000662.SZ,BUY,5.878805000000001,2000,11757.61,1.7636414999999999,FILLED,
20180716,000159.SZ,BUY,3.6354450000000003,3300,11996.9685,1.799545275,FILLED,
20180716,601326.SH,BUY,3.86579,3100,11983.949,1.79759235,FILLED,
20180716,600078.SH,BUY,3.375055,3500,11812.692500000001,1.771903875,FILLED,
20180730,000716.SZ,SELL,3.6844650000000003,3400,12527.181,1.8790771499999999,FILLED,
20180730,601599.SH,SELL,3.9340900000000003,3100,12195.679,1.82935185,FILLED,
20180730,000662.SZ,SELL,6.7398750000000005,2000,13479.750000000002,2.0219625,FILLED,
20180730,601326.SH,SELL,4.05391,3100,12567.121000000001,1.88506815,FILLED,
20180730,600078.SH,SELL,3.524705,3500,12336.4675,1.850470125,FILLED,
20180730,000858.SZ,BUY,72.7089,100,7270.89,1.0906335,FILLED,
20180730,600585.SH,BUY,39.148635000000006,300,11744.590500000002,1.7616885750000002,FILLED,
20180730,000568.SZ,BUY,55.232725,200,11046.545,1.65698175,FILLED,
20180730,603660.SH,BUY,19.88979,600,11933.874000000002,1.7900811,FILLED,
20180730,000333.SZ,BUY,47.53119,200,9506.238000000001,1.4259357000000001,FILLED,
20180813,000159.SZ,SELL,4.23364,3300,13971.012,2.0956517999999997,FILLED,
