date,model_a_score,model_b_score,small_cap,industry_momentum,market_state,style_coeff
2018-01-29,-0.03477368,-0.03509661,-0.03571580,-0.02568136,-0.01071474,0.03571580
2018-02-12,0.00077038,0.00076402,0.00077521,0.00072353,0.00007752,-0.00077521
2018-02-26,0.00506356,0.00507754,0.00518275,0.00477964,0.00155482,-0.00429687
2018-03-12,0.01532969,0.01519114,0.01540368,0.01292197,0.00770184,0.00240636
2018-03-26,-0.01603493,-0.01590278,-0.01616675,-0.01347229,-0.00485002,0.01616675
2018-04-09,0.00499547,0.00493499,0.00502947,0.00310151,0.00402358,0.00502947
2018-04-23,-0.00742041,-0.00733537,-0.00750021,-0.00446441,-0.00225006,0.00190145
2018-05-07,0.01083730,0.01075168,0.01089367,0.00780713,0.00544683,-0.00344940
2018-05-21,0.00739218,0.00740523,0.00746242,0.00526515,0.00373121,-0.00245763
2018-06-04,-0.01425438,-0.01426409,-0.01448737,-0.01158990,-0.00144874,0.00606311
2018-06-15,-0.00368021,-0.00367875,-0.00000000,-0.00357156,-0.00036947,0.00369471
2018-07-02,-0.00003753,-0.00003708,-0.00001891,-0.00003592,-0.00000378,0.00003781
2018-07-16,0.00027386,0.00027224,0.00027530,0.00020495,0.00013765,-0.00027530
2018-07-30,0.01304175,0.01302332,0.00437708,0.01021318,0.00656562,-0.01197284
2018-08-13,-0.00693335,-0.00693564,-0.00349718,-0.00512920,-0.00349718,-0.00214312
2018-08-27,-0.00068596,-0.00066722,-0.00011518,-0.00051063,-0.00034554,0.00039816
2018-09-10,-0.03853436,-0.03803240,-0.00000000,-0.03648476,-0.01158928,0.01798344
2018-09-21,0.00929815,0.00928103,0.00000000,0.00778012,0.00466807,-0.00933615
2018-10-08,-0.00470321,-0.00469987,-0.00000000,-0.00403750,-0.00141575,0.00471916
2018-10-22,0.00279087,0.00278750,0.00000000,0.00216543,0.00084734,-0.00282447
2018-11-05,0.02614544,0.02614817,0.00000000,0.01968594,0.01312396,-0.02624792
2018-11-19,-0.00340635,-0.00343084,-0.00057443,-0.00262323,-0.00172329,-0.00033521
2018-12-03,0.00074777,0.00075466,0.00068508,0.00056583,0.00060896,0.00064945
2018-12-17,-0.01440162,-0.01422926,-0.01252219,-0.00846934,-0.01163670,-0.00326467
2018-12-28,-0.03423389,-0.03407649,-0.02489388,-0.02196100,-0.02806047,-0.00115071
2019-01-14,0.04701698,0.04717790,0.01529590,0.03673984,0.02390306,0.02097126
