date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.03571580,8,0.03299014,-0.06870595,0.01817147,-0.05388727,0.00187793,-0.03759373
2018-02-12,0.00077521,2,-0.10470486,0.10548007,-0.09574890,0.09652411,-0.14245548,0.14323069
2018-02-26,0.00518275,3,0.05562502,-0.05044228,0.05869097,-0.05350822,0.12896175,-0.12377900
2018-03-12,0.01540368,6,-0.00086332,0.01626700,0.00224542,0.01315825,0.03097773,-0.01557406
2018-03-26,-0.01616675,3,-0.05800867,0.04184192,-0.06002743,0.04386068,-0.13333333,0.11716659
2018-04-09,0.00502947,10,0.00145890,0.00357057,-0.00694962,0.01197910,0.11484290,-0.10981343
2018-04-23,-0.00750021,7,-0.02239485,0.01489464,-0.02247731,0.01497710,-0.10106900,0.09356879
2018-05-07,0.01089367,6,0.02237045,-0.01147678,0.01801809,-0.00712442,0.01081081,0.00008286
2018-05-21,0.00746242,6,0.02461088,-0.01714847,0.02270478,-0.01524237,0.02459893,-0.01713652
2018-06-04,-0.01448737,2,-0.03816291,0.02367553,-0.02898673,0.01449936,-0.03340292,0.01891555
2018-06-15,-0.00369471,0,-0.02241534,0.01872063,-0.01422014,0.01052543,-0.05507559,0.05138088
2018-07-02,-0.00003781,1,-0.08151949,0.08148167,-0.09204105,0.09200324,-0.11428571,0.11424790
2018-07-16,0.00027530,6,0.01386561,-0.01359031,0.01881537,-0.01854007,-0.02064516,0.02092046
2018-07-30,0.01313123,6,0.01954758,-0.00641635,0.01238261,0.00074862,0.02898551,-0.01585428
2018-08-13,-0.00699436,6,-0.02899131,0.02199694,-0.03548577,0.02849141,0.02048656,-0.02748092
2018-08-27,-0.00069107,5,-0.00178508,0.00109400,0.00478695,-0.00547802,-0.05646173,0.05577066
2018-09-10,-0.03863092,3,-0.04006420,0.00143328,-0.05181318,0.01318226,-0.05984043,0.02120951
2018-09-21,0.00933615,6,0.04794944,-0.03861330,0.05585563,-0.04651948,0.01697313,-0.00763698
2018-10-08,-0.00471916,4,-0.02894543,0.02422627,-0.03506445,0.03034529,-0.04033380,0.03561464
2018-10-22,0.00282447,4,-0.02268874,0.02551321,-0.00626747,0.00909194,-0.13043478,0.13325926
2018-11-05,0.02624792,6,0.00397548,0.02227245,-0.00227446,0.02852238,0.02500000,0.00124792
2018-11-19,-0.00344658,6,0.01428700,-0.01773358,0.00973632,-0.01318290,0.10406504,-0.10751163
2018-12-03,0.00076120,10,-0.01801864,0.01877984,-0.01021455,0.01097576,0.02356406,-0.02280286
2018-12-17,-0.01454587,20,-0.02140438,0.00685851,-0.03059035,0.01604448,-0.06906475,0.05451888
2018-12-28,-0.03507559,20,-0.04006103,0.00498544,-0.04762216,0.01254656,-0.06336940,0.02829380
2019-01-14,0.04780612,12,0.01678863,0.03101749,0.01897624,0.02882987,0.05280528,-0.00499916
2019-01-28,0.01545631,6,0.02413922,-0.00868291,0.03781009,-0.02235378,-0.03291536,0.04837167
2019-02-11,0.00481721,5,0.02191752,-0.01710031,0.03853749,-0.03372028,0.00810373,-0.00328652
2019-02-25,0.02366250,12,0.11582496,-0.09216246,0.12793411,-0.10427161,0.13504823,-0.11138574
