date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,299857.20,300000.00,300000.00,300000.00
2018-01-29,289147.56,309897.04,305451.44,300563.38
2018-02-12,289371.71,277449.32,276204.80,257746.48
2018-02-26,290871.45,292882.44,292415.53,290985.92
2018-03-12,295351.94,292629.59,293072.12,300000.00
2018-03-26,290577.06,275654.54,275479.76,260000.00
2018-04-09,292038.51,276056.69,273565.28,289859.15
2018-04-23,289848.16,269874.44,267416.26,260563.38
2018-05-07,293005.67,275911.65,272234.60,263380.28
2018-05-21,295192.20,282702.08,278415.62,269859.15
2018-06-04,290915.64,271913.35,270345.26,260845.07
2018-06-15,289840.79,265818.32,266500.92,246478.87
2018-07-02,289829.83,244148.95,241971.89,218309.86
2018-07-16,289909.62,247534.22,246524.68,213802.82
2018-07-30,293716.49,252372.92,249577.30,220000.00
2018-08-13,291662.13,245056.29,240720.86,224507.04
2018-08-27,291460.57,244618.85,241873.18,211830.99
2018-09-10,280201.18,234818.39,229340.96,199154.93
2018-09-21,282817.18,246077.80,242150.94,202535.21
2018-10-08,281482.52,238954.97,233660.05,194366.20
2018-10-22,282277.56,233533.39,232195.60,169014.08
2018-11-05,289686.76,234461.79,231667.48,173239.44
2018-11-19,288688.33,237811.55,233923.07,191267.61
2018-12-03,288908.08,233526.51,231533.65,195774.65
2018-12-17,284705.66,228528.02,224450.95,182253.52
2018-12-28,274719.44,219372.95,213762.11,170704.23
2019-01-14,287852.71,223055.92,217818.52,179718.31
2019-01-28,292301.85,228440.32,226054.25,173802.82
2019-02-11,293709.93,233447.16,234765.82,175211.27
2019-02-25,300659.84,260486.17,264800.37,198873.24
2019-03-11,303955.23,266266.20,264833.85,204507.04
2019-03-25,312682.84,267677.04,265747.68,272957.75
2019-04-08,326469.24,285426.32,288070.92,262535.21
2019-04-22,321439.22,282807.83,285826.01,259154.93
2019-05-06,309232.89,255664.04,261614.78,210140.85
2019-05-20,310431.43,252509.71,256870.12,210422.54
2019-06-03,309724.90,254222.92,257879.79,212676.06
2019-06-17,309566.26,254006.63,259499.49,204225.35
2019-07-01,315609.74,267841.67,279450.08,220281.69
2019-07-15,314681.20,258806.23,271524.58,222253.52
2019-07-29,313497.03,258702.58,273660.50,215492.96
2019-08-12,310813.76,247618.02,262643.45,197183.10
2019-08-26,312239.73,251890.68,267386.78,201971.83
2019-09-09,314153.73,266067.96,282086.87,212112.68
2019-09-23,312010.04,261875.41,276244.35,211830.99
2019-09-30,310593.81,255551.91,270838.73,203943.66
2019-10-21,309939.05,258580.39,275546.98,202535.21
2019-11-04,312799.05,261736.01,282454.17,203661.97
2019-11-18,312915.57,255904.73,277470.37,197183.10
2019-12-02,313193.87,252967.35,272367.45,192957.75
2019-12-16,314594.91,262518.94,283123.35,201690.14
2019-12-30,315830.10,267412.50,289803.71,209014.08
2020-01-13,319513.98,274057.80,298491.14,212676.06
2020-01-23,313062.92,261827.16,284284.58,194647.89
2020-02-10,312981.86,254258.71,278043.79,179718.31
2020-02-24,315953.05,266639.24,293439.39,187605.63
2020-03-09,313661.99,258903.46,283803.98,190140.85
2020-03-23,299446.65,233998.82,250658.40,169295.77
2020-04-03,306747.87,243131.24,263645.54,169014.08
2020-04-20,308182.64,250921.80,273602.62,170704.23
2020-04-30,307943.72,251584.12,277800.40,166760.56
2020-05-18,308298.86,252933.08,278534.17,165070.42
2020-06-01,305167.32,256452.82,281972.68,187605.63
2020-06-15,305162.46,254218.50,280811.67,181408.45
2020-06-29,306298.43,260506.67,291797.66,176338.03
2020-07-13,309026.16,302885.05,344569.44,250422.54
2020-07-27,303949.33,281944.40,321528.53,198591.55
2020-08-10,305232.82,297252.38,335474.71,208169.01
2020-08-24,308110.50,297814.10,337674.30,207042.25
2020-09-07,305987.53,289629.27,331533.96,198028.17
2020-09-21,304265.56,291770.70,333100.29,198028.17
2020-09-30,305709.98,283072.56,325713.76,186760.56
2020-10-19,307222.44,291395.27,337648.66,191267.61
2020-11-02,305277.38,283694.25,335187.97,182253.52
2020-11-16,306400.61,294412.62,348205.48,196901.41
2020-11-30,305660.83,298352.16,352187.29,204225.35
2020-12-14,311238.73,296361.10,350382.65,195492.96
2020-12-28,312209.17,298838.63,359583.04,191267.61
2021-01-11,315689.74,310644.48,386332.55,187605.63
2021-01-25,315777.77,318802.28,399451.21,186478.87
2021-02-08,311537.89,310727.95,395094.44,177464.79
2021-02-22,313677.99,320403.83,397421.23,189295.77
2021-03-08,310194.96,300961.09,360691.38,190422.54
2021-03-22,310296.72,302898.50,359067.38,203380.28
2021-04-02,312590.79,306500.91,366480.32,199154.93
2021-04-19,313714.02,305898.89,361187.81,199718.31
2021-04-30,312403.10,303199.09,363777.43,190422.54
2021-05-17,314365.94,309423.37,368143.79,195211.27
2021-05-31,315262.95,318031.65,378551.55,191267.61
2021-06-11,318028.47,315768.41,370963.82,188732.39
2021-06-28,317648.82,317230.73,372884.94,189295.77
2021-07-12,318552.78,312081.67,364432.05,184788.73
2021-07-26,316080.41,305009.78,349705.57,181126.76
2021-08-09,318284.43,307401.87,353984.40,180281.69
2021-08-23,319271.26,305862.26,343356.52,184225.35
2021-09-06,322392.91,318593.04,350303.91,192957.75
2021-09-17,318980.85,317898.74,344780.96,194929.58
2021-09-30,316493.46,313870.03,345522.39,186478.87
2021-10-18,322531.32,313867.49,346118.29,184788.73
2021-11-01,317424.41,311786.40,347247.91,179154.93
2021-11-15,318218.60,310803.24,346658.07,198028.17
2021-11-29,321004.73,313388.87,344460.23,211549.30
2021-12-13,326646.51,323802.50,360959.49,204507.04
2021-12-27,326398.02,318075.35,349281.32,215211.27
2022-01-10,328145.78,316100.09,343936.38,218873.24
2022-01-24,322424.61,309994.18,339867.45,200845.07
2022-02-07,322578.76,301679.47,329029.17,210985.92
2022-02-21,326918.39,307048.03,329045.09,215211.27
2022-03-07,326060.51,296689.65,309055.45,221690.14
2022-03-21,323569.19,286207.03,302379.03,204507.04
2022-04-01,322759.67,288760.71,303615.32,229295.77
2022-04-18,320881.43,281090.90,295821.19,232676.06
2022-04-29,317912.74,268031.63,285160.72,193239.44
2022-05-16,318948.00,270379.07,280921.68,215774.65
2022-05-30,320200.03,277003.81,286067.91,232957.75
2022-06-13,325057.92,286371.12,297451.98,224788.73
2022-06-27,323472.41,297246.46,315551.16,223380.28
2022-07-11,322152.57,291475.92,309186.04,220000.00
2022-07-25,322376.96,285916.95,299105.72,227887.32
2022-08-08,322896.69,284733.46,294521.16,232957.75
2022-08-22,331724.97,288327.72,296887.08,241690.14
2022-09-05,331263.20,281476.87,285102.89,236338.03
2022-09-19,325678.13,274060.64,278895.45,209014.08
2022-09-30,324631.86,266037.32,270154.07,199436.62
