date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.12092792,8,0.03299014,-0.15391807,0.01817147,-0.13909939,0.00187793,-0.12280586
2018-02-12,0.01435447,2,-0.10470486,0.11905934,-0.09574890,0.11010337,-0.14245548,0.15680996
2018-02-26,0.05081348,7,0.05562502,-0.00481155,0.05869097,-0.00787749,0.12896175,-0.07814827
2018-03-12,0.09541579,12,-0.00086332,0.09627911,0.00224542,0.09317036,0.03097773,0.06443805
2018-03-26,-0.05353184,7,-0.05800867,0.00447683,-0.06002743,0.00649559,-0.13333333,0.07980149
2018-04-09,0.03790755,20,0.00145890,0.03644864,-0.00694962,0.04485717,0.11484290,-0.07693535
2018-04-23,-0.03285716,7,-0.02239485,-0.01046232,-0.02247731,-0.01037985,-0.10106900,0.06821183
2018-05-07,0.02456995,12,0.02237045,0.00219951,0.01801809,0.00655186,0.01081081,0.01375914
2018-05-21,0.02588859,12,0.02461088,0.00127771,0.02270478,0.00318381,0.02459893,0.00128966
2018-06-04,-0.06509712,2,-0.03816291,-0.02693421,-0.02898673,-0.03611039,-0.03340292,-0.03169420
2018-06-15,-0.07633668,2,-0.02241534,-0.05392134,-0.01422014,-0.06211654,-0.05507559,-0.02126109
2018-07-02,-0.07551629,2,-0.08151949,0.00600319,-0.09204105,0.01652476,-0.11428571,0.03876942
2018-07-16,0.03027967,6,0.01386561,0.01641406,0.01881537,0.01146430,-0.02064516,0.05092483
2018-07-30,0.05308445,6,0.01954758,0.03353687,0.01238261,0.04070183,0.02898551,0.02409894
2018-08-13,-0.03921327,6,-0.02899131,-0.01022196,-0.03548577,-0.00372750,0.02048656,-0.05969983
2018-08-27,-0.00127081,5,-0.00178508,0.00051427,0.00478695,-0.00605775,-0.05646173,0.05519093
2018-09-10,-0.20005337,4,-0.04006420,-0.15998917,-0.05181318,-0.14824019,-0.05984043,-0.14021295
2018-09-21,0.11306882,6,0.04794944,0.06511938,0.05585563,0.05721319,0.01697313,0.09609570
2018-10-08,-0.03270779,4,-0.02894543,-0.00376236,-0.03506445,0.00235666,-0.04033380,0.00762601
2018-10-22,-0.00013520,4,-0.02268874,0.02255354,-0.00626747,0.00613227,-0.13043478,0.13029959
2018-11-05,0.14922436,6,0.00397548,0.14524889,-0.00227446,0.15149882,0.02500000,0.12422436
2018-11-19,-0.01505988,6,0.01428700,-0.02934688,0.00973632,-0.02479620,0.10406504,-0.11912493
2018-12-03,0.00444067,10,-0.01801864,0.02245931,-0.01021455,0.01465522,0.02356406,-0.01912340
2018-12-17,-0.03535282,10,-0.02140438,-0.01394845,-0.03059035,-0.00476248,-0.06906475,0.03371192
2018-12-28,-0.04057553,10,-0.04006103,-0.00051450,-0.04762216,0.00704663,-0.06336940,0.02279387
2019-01-14,0.05254705,6,0.01678863,0.03575842,0.01897624,0.03357081,0.05280528,-0.00025823
2019-01-28,0.05640599,5,0.02413922,0.03226677,0.03781009,0.01859590,-0.03291536,0.08932135
2019-02-11,0.02386042,5,0.02191752,0.00194290,0.03853749,-0.01467707,0.00810373,0.01575669
2019-02-25,0.09026039,12,0.11582496,-0.02556457,0.12793411,-0.03767371,0.13504823,-0.04478784
2019-03-11,0.01954868,12,0.02218940,-0.00264072,0.00012643,0.01942225,0.02832861,-0.00877994
2019-03-25,0.06002071,25,0.00529859,0.05472212,0.00345061,0.05657011,0.33471074,-0.27469003
2019-04-08,0.08120231,24,0.06630855,0.01489376,0.08400163,-0.00279931,-0.03818369,0.11938601
2019-04-22,-0.03305081,19,-0.00917394,-0.02387687,-0.00779293,-0.02525788,-0.01287554,-0.02017527
2019-05-06,-0.09107759,9,-0.09597963,0.00490204,-0.08470617,-0.00637142,-0.18913043,0.09805284
2019-05-20,0.06309241,2,-0.01233781,0.07543022,-0.01813605,0.08122846,0.00134048,0.06175192
2019-06-03,-0.04336948,3,0.00678474,-0.05015422,0.00393066,-0.04730014,0.01070950,-0.05407898
2019-06-17,0.01429334,3,-0.00085077,0.01514411,0.00628084,0.00801249,-0.03973510,0.05402843
2019-07-01,0.16659495,10,0.05446720,0.11212775,0.07688106,0.08971389,0.07862069,0.08797426
2019-07-15,-0.01519384,6,-0.03373425,0.01854041,-0.02836106,0.01316722,0.00895141,-0.02414525
2019-07-29,0.00649339,6,-0.00040048,0.00689388,0.00786640,-0.00137301,-0.03041825,0.03691164
2019-08-12,-0.04748279,3,-0.04284675,-0.00463604,-0.04025813,-0.00722466,-0.08496732,0.03748453
2019-08-26,0.06091092,11,0.01725506,0.04365586,0.01805999,0.04285093,0.02428571,0.03662521
2019-09-09,0.02197644,11,0.05628347,-0.03430703,0.05497685,-0.03300041,0.05020921,-0.02823277
2019-09-23,-0.02297871,19,-0.01575743,-0.00722129,-0.02071177,-0.00226694,-0.00132802,-0.02165069
2019-09-30,-0.01400699,10,-0.02414701,0.01014002,-0.01956824,0.00556125,-0.03723404,0.02322706
