date,ts_code,name,shares,buy_price,buy_date,current_price,market_value,pnl_pct
20180129,600855.SH,航天长峰,900,13.7606,20180115,15.58,14022.0,13.22
20180129,000721.SZ,西安饮食,2500,5.338,20180115,5.43,13575.0,1.72
20180129,600237.SH,铜峰电子,2600,5.2278,20180115,5.13,13338.0,-1.87
20180129,603020.SH,爱普股份,1100,11.7376,20180115,11.72,12892.0,-0.15
20180129,000978.SZ,桂林旅游,1500,8.1622,20180115,8.33,12495.0,2.06
20180129,000159.SZ,国际实业,2300,5.2278,20180115,5.42,12466.0,3.68
20180129,600889.SH,南京化纤,1500,8.3024,20180115,8.3,12450.0,-0.03
20180129,000890.SZ,法尔胜,1800,6.4096,20180115,6.91,12438.0,7.81
20180129,000705.SZ,浙江震元,1500,8.0921,20180115,8.29,12435.0,2.45
20180129,600302.SH,标准股份,2000,5.8087,20180115,6.08,12160.0,4.67
20180129,600288.SH,大恒科技,1400,8.6029,20180115,8.59,12026.0,-0.15
20180129,000809.SZ,和展能源,3300,3.6955,20180115,3.63,11979.0,-1.77
20180129,000859.SZ,国风新材,2800,4.1863,20180115,4.17,11676.0,-0.39
20180129,600613.SH,神奇制药,1400,8.1422,20180115,8.25,11550.0,1.32
20180129,600523.SH,贵航股份,700,15.6334,20180115,16.49,11543.0,5.48
20180129,601616.SH,广电电气,2900,3.8157,20180115,3.91,11339.0,2.47
20180129,600313.SH,农发种业,3600,3.1247,20180115,3.13,11268.0,0.17
20180129,600268.SH,国电南自,2100,5.2378,20180115,5.25,11025.0,0.23
20180129,600356.SH,恒丰纸业,1300,8.1923,20180115,8.36,10868.0,2.05
20180129,603117.SH,万林物流,1200,9.2639,20180115,8.79,10548.0,-5.12
20180129,600232.SH,金鹰股份,1500,7.371,20180115,6.68,10020.0,-9.38
20180129,603686.SH,福龙马,400,24.1462,20180115,23.94,9576.0,-0.85
20180129,603508.SH,思维列控,200,37.7566,20180115,38.4,7680.0,1.7
20180129,000737.SZ,北方铜业,2800,4.4967,20180115,0.0,0.0,-100.0
20180129,600866.SH,星湖科技,2400,4.4867,20180115,0.0,0.0,-100.0
20180212,600313.SH,农发种业,4200,3.1261,20180115,3.81,16002.0,21.88
20180212,603117.SH,万林物流,1600,9.1487,20180115,8.59,13744.0,-6.11
20180212,000737.SZ,北方铜业,2800,4.4967,20180115,4.22,11816.0,-6.15
20180212,603020.SH,爱普股份,1100,11.7376,20180115,10.34,11374.0,-11.91
20180212,600237.SH,铜峰电子,2500,5.2278,20180115,4.19,10475.0,-19.85
20180212,600613.SH,神奇制药,1400,8.1422,20180115,7.41,10374.0,-8.99
20180212,603508.SH,思维列控,300,37.9902,20180115,34.09,10227.0,-10.27
20180212,000859.SZ,国风新材,2800,4.1863,20180115,3.57,9996.0,-14.72
20180212,600854.SH,春兰股份,2100,5.2879,20180129,4.6,9660.0,-13.01
20180212,600610.SH,中毅达,2000,5.0676,20180129,4.82,9640.0,-4.89
20180212,600540.SH,新赛股份,2500,4.4166,20180129,3.84,9600.0,-13.06
20180212,600186.SH,莲花控股,3600,2.8242,20180129,2.63,9468.0,-6.88
20180212,000428.SZ,华天酒店,2600,4.1262,20180129,3.62,9412.0,-12.27
20180212,600336.SH,澳柯玛,2200,4.8773,20180129,4.22,9284.0,-13.48
20180212,600865.SH,百大集团,1300,7.5113,20180129,6.98,9074.0,-7.07
20180212,600235.SH,民丰特纸,1600,6.3595,20180129,5.65,9040.0,-11.16
20180212,603100.SH,川仪股份,1000,9.9449,20180129,9.0,9000.0,-9.5
20180212,000948.SZ,南天信息,1000,10.0651,20180129,8.83,8830.0,-12.27
20180212,000692.SZ,惠天热电,2300,4.4767,20180129,3.83,8809.0,-14.45
20180212,600408.SH,安泰集团,3400,3.0546,20180129,2.55,8670.0,-16.52
20180212,600847.SH,万里股份,800,12.6389,20180129,10.8,8640.0,-14.55
20180212,600448.SH,华纺股份,1900,5.0876,20180129,4.43,8417.0,-12.93
20180212,600218.SH,全柴动力,1400,6.9604,20180129,5.87,8218.0,-15.67
20180212,600889.SH,南京化纤,1300,8.3024,20180115,6.28,8164.0,-24.36
20180212,603199.SH,九华旅游,300,26.9904,20180129,26.38,7914.0,-2.26
20180212,600501.SH,航天晨光,900,11.0365,20180129,8.34,7506.0,-24.43
20180212,600866.SH,星湖科技,2400,4.4867,20180115,0.0,0.0,-100.0
20180226,600215.SH,派斯林,1300,8.5228,20180212,10.63,13819.0,24.72
20180226,600235.SH,民丰特纸,2100,6.1926,20180129,5.95,12495.0,-3.92
20180226,600288.SH,大恒科技,1600,6.7802,20180212,7.22,11552.0,6.49
20180226,600647.SH,退市同达(退),800,13.0495,20180212,14.38,11504.0,10.2
20180226,600119.SH,长江投资,1000,9.9349,20180212,11.28,11280.0,13.54
20180226,600616.SH,金枫酒业,1500,7.2208,20180212,7.5,11250.0,3.87
20180226,000985.SZ,大庆华科,700,15.2128,20180212,16.06,11242.0,5.57
20180226,600679.SH,上海凤凰,700,14.9123,20180212,15.9,11130.0,6.62
20180226,000958.SZ,电投产融,2400,4.1362,20180212,4.61,11064.0,11.46
20180226,600833.SH,第一医药,1000,10.3655,20180212,11.03,11030.0,6.41
20180226,600105.SH,永鼎股份,2000,5.1577,20180212,5.42,10840.0,5.09
20180226,600626.SH,申达股份,1700,5.9489,20180212,6.35,10795.0,6.74
20180226,000582.SZ,北部湾港,1200,8.0821,20180212,8.96,10752.0,10.86
20180226,603020.SH,爱普股份,1000,11.7376,20180115,10.64,10640.0,-9.35
20180226,000973.SZ,佛塑科技,2100,4.7772,20180212,5.04,10584.0,5.5
20180226,600662.SH,外服控股,2200,4.5969,20180212,4.76,10472.0,3.55
20180226,000153.SZ,丰原药业,1400,7.0506,20180212,7.44,10416.0,5.52
20180226,000561.SZ,烽火电子,1500,6.5598,20180212,6.9,10350.0,5.19
20180226,000565.SZ,渝三峡Ａ,1700,5.8788,20180212,6.07,10319.0,3.25
20180226,600321.SH,正源股份(退),3000,3.325,20180212,3.4,10200.0,2.26
20180226,600756.SH,浪潮软件,700,13.7205,20180212,14.56,10192.0,6.12
20180226,600178.SH,东安动力,1800,5.2278,20180212,5.53,9954.0,5.78
20180226,000677.SZ,恒天海龙,3100,3.0946,20180212,3.21,9951.0,3.73
20180226,600775.SH,南京熊猫,1400,6.5899,20180212,6.83,9562.0,3.64
20180226,603358.SH,华达科技,300,30.1752,20180212,31.53,9459.0,4.49
20180226,600866.SH,星湖科技,2400,4.4867,20180115,0.0,0.0,-100.0
20180312,600288.SH,大恒科技,1900,6.8513,20180212,8.25,15675.0,20.41
20180312,600616.SH,金枫酒业,1800,7.2692,20180212,8.18,14724.0,12.53
20180312,600105.SH,永鼎股份,2500,5.2118,20180212,5.83,14575.0,11.86
20180312,000565.SZ,渝三峡Ａ,2200,5.9243,20180212,6.52,14344.0,10.05
20180312,600775.SH,南京熊猫,1900,6.6558,20180212,7.48,14212.0,12.38
20180312,600756.SH,浪潮软件,800,13.8282,20180212,16.74,13392.0,21.06
20180312,600833.SH,第一医药,1100,10.4274,20180212,11.84,13024.0,13.55
20180312,603020.SH,爱普股份,1100,11.6393,20180115,11.66,12826.0,0.18
20180312,600716.SH,凤凰股份,2500,4.2163,20180226,4.95,12375.0,17.4
20180312,000985.SZ,大庆华科,700,15.2128,20180212,17.2,12040.0,13.06
20180312,600321.SH,正源股份(退),3200,3.33,20180212,3.57,11424.0,7.21
