date,model_a_score,model_b_score,small_cap,industry_momentum,market_state
2018-01-29,-0.06555172,-0.06532264,-0.06693965,-0.03676934,-0.06693965
2018-02-12,-0.06243592,-0.06220150,-0.06338306,-0.03764285,-0.06338306
2018-02-26,0.06431211,0.06396832,0.06559662,0.03652368,0.06559662
2018-03-12,0.04201826,0.04145468,0.04269483,0.02773220,0.04269483
2018-03-26,-0.05047091,-0.05024753,-0.05117836,-0.03007740,-0.05117836
2018-04-09,0.03656412,0.03640738,0.03718334,0.02028028,0.03718334
2018-04-23,-0.03245435,-0.03252982,-0.03311205,-0.01876058,-0.03311205
2018-05-07,0.04923799,0.04892543,0.04983555,0.02522639,0.04983555
2018-05-21,0.02731157,0.02720491,0.02772683,0.01672596,0.02772683
2018-06-04,-0.12477042,-0.12432415,-0.12659661,-0.06679020,-0.12659661
2018-06-15,-0.02298447,-0.02275801,-0.01900665,-0.01375327,-0.02332902
2018-07-02,-0.00649627,-0.00643301,-0.00602140,-0.00432446,-0.00656880
2018-07-16,0.02827464,0.02811942,0.02859872,0.01700691,0.02859872
2018-07-30,0.04666981,0.04630101,0.03547400,0.03368809,0.04717262
2018-08-13,-0.03682798,-0.03689839,-0.02794118,-0.02515576,-0.03752303
2018-08-27,-0.00066548,-0.00065804,-0.00044929,-0.00047507,-0.00067789
2018-09-10,-0.04413512,-0.04410438,-0.01490354,-0.03322789,-0.04477776
2018-09-21,0.04354230,0.04304796,0.01819338,0.03146470,0.04411209
2018-10-08,-0.02583805,-0.02574031,-0.00000000,-0.02223405,-0.02601767
2018-10-22,-0.00898471,-0.00895686,-0.00383038,-0.00695744,-0.00913908
2018-11-05,0.00355678,0.00355593,0.00090540,0.00248667,0.00360001
2018-11-19,0.01504664,0.01500243,0.00510183,0.01207815,0.01534527
2018-12-03,-0.02726888,-0.02725321,-0.02307030,-0.02107441,-0.02778716
2018-12-17,-0.03538537,-0.03497513,-0.03301220,-0.02386800,-0.03582596
2018-12-28,-0.03700945,-0.03715467,-0.02848683,-0.02574487,-0.03795902
2019-01-14,0.06967375,0.06982815,0.02367736,0.05556471,0.07080826
2019-01-28,0.03558458,0.03505427,0.00898124,0.02494304,0.03617804
2019-02-11,0.01851242,0.01836839,0.00938773,0.01420136,0.01877112
2019-02-25,0.12616912,0.12684802,0.06414555,0.09915388,0.12891186
2019-03-11,0.05582739,0.05582926,0.03674003,0.03947784,0.05706805
2019-03-25,0.04534461,0.04491088,0.03608435,0.03077881,0.04605307
2019-04-08,0.07791886,0.07742498,0.04247481,0.05452355,0.07919643
2019-04-22,-0.03445245,-0.03445982,-0.01556116,-0.02169837,-0.03513451
2019-05-06,-0.09662736,-0.09631975,-0.04013358,-0.07554547,-0.09776801
2019-05-20,-0.03552157,-0.03577451,-0.00909733,-0.02925400,-0.03617684
2019-06-03,0.06620590,0.06645635,0.00550303,0.05871511,0.06714028
2019-06-17,0.00643661,0.00645227,0.00106724,0.00553078,0.00651930
2019-07-01,0.10002528,0.10035253,0.01662807,0.08560067,0.10186977
2019-07-15,-0.01661591,-0.01661756,-0.00272383,-0.01446565,-0.01676310
2019-07-29,-0.00953620,-0.00953297,-0.00082643,-0.00828923,-0.00963826
2019-08-12,-0.04570632,-0.04560681,-0.00784548,-0.03289557,-0.04646141
2019-08-26,0.03327519,0.03328783,0.00822701,0.02517501,0.03376962
2019-09-09,0.04155643,0.04152478,0.00000000,0.03692175,0.04178618
2019-09-23,-0.01953246,-0.01937286,-0.00316855,-0.01713844,-0.01974092
2019-09-30,-0.01078580,-0.01074598,-0.00185511,-0.00967997,-0.01087431
2019-10-21,0.01289160,0.01285413,0.00104266,0.01155434,0.01305516
2019-11-04,0.01733727,0.01730733,0.00000000,0.01525770,0.01754361
2019-11-18,0.00213405,0.00211417,0.00035039,0.00188089,0.00215909
2019-12-02,-0.02898331,-0.02886486,-0.00250069,-0.02672290,-0.02934403
2019-12-16,0.01700981,0.01707692,0.00000000,0.01484338,0.01723423
2019-12-30,0.02754344,0.02757653,0.00000000,0.02272776,0.02782555
2020-01-13,0.03132685,0.03134799,0.00000000,0.02268706,0.03170998
2020-01-23,-0.05608803,-0.05629869,-0.00000000,-0.04190346,-0.05673812
2020-02-10,-0.00173221,-0.00173047,-0.00027384,-0.00121266,-0.00175009
2020-02-24,0.02820799,0.02810527,0.00000000,0.02195396,0.02844707
2020-03-09,-0.01455871,-0.01445880,-0.00000000,-0.01103931,-0.01468163
2020-03-23,-0.10202625,-0.10127253,-0.00000000,-0.08656365,-0.10348943
2020-04-03,0.06887381,0.06854966,0.00000000,0.05491859,0.07032363
2020-04-20,0.04788665,0.04765243,0.00186196,0.03278343,0.04841903
2020-04-30,0.01348360,0.01323290,0.00432276,0.00942737,0.01360429
2020-05-18,0.04562131,0.04542830,0.00616591,0.03188338,0.04632813
2020-06-01,0.00314646,0.00313408,0.00000000,0.00242029,0.00319761
2020-06-15,-0.00385133,-0.00383157,-0.00000000,-0.00335153,-0.00387952
2020-06-29,0.04287353,0.04280826,0.00000000,0.03849373,0.04315066
2020-07-13,0.11550672,0.11604172,0.00000000,0.10227465,0.11727855
2020-07-27,-0.05195339,-0.05200747,-0.00000000,-0.04682828,-0.05228451
2020-08-10,0.01985530,0.02000187,0.00000000,0.01616864,0.02021194
2020-08-24,0.02402312,0.02398649,0.00000000,0.01858132,0.02434076
2020-09-07,-0.01940654,-0.01926866,-0.00000000,-0.01376184,-0.01962930
2020-09-21,0.00171552,0.00171806,0.00006355,0.00136298,0.00174177
2020-09-30,-0.00339452,-0.00341464,-0.00000000,-0.00250814,-0.00346920
2020-10-19,0.00989781,0.00987491,0.00074195,0.00747629,0.00999188
2020-11-02,0.02309594,0.02303689,0.00177687,0.01834495,0.02333940
2020-11-16,0.01054300,0.01055079,0.00049099,0.00858174,0.01069467
2020-11-30,-0.02366405,-0.02350377,-0.00193004,-0.01895854,-0.02395665
2020-12-14,0.04736472,0.04715458,0.01137227,0.03471151,0.04823720
2020-12-28,0.00858075,0.00844819,0.00513892,0.00620255,0.00877146
2021-01-11,-0.00723121,-0.00720079,-0.00435204,-0.00507534,-0.00733937
2021-01-25,0.03649181,0.03597853,0.02806186,0.02784441,0.03713772
2021-02-08,-0.03364099,-0.03301908,-0.02931598,-0.02431692,-0.03423245
2021-02-22,0.09116733,0.09131060,0.07323164,0.06776702,0.09389956
2021-03-08,0.00638116,0.00632915,0.00155550,0.00440518,0.00648491
2021-03-22,0.00831990,0.00824372,0.00070981,0.00611483,0.00840905
2021-04-02,0.04983759,0.04889058,0.02855039,0.03584860,0.05068720
2021-04-19,0.01487690,0.01464110,0.00794684,0.01000111,0.01526074
2021-04-30,0.00718275,0.00706345,0.00618821,0.00426940,0.00734353
2021-05-17,0.02215605,0.02159870,0.01843342,0.01178859,0.02271388
2021-05-31,0.01583754,0.01531181,0.01360324,0.00875606,0.01612863
2021-06-11,0.00726208,0.00723338,0.00456856,0.00409795,0.00742216
2021-06-28,0.01751410,0.01748834,0.01329561,0.01074063,0.01798763
2021-07-12,-0.00219801,-0.00218554,-0.00224933,-0.00148687,-0.00224933
2021-07-26,-0.01914716,-0.01899611,-0.01894772,-0.01075895,-0.01962660
2021-08-09,0.01586354,0.01548743,0.01611692,0.01013725,0.01611692
2021-08-23,0.03370248,0.03342087,0.03430150,0.02075127,0.03430150
2021-09-06,0.02871130,0.02831287,0.00692940,0.02038150,0.02913770
2021-09-17,-0.01157025,-0.01129831,-0.00181521,-0.00707343,-0.01173556
2021-09-30,-0.01832177,-0.01822906,-0.00471100,-0.01353201,-0.01881689
2021-10-18,0.04651026,0.04568286,0.01906342,0.03330655,0.04738805
2021-11-01,-0.01653795,-0.01619686,-0.01321028,-0.01170447,-0.01670507
2021-11-15,0.02548952,0.02539262,0.01800964,0.01685901,0.02608115
2021-11-29,0.04756714,0.04712576,0.03999927,0.02979334,0.04870862
2021-12-13,0.03522284,0.03501833,0.03070757,0.02397348,0.03609724
2021-12-27,0.01075917,0.01073854,0.00933625,0.00826611,0.01098340
2022-01-10,0.00568167,0.00563957,0.00471946,0.00417462,0.00584218
2022-01-24,-0.03999498,-0.03994329,-0.03939106,-0.02858662,-0.04090628
2022-02-07,-0.01729713,-0.01715571,-0.01711216,-0.00970130,-0.01773038
2022-02-21,0.02443209,0.02438978,0.02144077,0.01280402,0.02517686
2022-03-07,-0.01212360,-0.01208579,-0.01037026,-0.00598640,-0.01253020
2022-03-21,-0.02618154,-0.02595628,-0.02154154,-0.01209439,-0.02699699
2022-04-01,0.00447456,0.00440420,0.00368330,0.00189520,0.00458287
2022-04-18,-0.04325373,-0.04242726,-0.04432321,-0.02108823,-0.04432321
2022-04-29,-0.12041269,-0.11963470,-0.10196664,-0.06193300,-0.12220238
2022-05-16,0.08621434,0.08526462,0.08079848,0.06141686,0.08813895
2022-05-30,0.04275232,0.04292036,0.02931364,0.03093282,0.04373933
2022-06-13,0.04769106,0.04803471,0.02700398,0.03188262,0.04905752
