date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.06693965,27,0.03299014,-0.09992979,0.01817147,-0.08511112,0.00187793,-0.06881758
2018-02-12,-0.06338306,26,-0.10470486,0.04132180,-0.09574890,0.03236583,-0.14245548,0.07907242
2018-02-26,0.06559662,26,0.05562502,0.00997160,0.05869097,0.00690566,0.12896175,-0.06336513
2018-03-12,0.04269483,27,-0.00086332,0.04355815,0.00224542,0.04044940,0.03097773,0.01171709
2018-03-26,-0.05117836,27,-0.05800867,0.00683031,-0.06002743,0.00884907,-0.13333333,0.08215497
2018-04-09,0.03718334,27,0.00145890,0.03572443,-0.00694962,0.04413296,0.11484290,-0.07765957
2018-04-23,-0.03311205,27,-0.02239485,-0.01071720,-0.02247731,-0.01063473,-0.10106900,0.06795695
2018-05-07,0.04983555,26,0.02237045,0.02746510,0.01801809,0.03181746,0.01081081,0.03902474
2018-05-21,0.02772683,26,0.02461088,0.00311595,0.02270478,0.00502205,0.02459893,0.00312790
2018-06-04,-0.12659661,28,-0.03816291,-0.08843371,-0.02898673,-0.09760988,-0.03340292,-0.09319369
2018-06-15,-0.02332902,26,-0.02241534,-0.00091368,-0.01422014,-0.00910888,-0.05507559,0.03174657
2018-07-02,-0.00656880,12,-0.08151949,0.07495069,-0.09204105,0.08547226,-0.11428571,0.10771692
2018-07-16,0.02859872,12,0.01386561,0.01473311,0.01881537,0.00978335,-0.02064516,0.04924389
2018-07-30,0.04717262,12,0.01954758,0.02762504,0.01238261,0.03479000,0.02898551,0.01818711
2018-08-13,-0.03752303,12,-0.02899131,-0.00853172,-0.03548577,-0.00203726,0.02048656,-0.05800958
2018-08-27,-0.00067789,11,-0.00178508,0.00110719,0.00478695,-0.00546483,-0.05646173,0.05578384
2018-09-10,-0.04477776,11,-0.04006420,-0.00471356,-0.05181318,0.00703542,-0.05984043,0.01506267
2018-09-21,0.04411209,11,0.04794944,-0.00383735,0.05585563,-0.01174354,0.01697313,0.02713897
2018-10-08,-0.02601767,11,-0.02894543,0.00292776,-0.03506445,0.00904678,-0.04033380,0.01431613
2018-10-22,-0.00913908,12,-0.02268874,0.01354967,-0.00626747,-0.00287161,-0.13043478,0.12129571
2018-11-05,0.00360001,11,0.00397548,-0.00037546,-0.00227446,0.00587447,0.02500000,-0.02139999
2018-11-19,0.01534527,12,0.01428700,0.00105827,0.00973632,0.00560895,0.10406504,-0.08871977
2018-12-03,-0.02778716,12,-0.01801864,-0.00976852,-0.01021455,-0.01757261,0.02356406,-0.05135123
2018-12-17,-0.03582596,12,-0.02140438,-0.01442158,-0.03059035,-0.00523561,-0.06906475,0.03323879
2018-12-28,-0.03795902,12,-0.04006103,0.00210201,-0.04762216,0.00966313,-0.06336940,0.02541037
2019-01-14,0.07080826,12,0.01678863,0.05401963,0.01897624,0.05183202,0.05280528,0.01800298
2019-01-28,0.03617804,11,0.02413922,0.01203882,0.03781009,-0.00163205,-0.03291536,0.06909340
2019-02-11,0.01877112,11,0.02191752,-0.00314640,0.03853749,-0.01976636,0.00810373,0.01066740
2019-02-25,0.12891186,12,0.11582496,0.01308690,0.12793411,0.00097775,0.13504823,-0.00613638
2019-03-11,0.05706805,25,0.02218940,0.03487865,0.00012643,0.05694162,0.02832861,0.02873943
2019-03-25,0.04605307,25,0.00529859,0.04075447,0.00345061,0.04260246,0.33471074,-0.28865768
2019-04-08,0.07919643,24,0.06630855,0.01288788,0.08400163,-0.00480519,-0.03818369,0.11738013
2019-04-22,-0.03513451,24,-0.00917394,-0.02596057,-0.00779293,-0.02734158,-0.01287554,-0.02225897
2019-05-06,-0.09776801,11,-0.09597963,-0.00178838,-0.08470617,-0.01306184,-0.18913043,0.09136242
2019-05-20,-0.03617684,12,-0.01233781,-0.02383903,-0.01813605,-0.01804079,0.00134048,-0.03751733
2019-06-03,0.06714028,11,0.00678474,0.06035555,0.00393066,0.06320963,0.01070950,0.05643078
2019-06-17,0.00651930,11,-0.00085077,0.00737007,0.00628084,0.00023846,-0.03973510,0.04625440
2019-07-01,0.10186977,11,0.05446720,0.04740257,0.07688106,0.02498871,0.07862069,0.02324908
2019-07-15,-0.01676310,11,-0.03373425,0.01697115,-0.02836106,0.01159797,0.00895141,-0.02571450
2019-07-29,-0.00963826,11,-0.00040048,-0.00923778,0.00786640,-0.01750466,-0.03041825,0.02077999
2019-08-12,-0.04646141,12,-0.04284675,-0.00361465,-0.04025813,-0.00620328,-0.08496732,0.03850591
2019-08-26,0.03376962,11,0.01725506,0.01651456,0.01805999,0.01570963,0.02428571,0.00948390
2019-09-09,0.04178618,10,0.05628347,-0.01449729,0.05497685,-0.01319067,0.05020921,-0.00842303
2019-09-23,-0.01974092,11,-0.01575743,-0.00398350,-0.02071177,0.00097085,-0.00132802,-0.01841290
2019-09-30,-0.01087431,10,-0.02414701,0.01327270,-0.01956824,0.00869393,-0.03723404,0.02635973
2019-10-21,0.01305516,10,0.01185076,0.00120440,0.01738396,-0.00432880,-0.00690608,0.01996123
2019-11-04,0.01754361,11,0.01220363,0.00533998,0.02506720,-0.00752360,0.00556328,0.01198032
2019-11-18,0.00215909,11,-0.02227924,0.02443833,-0.01764463,0.01980372,-0.03181189,0.03397098
2019-12-02,-0.02934403,12,-0.01147841,-0.01786562,-0.01839087,-0.01095316,-0.02142857,-0.00791546
2019-12-16,0.01723423,11,0.03775820,-0.02052397,0.03949040,-0.02225617,0.04525547,-0.02802124
2019-12-30,0.02782555,11,0.01864078,0.00918477,0.02359521,0.00423034,0.03631285,-0.00848730
2020-01-13,0.03170998,10,0.02485036,0.00685962,0.02997695,0.00173304,0.01752022,0.01418977
2020-01-23,-0.05673812,11,-0.04462796,-0.01211016,-0.04759457,-0.00914355,-0.08476821,0.02803009
2020-02-10,-0.00175009,11,-0.02890626,0.02715617,-0.02195261,0.02020252,-0.07670043,0.07495034
2020-02-24,0.02844707,11,0.04869265,-0.02024557,0.05537112,-0.02692405,0.04388715,-0.01544007
2020-03-09,-0.01468163,11,-0.02901215,0.01433052,-0.03283610,0.01815447,0.01351351,-0.02819514
2020-03-23,-0.10348943,11,-0.09619277,-0.00729666,-0.11679040,0.01330097,-0.10962963,0.00614020
2020-04-03,0.07032363,12,0.03902762,0.03129601,0.05181208,0.01851154,-0.00166389,0.07198752
2020-04-20,0.04841903,21,0.03204262,0.01637641,0.03776692,0.01065212,0.01000000,0.03841903
2020-04-30,0.01360429,12,0.00263953,0.01096476,0.01534262,-0.00173833,-0.02310231,0.03670660
2020-05-18,0.04632813,21,0.00536187,0.04096625,0.00264135,0.04368677,-0.01013514,0.05646326
2020-06-01,0.00319761,12,0.01391572,-0.01071810,0.01234504,-0.00914743,0.13651877,-0.13332116
2020-06-15,-0.00387952,9,-0.00871243,0.00483291,-0.00411748,0.00023795,-0.03303303,0.02915351
2020-06-29,0.04315066,10,0.02473531,0.01841535,0.03912226,0.00402839,-0.02795031,0.07110097
2020-07-13,0.11727855,10,0.16267676,-0.04539821,0.18085063,-0.06357208,0.42012780,-0.30284924
2020-07-27,-0.05228451,10,-0.06913729,0.01685278,-0.06686870,0.01458419,-0.20697413,0.15468962
2020-08-10,0.02021194,11,0.05429432,-0.03408238,0.04337460,-0.02316266,0.04822695,-0.02801501
2020-08-24,0.02434076,21,0.00188974,0.02245102,0.00655667,0.01778409,-0.00541272,0.02975348
2020-09-07,-0.01962930,12,-0.02748303,0.00785373,-0.01818422,-0.00144508,-0.04353741,0.02390812
2020-09-21,0.00174177,22,0.00739369,-0.00565193,0.00472449,-0.00298273,0.00000000,0.00174177
2020-09-30,-0.00346920,12,-0.02981156,0.02634236,-0.02217508,0.01870588,-0.05689900,0.05342981
2020-10-19,0.00999188,22,0.02940133,-0.01940945,0.03664227,-0.02665040,0.02413273,-0.01414085
2020-11-02,0.02333940,12,-0.02642810,0.04976750,-0.00728771,0.03062711,-0.04712813,0.07046753
2020-11-16,0.01069467,21,0.03778142,-0.02708675,0.03883644,-0.02814178,0.08037094,-0.06967628
2020-11-30,-0.02395665,12,0.01338103,-0.03733769,0.01143522,-0.03539188,0.03719599,-0.06115265
2020-12-14,0.04823720,21,-0.00667354,0.05491073,-0.00512407,0.05336127,-0.04275862,0.09099582
2020-12-28,0.00877146,22,0.00835984,0.00041162,0.02625812,-0.01748666,-0.02161383,0.03038529
2021-01-11,-0.00733937,22,0.03950578,-0.04684515,0.07439035,-0.08172972,-0.01914580,0.01180643
2021-01-25,0.03713772,23,0.02626090,0.01087682,0.03395691,0.00318081,-0.00600601,0.04314372
2021-02-08,-0.03423245,24,-0.02532709,-0.00890536,-0.01090690,-0.02332554,-0.04833837,0.01410592
2021-02-22,0.09389956,22,0.03113938,0.06276018,0.00588921,0.08801034,0.06666667,0.02723289
2021-03-08,0.00648491,21,-0.06068199,0.06716689,-0.09242047,0.09890537,0.00595238,0.00053252
2021-03-22,0.00840905,12,0.00643743,0.00197162,-0.00450246,0.01291151,0.06804734,-0.05963829
2021-04-02,0.05068720,24,0.01189311,0.03879409,0.02064500,0.03004221,-0.02077562,0.07146283
2021-04-19,0.01526074,23,-0.00196416,0.01722490,-0.01444146,0.02970220,0.00282885,0.01243189
2021-04-30,0.00734353,25,-0.00882579,0.01616932,0.00716972,0.00017381,-0.04654443,0.05388796
2021-05-17,0.02271388,25,0.02052868,0.00218520,0.01200282,0.01071106,0.02514793,-0.00243405
2021-05-31,0.01612863,25,0.02782041,-0.01169178,0.02827092,-0.01214229,-0.02020202,0.03633065
2021-06-11,0.00742216,23,-0.00711640,0.01453856,-0.02004412,0.02746627,-0.01325479,0.02067694
2021-06-28,0.01798763,23,0.00463099,0.01335664,0.00517874,0.01280889,0.00298507,0.01500256
2021-07-12,-0.00224933,25,-0.01623127,0.01398194,-0.02266889,0.02041956,-0.02380952,0.02156019
2021-07-26,-0.01962660,25,-0.02266038,0.00303377,-0.04040942,0.02078282,-0.01981707,0.00019047
2021-08-09,0.01611692,25,0.00784264,0.00827428,0.01223554,0.00388138,-0.00466563,0.02078255
2021-08-23,0.03430150,25,-0.00500845,0.03930994,-0.03002359,0.06432509,0.02187500,0.01242650
2021-09-06,0.02913770,24,0.04162258,-0.01248488,0.02023376,0.00890394,0.04740061,-0.01826291
2021-09-17,-0.01173556,20,-0.00217927,-0.00955629,-0.01576618,0.00403062,0.01021898,-0.02195454
2021-09-30,-0.01881689,12,-0.01267292,-0.00614397,0.00215044,-0.02096733,-0.04335260,0.02453571
2021-10-18,0.04738805,25,-0.00000810,0.04739615,0.00172463,0.04566342,-0.00906344,0.05645150
2021-11-01,-0.01670507,25,-0.00663046,-0.01007461,0.00326370,-0.01996877,-0.03048780,0.01378274
