date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,299523.38,300000.00,300000.00,300000.00
2018-01-29,279473.39,309897.04,305451.44,300563.38
2018-02-12,261759.51,277449.32,276204.80,257746.48
2018-02-26,278930.05,292882.44,292415.53,290985.92
2018-03-12,290838.92,292629.59,293072.12,300000.00
2018-03-26,275954.26,275654.54,275479.76,260000.00
2018-04-09,286215.16,276056.69,273565.28,289859.15
2018-04-23,276737.99,269874.44,267416.26,260563.38
2018-05-07,290529.38,275911.65,272234.60,263380.28
2018-05-21,298584.84,282702.08,278415.62,269859.15
2018-06-04,260785.01,271913.35,270345.26,260845.07
2018-06-15,254701.15,265818.32,266500.92,246478.87
2018-07-02,253028.07,244148.95,241971.89,218309.86
2018-07-16,260264.35,247534.22,246524.68,213802.82
2018-07-30,272541.70,252372.92,249577.30,220000.00
2018-08-13,262315.11,245056.29,240720.86,224507.04
2018-08-27,262137.29,244618.85,241873.18,211830.99
2018-09-10,250399.37,234818.39,229340.96,199154.93
2018-09-21,261445.01,246077.80,242150.94,202535.21
2018-10-08,254642.82,238954.97,233660.05,194366.20
2018-10-22,252315.62,233533.39,232195.60,169014.08
2018-11-05,253223.96,234461.79,231667.48,173239.44
2018-11-19,257109.75,237811.55,233923.07,191267.61
2018-12-03,249965.40,233526.51,231533.65,195774.65
2018-12-17,241010.15,228528.02,224450.95,182253.52
2018-12-28,231861.64,219372.95,213762.11,170704.23
2019-01-14,248279.36,223055.92,217818.52,179718.31
2019-01-28,257261.62,228440.32,226054.25,173802.82
2019-02-11,262090.71,233447.16,234765.82,175211.27
2019-02-25,295877.31,260486.17,264800.37,198873.24
2019-03-11,312762.45,266266.20,264833.85,204507.04
2019-03-25,327166.12,267677.04,265747.68,272957.75
2019-04-08,353076.51,285426.32,288070.92,262535.21
2019-04-22,340671.34,282807.83,285826.01,259154.93
2019-05-06,307364.58,255664.04,261614.78,210140.85
2019-05-20,296245.10,252509.71,256870.12,210422.54
2019-06-03,316135.08,254222.92,257879.79,212676.06
2019-06-17,318196.06,254006.63,259499.49,204225.35
2019-07-01,350610.62,267841.67,279450.08,220281.69
2019-07-15,344733.30,258806.23,271524.58,222253.52
2019-07-29,341410.67,258702.58,273660.50,215492.96
2019-08-12,325548.25,247618.02,262643.45,197183.10
2019-08-26,336541.89,251890.68,267386.78,201971.83
2019-09-09,350604.69,266067.96,282086.87,212112.68
2019-09-23,343683.43,261875.41,276244.35,211830.99
2019-09-30,339946.11,255551.91,270838.73,203943.66
2019-10-21,344384.16,258580.39,275546.98,202535.21
2019-11-04,350425.90,261736.01,282454.17,203661.97
2019-11-18,351182.50,255904.73,277470.37,197183.10
2019-12-02,340877.39,252967.35,272367.45,192957.75
2019-12-16,346752.15,262518.94,283123.35,201690.14
2019-12-30,356400.72,267412.50,289803.71,209014.08
2020-01-13,367702.18,274057.80,298491.14,212676.06
2020-01-23,346839.45,261827.16,284284.58,194647.89
2020-02-10,346232.45,254258.71,278043.79,179718.31
2020-02-24,356081.75,266639.24,293439.39,187605.63
2020-03-09,350853.89,258903.46,283803.98,190140.85
2020-03-23,314544.22,233998.82,250658.40,169295.77
2020-04-03,336664.11,243131.24,263645.54,169014.08
2020-04-20,352965.06,250921.80,273602.62,170704.23
2020-04-30,357766.90,251584.12,277800.40,166760.56
2020-05-18,374341.57,252933.08,278534.17,165070.42
2020-06-01,375538.57,256452.82,281972.68,187605.63
2020-06-15,374081.66,254218.50,280811.67,181408.45
2020-06-29,390223.53,260506.67,291797.66,176338.03
2020-07-13,435988.38,302885.05,344569.44,250422.54
2020-07-27,413192.94,281944.40,321528.53,198591.55
2020-08-10,421544.37,297252.38,335474.71,208169.01
2020-08-24,431805.08,297814.10,337674.30,207042.25
2020-09-07,423329.05,289629.27,331533.96,198028.17
2020-09-21,424066.39,291770.70,333100.29,198028.17
2020-09-30,422595.22,283072.56,325713.76,186760.56
2020-10-19,426817.74,291395.27,337648.66,191267.61
2020-11-02,436779.41,283694.25,335187.97,182253.52
2020-11-16,441450.62,294412.62,348205.48,196901.41
2020-11-30,430874.94,298352.16,352187.29,204225.35
2020-12-14,451659.14,296361.10,350382.65,195492.96
2020-12-28,455620.85,298838.63,359583.04,191267.61
2021-01-11,452276.88,310644.48,386332.55,187605.63
2021-01-25,469073.41,318802.28,399451.21,186478.87
2021-02-08,453015.88,310727.95,395094.44,177464.79
2021-02-22,495553.87,320403.83,397421.23,189295.77
2021-03-08,498767.49,300961.09,360691.38,190422.54
2021-03-22,502961.65,302898.50,359067.38,203380.28
2021-04-02,528455.37,306500.91,366480.32,199154.93
2021-04-19,536519.99,305898.89,361187.81,199718.31
2021-04-30,540459.94,303199.09,363777.43,190422.54
2021-05-17,552735.88,309423.37,368143.79,195211.27
2021-05-31,561650.75,318031.65,378551.55,191267.61
2021-06-11,565819.41,315768.41,370963.82,188732.39
2021-06-28,575997.16,317230.73,372884.94,189295.77
2021-07-12,574701.55,312081.67,364432.05,184788.73
2021-07-26,563422.11,305009.78,349705.57,181126.76
2021-08-09,572502.74,307401.87,353984.40,180281.69
2021-08-23,592140.44,305862.26,343356.52,184225.35
2021-09-06,609394.05,318593.04,350303.91,192957.75
2021-09-17,602242.47,317898.74,344780.96,194929.58
2021-09-30,590910.14,313870.03,345522.39,186478.87
2021-10-18,618912.22,313867.49,346118.29,184788.73
2021-11-01,608573.25,311786.40,347247.91,179154.93
2021-11-15,624445.54,310803.24,346658.07,198028.17
2021-11-29,654861.42,313388.87,344460.23,211549.30
2021-12-13,678500.11,323802.50,360959.49,204507.04
2021-12-27,685952.35,318075.35,349281.32,215211.27
2022-01-10,689959.81,316100.09,343936.38,218873.24
2022-01-24,661736.12,309994.18,339867.45,200845.07
2022-02-07,650003.29,301679.47,329029.17,210985.92
2022-02-21,666368.33,307048.03,329045.09,215211.27
2022-03-07,658018.60,296689.65,309055.45,221690.14
2022-03-21,640254.08,286207.03,302379.03,204507.04
2022-04-01,643188.28,288760.71,303615.32,229295.77
2022-04-18,614680.11,281090.90,295821.19,232676.06
2022-04-29,539564.74,268031.63,285160.72,193239.44
2022-05-16,587121.41,270379.07,280921.68,215774.65
2022-05-30,612801.71,277003.81,286067.91,232957.75
2022-06-13,642864.24,286371.12,297451.98,224788.73
2022-06-27,620553.67,297246.46,315551.16,223380.28
2022-07-11,664413.97,291475.92,309186.04,220000.00
2022-07-25,675939.37,285916.95,299105.72,227887.32
2022-08-08,673908.56,284733.46,294521.16,232957.75
2022-08-22,717717.27,288327.72,296887.08,241690.14
2022-09-05,721388.69,281476.87,285102.89,236338.03
2022-09-19,678523.63,274060.64,278895.45,209014.08
2022-09-30,657977.50,266037.32,270154.07,199436.62
2022-10-17,698969.69,271363.70,273102.54,210985.92
2022-10-31,683465.40,254522.17,249124.59,204225.35
2022-11-14,725985.03,271228.15,269382.41,211549.30
2022-11-28,736047.22,270801.27,265067.29,214929.58
2022-12-12,757271.46,279641.05,280701.97,216338.03
2022-12-26,722245.42,269658.98,272894.98,205352.11
2023-01-09,739885.75,279380.93,284939.10,204225.35
2023-01-20,757975.37,287185.90,296896.32,215774.65
2023-02-06,790238.93,284888.64,290176.08,218309.86
2023-02-20,800013.79,289431.14,293485.60,208450.70
2023-03-06,811459.85,292218.51,291747.51,214929.58
2023-03-20,782759.24,284555.48,279681.93,213802.82
2023-04-03,780958.90,289964.00,290438.05,205070.42
2023-04-17,759600.14,297811.57,294614.10,221126.76
2023-04-28,751190.14,292328.35,286072.73,212394.37
2023-05-15,768430.54,291225.46,283928.57,220281.69
2023-05-29,763346.02,283371.31,272217.12,207042.25
2023-06-12,742333.79,284020.94,272961.99,217183.10
2023-06-26,730887.16,277140.87,270495.65,204507.04
2023-07-10,778675.88,281809.72,272954.50,222816.90
2023-07-24,774880.14,278332.07,270177.90,227887.32
2023-08-07,794593.82,287539.28,283308.43,219154.93
2023-08-21,789173.31,272070.52,264805.48,214929.58
2023-09-04,797646.82,279466.76,273282.87,214084.51
