date,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,pe_ttm,roe_ttm,turnover_20,mom_3_1,mom_6_1,ret_5d_std,volume_chg,high_low_20,close_to_high_60,dv_ttm,roa_ttm,gross_margin,low_leverage,growth_revenue,growth_profit,illiq_20
2018-02-28,-0.05109822,-0.01479036,-0.01819391,-0.02897283,-0.04400830,-0.06324249,-0.01795336,-0.04574537,-0.02164957,-0.04335674,-0.04851823,-0.03273802,-0.04102692,-0.02034445,-0.04550043,-0.04635382,-0.02667825,-0.02372933,-0.02027346,-0.03052092,-0.03091472,-0.00664947
2018-03-30,-0.03075082,-0.01396504,-0.00977557,-0.01483967,-0.02729949,-0.03848305,-0.00996200,-0.02832880,-0.00909589,-0.02789091,-0.03085773,-0.01805854,-0.01110887,-0.01230157,-0.01789696,-0.02849213,-0.01658344,-0.01447974,-0.01227279,-0.01905530,-0.01884896,-0.00384765
2018-04-27,-0.02841673,-0.02131039,-0.01464617,-0.01557117,-0.02607040,-0.03723538,-0.00921053,-0.02804489,-0.01128221,-0.01416309,-0.02726677,-0.01570743,-0.01406074,-0.01337361,-0.01685868,-0.02712464,-0.01671518,-0.01372063,-0.01070729,-0.01921311,-0.01883827,-0.00440920
2018-05-31,0.00187494,0.00153301,0.00093829,0.00155031,0.00183481,0.00266400,0.00068283,0.00201397,0.00080761,0.00104041,0.00167978,0.00094965,0.00126175,0.00090184,0.00167139,0.00173014,0.00118267,0.00106586,0.00084809,0.00137906,0.00148172,0.00030749
2018-06-29,-0.05342793,-0.04273774,-0.02109837,-0.03885116,-0.04979114,-0.07559601,-0.01932975,-0.05744273,-0.02455654,-0.04456717,-0.04341926,-0.03992875,-0.05043178,-0.02201678,-0.05466346,-0.05054916,-0.03497017,-0.03121146,-0.02557556,-0.03876513,-0.04252423,-0.00772236
2018-07-31,0.01081512,0.00844198,0.00595483,0.01010158,0.00934316,0.01525246,0.00403405,0.01167836,0.00434867,0.00925252,0.00827534,0.00512667,0.00824835,0.00525715,0.01042404,0.01049610,0.00750604,0.00661639,0.00498622,0.00826674,0.00866917,0.00171347
2018-08-31,-0.03514799,-0.03424360,-0.02307919,-0.02842351,-0.02789190,-0.04786188,-0.01389087,-0.03678574,-0.01684502,-0.02592878,-0.02586932,-0.02478982,-0.02878351,-0.01885712,-0.03129807,-0.03367826,-0.02325487,-0.02082806,-0.01561914,-0.02870730,-0.02876544,-0.00535512
2018-09-28,0.01105479,0.01120671,0.00768718,0.01004913,0.00795210,0.01386117,0.00418762,0.01113699,0.00563374,0.00813937,0.00976914,0.00893502,0.00983688,0.00741115,0.01046080,0.00994598,0.00697087,0.00621964,0.00474405,0.00858435,0.00858811,0.00144051
2018-10-31,-0.04596250,-0.02417118,-0.02086468,-0.02917570,-0.03391614,-0.05743804,-0.01390166,-0.04551604,-0.02157166,-0.04045914,-0.04173127,-0.03293261,-0.03959649,-0.01731983,-0.04217235,-0.04445794,-0.02857863,-0.02585172,-0.01954062,-0.03425230,-0.03335511,-0.00494582
2018-11-30,0.00176924,0.00158168,0.00050003,0.00085314,0.00150818,0.00233875,0.00056392,0.00186613,0.00048116,0.00169228,0.00171709,0.00074745,0.00061298,0.00056573,0.00154680,0.00185473,0.00119497,0.00102211,0.00081209,0.00141891,0.00136981,0.00022355
