date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-31,9988687.84,10000000.00,10000000.00,10000000.00
2018-02-28,9304698.17,9363872.46,9410048.92,9598130.84
2018-03-30,8918543.30,9103844.50,9117376.40,9121495.33
2018-04-27,8558479.86,8854866.77,8786168.36,8570093.46
2018-05-31,8583277.67,8892909.67,8892577.34,8710280.37
2018-06-29,7884944.60,8180276.88,8211103.28,7355140.19
2018-07-31,8013286.06,8263540.85,8226707.71,7289719.63
2018-08-31,7601244.19,7829302.89,7798369.21,6934579.44
2018-09-28,7715668.67,8105386.77,8042437.91,6616822.43
2018-10-31,7245211.62,7477471.34,7375814.29,5495327.10
2018-11-30,7263396.71,7435539.72,7419937.41,6355140.19
2018-12-28,6899022.48,7164652.58,7040984.55,5663551.40
2019-01-31,7444066.78,7425153.99,7487626.34,5579439.25
2019-02-28,8428885.99,8448993.28,8581518.51,6635514.02
2019-03-29,8896503.24,8879362.05,9056204.47,8299065.42
2019-04-30,9034277.81,8843683.53,9151786.25,7747663.55
2019-05-31,8426392.77,8327592.18,8488950.84,7009345.79
2019-06-28,8780917.70,8557945.92,8946861.60,7140186.92
2019-07-31,8749908.09,8424723.23,8969714.34,7084112.15
2019-08-30,8594547.41,8291797.30,8886053.33,6644859.81
2019-09-30,8573141.85,8346246.05,8920997.80,6766355.14
2019-10-31,8668815.90,8414812.67,9089906.62,6672897.20
2019-11-29,8563240.91,8250843.89,8954072.48,6420560.75
2019-12-31,9150692.34,8762625.64,9580634.35,6981308.41
2020-01-23,8918334.39,8551193.80,9363882.72,6457943.93
2020-02-28,8647180.20,8274753.40,9214551.53,5962616.82
2020-03-31,8213340.11,7901257.78,8620772.95,5644859.81
2020-04-30,8613887.44,8216659.26,9150303.99,5532710.28
2020-05-29,8384301.39,8194449.06,9043767.31,5654205.61
2020-06-30,8709920.94,8574596.24,9738219.00,6028037.38
2020-07-31,9614868.93,9509235.63,10980256.17,6747663.55
2020-08-31,9953978.14,9755357.73,11263633.10,6728971.96
2020-09-30,9516655.65,9245062.12,10728494.12,6196261.68
2020-10-30,9628104.42,9263679.50,10980928.78,6140186.92
2020-11-30,10343878.41,9744089.16,11600490.01,6775700.93
2020-12-31,10659722.85,9977694.71,12187586.72,6700934.58
2021-01-29,10781467.52,10006423.17,12516584.47,6168224.30
2021-02-26,10918617.80,10081150.11,12481027.73,6186915.89
2021-03-31,10570351.35,9888182.24,11806549.15,6672897.20
2021-04-30,10511361.34,9902388.32,11982250.94,6317757.01
2021-05-31,10790913.33,10386815.12,12468886.89,6345794.39
2021-06-30,10266007.82,10317060.85,12217410.86,6224299.07
2021-07-30,9350519.02,9760183.87,11251832.54,5897196.26
2021-08-31,9565634.62,10181297.96,11238830.36,6233644.86
2021-09-30,9799255.89,10250897.96,11380958.85,6186915.89
2021-10-29,9824970.41,10191053.96,11480090.06,5925233.64
2021-11-30,9480746.61,10238603.20,11300609.42,6981308.41
2021-12-31,9958074.71,10456620.53,11554000.13,7028037.38
2022-01-28,9351846.18,9656996.80,10673246.55,6654205.61
2022-02-28,9514794.23,9946774.24,10715048.06,7149532.71
2022-03-31,8931822.05,9343173.10,9875343.63,7196261.68
2022-04-29,8628289.04,8753830.05,9392741.45,6411214.95
2022-05-31,8723686.00,9154207.44,9568790.06,7859813.08
2022-06-30,9210735.58,9763799.96,10489048.55,7383177.57
2022-07-29,8584307.72,9346147.39,9752574.35,7476635.51
2022-08-31,8524680.08,9199342.32,9539141.55,7532710.28
2022-09-30,8038053.94,8688696.51,8898446.05,6616822.43
2022-10-31,7425161.90,8312615.31,8205768.49,6775700.93
2022-11-30,8297437.10,9053393.08,9011056.76,7130841.12
2022-12-30,8190324.30,8875052.45,9054550.08,6747663.55
2023-01-31,8658819.51,9353131.35,9721600.51,7196261.68
2023-02-28,8765324.80,9421896.78,9517201.13,6953271.03
2023-03-31,8830231.19,9402518.95,9473858.20,6738317.76
2023-04-28,9062462.18,9547353.23,9422781.45,7046728.97
2023-05-31,8574000.46,9206313.64,8883614.31,7037383.18
2023-06-30,8578848.84,9199125.42,8986301.97,7271028.04
2023-07-31,9002503.01,9454746.67,9388974.05,7588785.05
2023-08-31,8501738.76,8963015.58,8805793.01,6813084.11
2023-09-28,8513259.49,8936007.39,8628635.86,6897196.26
2023-10-31,8229261.20,8672551.23,8354982.04,6560747.66
2023-11-30,8067506.45,8703871.61,8176533.47,6775700.93
2023-12-29,7961330.81,8546616.45,8024301.37,6700934.58
2024-01-31,7804464.15,8011151.01,7519710.13,5906542.06
2024-02-29,8507596.83,8662210.61,8223026.15,5971962.62
2024-03-29,8513651.58,8736893.01,8273078.08,6018691.59
2024-04-30,8645494.74,8919773.35,8429559.81,6018691.59
2024-05-31,8688270.79,8868029.71,8372333.01,5915887.85
2024-06-28,8345800.39,8524977.95,8095741.56,5280373.83
2024-07-31,8366913.93,8442660.03,8049967.32,5457943.93
2024-08-30,8109971.52,8165326.73,7767799.50,5214953.27
2024-09-30,9605849.84,9585340.68,9396514.92,6037383.18
2024-10-31,9334418.01,9422526.23,9099934.22,6130841.12
2024-11-29,9346754.06,9556492.13,9159672.78,6242990.65
2024-12-31,9515734.48,9629196.85,9202535.58,6691588.79
2025-01-27,9230769.35,9338570.18,8926966.14,6710280.37
2025-02-28,9281441.08,9540523.54,9097616.81,6495327.10
2025-03-31,9363836.70,9583182.58,9091201.55,7065420.56
2025-04-30,9111276.83,9420248.04,8818194.38,6906542.06
2025-05-30,9175108.82,9616913.29,8981111.71,7448598.13
2025-06-30,9431897.55,9895404.93,9205267.64,7523364.49
2025-07-31,9618103.80,10265381.27,9531543.15,7757009.35
2025-08-29,10081291.78,11083344.01,10516524.18,8271028.04
2025-09-30,9889382.90,11154734.96,10853142.07,7663551.40
2025-10-31,10133209.53,11361618.17,10853081.50,9766355.14
2025-11-28,10020052.09,11171451.64,10586456.84,10102803.74
2025-12-31,10166806.68,11401982.35,10827991.81,12214953.27
