date,strategy,bench_000001.SH,bench_000905.SZ
2025-03-13,1000000,1000000.00,
2025-03-27,1000000,1004472.05,1000000.00
2025-04-10,1000000,959779.24,1052151.24
2025-04-24,1000000,981707.24,980443.29
2025-05-08,1000000,997995.46,994784.88
2025-05-22,1000000,1006389.32,1080834.42
2025-06-05,1000000,1007553.45,1035202.09
2025-06-19,1000000,1001006.24,1032594.52
2025-07-03,1000000,1030494.31,1080834.42
2025-07-17,1000000,1047070.49,1056062.58
2025-07-31,1000000,1063857.41,1082138.20
2025-08-14,1000000,1091616.25,1065189.05
2025-08-28,1000000,1144360.85,1187744.46
2025-09-11,1000000,1153802.52,1138200.78
2025-09-25,1000000,1147250.25,1071707.95
2025-10-09,1000000,1171268.35,1070404.17
2025-10-23,1000000,1167825.89,1335071.71
2025-11-06,1000000,1193237.23,1368970.01
2025-11-20,1000000,1170398.62,1434159.06
2025-12-04,1000000,1153946.59,1422425.03
2025-12-18,1000000,1154118.44,1649282.92
2025-12-31,1000000,1181649.57,1704041.72
2026-01-15,1000000,1224451.81,1683181.23
2026-01-29,1000000,1237963.86,1687092.57
2026-02-12,1000000,1230828.21,1594524.12
2026-02-26,1000000,1234583.59,1636245.11
2026-02-27,1000000,1239421.85,1661016.95
