date,ts_code,name,shares,buy_price,buy_date,current_price,market_value,pnl_pct
20180115,000701.SZ,厦门信达,3400,9.8147,20180115,9.8,33320.0,-0.15
20180115,603100.SH,川仪股份,3400,9.8047,20180115,9.79,33286.0,-0.15
20180115,000890.SZ,法尔胜,5200,6.4096,20180115,6.4,33280.0,-0.15
20180115,000737.SZ,北方铜业,7400,4.4967,20180115,4.49,33226.0,-0.15
20180115,000993.SZ,闽东电力,4300,7.7316,20180115,7.72,33196.0,-0.15
20180115,601218.SH,吉鑫科技,9400,3.5353,20180115,3.53,33182.0,-0.15
20180115,600889.SH,南京化纤,4000,8.3024,20180115,8.29,33160.0,-0.15
20180115,600866.SH,星湖科技,7400,4.4867,20180115,4.48,33152.0,-0.15
20180115,600747.SH,退市大控(退),13000,2.5538,20180115,2.55,33150.0,-0.15
20180115,000705.SZ,浙江震元,4100,8.0921,20180115,8.08,33128.0,-0.15
20180115,600232.SH,金鹰股份,4500,7.371,20180115,7.36,33120.0,-0.15
20180115,600359.SH,新农开发,5100,6.4997,20180115,6.49,33099.0,-0.15
20180115,000679.SZ,大连友谊,4700,7.0506,20180115,7.04,33088.0,-0.15
20180115,600218.SH,全柴动力,4800,6.9003,20180115,6.89,33072.0,-0.15
20180115,600313.SH,农发种业,10600,3.1247,20180115,3.12,33072.0,-0.15
20180115,000779.SZ,甘咨询,2500,13.2198,20180115,13.2,33000.0,-0.15
20180115,600853.SH,龙建股份,7000,4.7071,20180115,4.7,32900.0,-0.15
20180115,600386.SH,北巴传媒,6500,5.0676,20180115,5.06,32890.0,-0.15
20180115,600237.SH,铜峰电子,6300,5.2278,20180115,5.22,32886.0,-0.15
20180115,600767.SH,退市运盛(退),5400,6.0991,20180115,6.09,32886.0,-0.15
20180115,000551.SZ,创元科技,4100,8.032,20180115,8.02,32882.0,-0.15
20180115,000700.SZ,模塑科技,5900,5.5683,20180115,5.56,32804.0,-0.15
20180115,600556.SH,天下秀,4900,6.7,20180115,6.69,32781.0,-0.15
20180115,600356.SH,恒丰纸业,4000,8.1923,20180115,8.18,32720.0,-0.15
20180115,600189.SH,泉阳泉,4500,7.2809,20180115,7.27,32715.0,-0.15
20180115,600192.SH,长城电工,5200,6.2994,20180115,6.29,32708.0,-0.15
20180115,600327.SH,大东方,4400,7.4211,20180115,7.41,32604.0,-0.15
20180115,000978.SZ,桂林旅游,4000,8.1622,20180115,8.15,32600.0,-0.15
20180115,600746.SH,江苏索普,4100,7.9619,20180115,7.95,32595.0,-0.15
20180115,603611.SH,诺力股份,1600,20.02,20180115,19.99,31984.0,-0.15
20180129,600192.SH,长城电工,5100,6.2994,20180115,6.16,31416.0,-2.21
20180129,600178.SH,东安动力,5000,6.2894,20180129,6.28,31400.0,-0.15
20180129,000589.SZ,贵州轮胎,6900,4.5568,20180129,4.55,31395.0,-0.15
20180129,600747.SH,退市大控(退),12400,2.5538,20180115,2.53,31372.0,-0.93
20180129,600853.SH,龙建股份,6600,4.7071,20180115,4.75,31350.0,0.91
20180129,000428.SZ,华天酒店,7600,4.1262,20180129,4.12,31312.0,-0.15
20180129,600891.SH,退市秋林(退),4300,7.2909,20180129,7.28,31304.0,-0.15
20180129,600237.SH,铜峰电子,6100,5.2278,20180115,5.13,31293.0,-1.87
20180129,600979.SH,广安爱众,6100,5.1377,20180129,5.13,31293.0,-0.15
20180129,600218.SH,全柴动力,4500,6.9003,20180115,6.95,31275.0,0.72
20180129,000859.SZ,国风新材,7500,4.1763,20180129,4.17,31275.0,-0.15
20180129,000993.SZ,闽东电力,4000,7.7316,20180115,7.81,31240.0,1.01
20180129,601218.SH,吉鑫科技,8800,3.5353,20180115,3.55,31240.0,0.42
20180129,000551.SZ,创元科技,3900,8.032,20180115,8.01,31239.0,-0.27
20180129,000570.SZ,苏常柴Ａ,5700,5.4882,20180129,5.48,31236.0,-0.15
20180129,600336.SH,澳柯玛,6400,4.8773,20180129,4.87,31168.0,-0.15
20180129,600854.SH,春兰股份,5900,5.2879,20180129,5.28,31152.0,-0.15
20180129,000837.SZ,秦川机床,5200,5.999,20180129,5.99,31148.0,-0.15
20180129,600461.SH,洪城环境,5000,6.1993,20180129,6.19,30950.0,-0.15
20180129,600556.SH,天下秀,4700,6.7,20180115,6.58,30926.0,-1.79
20180129,600288.SH,大恒科技,3600,8.6029,20180129,8.59,30924.0,-0.15
20180129,000679.SZ,大连友谊,4500,7.0506,20180115,6.87,30915.0,-2.56
20180129,600969.SH,郴电国际,2500,12.3585,20180129,12.34,30850.0,-0.15
20180129,603100.SH,川仪股份,3100,9.8047,20180115,9.93,30783.0,1.28
20180129,600865.SH,百大集团,4100,7.5113,20180129,7.5,30750.0,-0.15
20180129,600889.SH,南京化纤,3700,8.3024,20180115,8.3,30710.0,-0.03
20180129,000705.SZ,浙江震元,3700,8.0921,20180115,8.29,30673.0,2.45
20180129,601368.SH,绿城水务,3500,8.7731,20180129,8.76,30660.0,-0.15
20180129,000701.SZ,厦门信达,3100,9.8147,20180115,9.88,30628.0,0.67
20180129,603020.SH,爱普股份,2600,11.7376,20180129,11.72,30472.0,-0.15
20180129,000737.SZ,北方铜业,7400,4.4967,20180115,0.0,0.0,-100.0
20180129,600866.SH,星湖科技,7400,4.4867,20180115,0.0,0.0,-100.0
20180212,600488.SH,津药药业,6500,4.3165,20180212,4.31,28015.0,-0.15
20180212,600805.SH,悦达投资,5300,5.2879,20180212,5.28,27984.0,-0.15
20180212,600792.SH,云煤能源,7600,3.6855,20180212,3.68,27968.0,-0.15
20180212,603366.SH,日出东方,5500,5.0876,20180212,5.08,27940.0,-0.15
20180212,600448.SH,华纺股份,6300,4.4366,20180212,4.43,27909.0,-0.15
20180212,603100.SH,川仪股份,3100,9.8047,20180115,9.0,27900.0,-8.21
20180212,000530.SZ,冰山冷热,6100,4.5769,20180212,4.57,27877.0,-0.15
20180212,601208.SH,东材科技,5200,5.368,20180212,5.36,27872.0,-0.15
20180212,600371.SH,万向德农,3300,8.4426,20180212,8.43,27819.0,-0.15
20180212,000520.SZ,凤凰航运,8800,3.1647,20180212,3.16,27808.0,-0.15
20180212,600526.SH,菲达环保,3500,7.9519,20180212,7.94,27790.0,-0.15
20180212,600425.SH,青松建化,8600,3.2348,20180212,3.23,27778.0,-0.15
20180212,600796.SH,钱江生化,4600,6.039,20180212,6.03,27738.0,-0.15
20180212,000795.SZ,英洛华,5300,5.2378,20180212,5.23,27719.0,-0.15
20180212,000635.SZ,英力特,2300,12.0581,20180212,12.04,27692.0,-0.15
20180212,600235.SH,民丰特纸,4900,5.6585,20180212,5.65,27685.0,-0.15
20180212,600178.SH,东安动力,5300,6.2293,20180129,5.22,27666.0,-16.2
20180212,000421.SZ,南京公用,5400,5.1277,20180212,5.12,27648.0,-0.15
20180212,000920.SZ,沃顿科技,3600,7.6915,20180212,7.68,27648.0,-0.15
20180212,603123.SH,翠微股份,4100,6.7501,20180212,6.74,27634.0,-0.15
20180212,600327.SH,大东方,4200,6.5799,20180212,6.57,27594.0,-0.15
20180212,000782.SZ,恒申新材,4500,6.1392,20180212,6.13,27585.0,-0.15
20180212,600131.SH,国网信通,5200,5.3079,20180212,5.3,27560.0,-0.15
20180212,000551.SZ,创元科技,4200,7.9276,20180115,6.56,27552.0,-17.25
20180212,603618.SH,杭电股份,4100,6.7201,20180212,6.71,27511.0,-0.15
20180212,000993.SZ,闽东电力,4100,7.7062,20180115,6.68,27388.0,-13.32
20180212,600101.SH,明星电力,3500,7.8017,20180212,7.79,27265.0,-0.15
20180212,603358.SH,华达科技,900,30.1752,20180212,30.13,27117.0,-0.15
20180212,601811.SH,新华文轩,2300,11.7676,20180212,11.75,27025.0,-0.15
20180212,600419.SH,天润乳业,700,36.725,20180212,36.67,25669.0,-0.15
20180212,600866.SH,星湖科技,7400,4.4867,20180115,0.0,0.0,-100.0
20180226,600327.SH,大东方,4300,6.5852,20180212,6.8,29240.0,3.26
20180226,600101.SH,明星电力,3600,7.8109,20180212,8.12,29232.0,3.96
20180226,000859.SZ,国风新材,7900,3.7056,20180226,3.7,29230.0,-0.15
20180226,000700.SZ,模塑科技,6000,4.8773,20180226,4.87,29220.0,-0.15
20180226,601616.SH,广电电气,8200,3.5653,20180226,3.56,29192.0,-0.15
20180226,600235.SH,民丰特纸,4900,5.6585,20180212,5.95,29155.0,5.15
20180226,600223.SH,福瑞达,8000,3.6455,20180226,3.64,29120.0,-0.15
20180226,600573.SH,惠泉啤酒,3900,7.4712,20180226,7.46,29094.0,-0.15
20180226,600222.SH,太龙药业,6500,4.4767,20180226,4.47,29055.0,-0.15
20180226,000419.SZ,通程控股,5300,5.4882,20180226,5.48,29044.0,-0.15
20180226,600448.SH,华纺股份,6500,4.4376,20180212,4.46,28990.0,0.51
20180226,600665.SH,天地源,6800,4.2664,20180226,4.26,28968.0,-0.15
20180226,603298.SH,杭叉集团,2000,14.5017,20180226,14.48,28960.0,-0.15
20180226,600792.SH,云煤能源,7600,3.6855,20180212,3.81,28956.0,3.38
20180226,000993.SZ,闽东电力,4100,7.7062,20180115,7.05,28905.0,-8.51
20180226,603100.SH,川仪股份,3100,9.8047,20180115,9.32,28892.0,-4.94
20180226,000551.SZ,创元科技,4200,7.9276,20180115,6.86,28812.0,-13.47
20180226,603668.SH,天马科技,2800,10.3054,20180226,10.29,28812.0,-0.15
20180226,000421.SZ,南京公用,5400,5.1277,20180212,5.33,28782.0,3.95
20180226,600095.SH,湘财股份,5400,5.338,20180226,5.33,28782.0,-0.15
20180226,000498.SZ,山东路桥,4400,6.5498,20180226,6.54,28776.0,-0.15
20180226,000978.SZ,桂林旅游,3700,7.7817,20180226,7.77,28749.0,-0.15
20180226,603567.SH,珍宝岛,2100,13.6805,20180226,13.66,28686.0,-0.15
20180226,600189.SH,泉阳泉,3900,7.361,20180226,7.35,28665.0,-0.15
20180226,600149.SH,廊坊发展,3400,8.4426,20180226,8.43,28662.0,-0.15
20180226,000835.SZ,长动退(退),3800,7.5513,20180226,7.54,28652.0,-0.15
20180226,600883.SH,博闻科技,3700,7.7516,20180226,7.74,28638.0,-0.15
20180226,603358.SH,华达科技,900,30.1752,20180212,31.53,28377.0,4.49
20180226,603990.SH,麦迪科技,800,34.021,20180226,33.97,27176.0,-0.15
20180226,600793.SH,宜宾纸业,1200,22.5638,20180226,22.53,27036.0,-0.15
20180226,600866.SH,星湖科技,7400,4.4867,20180115,0.0,0.0,-100.0
20180312,600159.SH,大龙地产,8500,3.6254,20180312,3.62,30770.0,-0.15
20180312,600223.SH,福瑞达,8200,3.6481,20180226,3.75,30750.0,2.79
20180312,601208.SH,东材科技,5300,5.8087,20180312,5.8,30740.0,-0.15
20180312,601218.SH,吉鑫科技,9200,3.345,20180312,3.34,30728.0,-0.15
20180312,600052.SH,东望时代,8200,3.7356,20180312,3.73,30586.0,-0.15
20180312,600470.SH,六国化工,5500,5.5683,20180312,5.56,30580.0,-0.15
20180312,000859.SZ,国风新材,7800,3.7056,20180226,3.92,30576.0,5.79
20180312,000421.SZ,南京公用,5500,5.1355,20180212,5.55,30525.0,8.07
20180312,600644.SH,乐山电力,5000,6.1091,20180312,6.1,30500.0,-0.15
20180312,000785.SZ,居然智家,3200,9.5443,20180312,9.53,30496.0,-0.15
20180312,600819.SH,耀皮玻璃,6000,5.0876,20180312,5.08,30480.0,-0.15
20180312,000637.SZ,茂化实华,5500,5.5483,20180312,5.54,30470.0,-0.15
20180312,603300.SH,海南华铁,3900,7.8217,20180312,7.81,30459.0,-0.15
20180312,600235.SH,民丰特纸,4900,5.6585,20180212,6.21,30429.0,9.75
20180312,601616.SH,广电电气,8200,3.5653,20180226,3.71,30422.0,4.06
20180312,000428.SZ,华天酒店,7900,3.8558,20180312,3.85,30415.0,-0.15
20180312,000498.SZ,山东路桥,4600,6.5524,20180226,6.6,30360.0,0.73
20180312,600767.SH,退市运盛(退),4800,6.3295,20180312,6.32,30336.0,-0.15
20180312,603298.SH,杭叉集团,2000,14.5017,20180226,15.16,30320.0,4.54
20180312,600361.SH,创新新材,6000,5.0576,20180312,5.05,30300.0,-0.15
20180312,600802.SH,福建水泥,4200,7.2208,20180312,7.21,30282.0,-0.15
20180312,600189.SH,泉阳泉,4000,7.3665,20180226,7.57,30280.0,2.76
20180312,601368.SH,绿城水务,3600,8.3725,20180312,8.36,30096.0,-0.15
20180312,601811.SH,新华文轩,2400,12.5588,20180312,12.54,30096.0,-0.15
20180312,000978.SZ,桂林旅游,3800,7.7853,20180226,7.91,30058.0,1.6
20180312,603979.SH,金诚信,3000,10.025,20180312,10.01,30030.0,-0.15
20180312,601798.SH,蓝科高新,3600,8.3525,20180312,8.34,30024.0,-0.15
20180312,600697.SH,欧亚集团,1200,24.8773,20180312,24.84,29808.0,-0.15
20180312,601007.SH,金陵饭店,2800,10.656,20180312,10.64,29792.0,-0.15
20180312,603919.SH,金徽酒,1700,17.5263,20180312,17.5,29750.0,-0.15
20180312,600866.SH,星湖科技,7400,4.4867,20180115,0.0,0.0,-100.0
20180326,601208.SH,东材科技,5400,5.8013,20180312,5.4,29160.0,-6.92
20180326,600470.SH,六国化工,5600,5.5619,20180312,5.2,29120.0,-6.51
20180326,600982.SH,宁波能源,7600,3.8357,20180326,3.83,29108.0,-0.15
20180326,600078.SH,澄星股份,6600,4.4166,20180326,4.41,29106.0,-0.15
20180326,600654.SH,中安科,9800,2.9745,20180326,2.97,29106.0,-0.15
20180326,600576.SH,祥源文旅,4800,6.0691,20180326,6.06,29088.0,-0.15
20180326,600747.SH,退市大控(退),14900,1.9529,20180326,1.95,29055.0,-0.15
20180326,000850.SZ,华茂股份,7000,4.1562,20180326,4.15,29050.0,-0.15
20180326,600592.SH,龙溪股份,3500,8.3024,20180326,8.29,29015.0,-0.15
20180326,600356.SH,恒丰纸业,3800,7.6414,20180326,7.63,28994.0,-0.15
20180326,600397.SH,江钨装备,10900,2.664,20180326,2.66,28994.0,-0.15
20180326,600052.SH,东望时代,8200,3.7356,20180312,3.53,28946.0,-5.5
20180326,601689.SH,拓普集团,1500,19.3189,20180326,19.29,28935.0,-0.15
20180326,603979.SH,金诚信,3200,9.9643,20180312,9.04,28928.0,-9.28
20180326,601218.SH,吉鑫科技,9300,3.3425,20180312,3.11,28923.0,-6.96
20180326,600223.SH,福瑞达,8100,3.6481,20180226,3.57,28917.0,-2.14
20180326,000521.SZ,长虹美菱,7000,4.1362,20180326,4.13,28910.0,-0.15
20180326,600106.SH,重庆路桥,7400,3.9059,20180326,3.9,28860.0,-0.15
20180326,600173.SH,卧龙新能,5900,4.8973,20180326,4.89,28851.0,-0.15
20180326,600163.SH,中闽能源,7300,3.9559,20180326,3.95,28835.0,-0.15
20180326,600984.SH,建设机械,4500,6.4096,20180326,6.4,28800.0,-0.15
20180326,000159.SZ,国际实业,6500,4.4366,20180326,4.43,28795.0,-0.15
20180326,600854.SH,春兰股份,6200,4.647,20180326,4.64,28768.0,-0.15
20180326,000429.SZ,粤高速Ａ,3700,7.7616,20180326,7.75,28675.0,-0.15
20180326,000657.SZ,中钨高新,2700,10.6059,20180326,10.59,28593.0,-0.15
20180326,600858.SH,银座股份,4100,6.9805,20180326,6.97,28577.0,-0.15
20180326,000560.SZ,我爱我家,3600,7.9319,20180326,7.92,28512.0,-0.15
20180326,601007.SH,金陵饭店,2800,10.656,20180312,10.12,28336.0,-5.03
20180326,600697.SH,欧亚集团,1200,24.8773,20180312,23.45,28140.0,-5.74
20180326,603116.SH,红蜻蜓,2000,14.011,20180326,13.99,27980.0,-0.15
20180326,600866.SH,星湖科技,7400,4.4867,20180115,0.0,0.0,-100.0
20180409,600576.SH,祥源文旅,4600,6.0691,20180326,6.29,28934.0,3.64
20180409,600979.SH,广安爱众,6100,4.7471,20180409,4.74,28914.0,-0.15
20180409,600223.SH,福瑞达,8000,3.6481,20180226,3.61,28880.0,-1.05
20180409,600654.SH,中安科,9500,2.9745,20180326,3.04,28880.0,2.2
20180409,600982.SH,宁波能源,7500,3.8357,20180326,3.85,28875.0,0.37
20180409,600408.SH,安泰集团,12500,2.3135,20180409,2.31,28875.0,-0.15
20180409,600078.SH,澄星股份,6400,4.4166,20180326,4.51,28864.0,2.11
20180409,600397.SH,江钨装备,11000,2.6636,20180326,2.62,28820.0,-1.64
20180409,600747.SH,退市大控(退),14400,1.9529,20180326,2.0,28800.0,2.41
20180409,000737.SZ,北方铜业,7700,3.7456,20180409,3.74,28798.0,-0.15
20180409,600375.SH,汉马科技,5600,5.1477,20180409,5.14,28784.0,-0.15
20180409,600370.SH,三房巷,9400,3.0646,20180409,3.06,28764.0,-0.15
20180409,000159.SZ,国际实业,6400,4.4366,20180326,4.49,28736.0,1.2
20180409,600854.SH,春兰股份,6100,4.647,20180326,4.71,28731.0,1.36
20180409,601177.SH,杭齿前进,3800,7.5613,20180409,7.55,28690.0,-0.15
20180409,000599.SZ,青岛双星,4800,5.979,20180409,5.97,28656.0,-0.15
