date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.05690948,32,0.03299014,-0.08989963,0.01817147,-0.07508095,0.00187793,-0.05878742
2018-02-12,-0.10915670,31,-0.10470486,-0.00445184,-0.09574890,-0.01340780,-0.14245548,0.03329879
2018-02-26,0.04394244,31,0.05562502,-0.01168258,0.05869097,-0.01474852,0.12896175,-0.08501931
2018-03-12,0.05248153,31,-0.00086332,0.05334485,0.00224542,0.05023610,0.03097773,0.02150379
2018-03-26,-0.05109263,31,-0.05800867,0.00691604,-0.06002743,0.00893480,-0.13333333,0.08224070
2018-04-09,-0.00872439,32,0.00145890,-0.01018329,-0.00694962,-0.00177476,0.11484290,-0.12356729
2018-04-23,-0.07164304,33,-0.02239485,-0.04924819,-0.02247731,-0.04916572,-0.10106900,0.02942596
2018-05-07,0.10122687,31,0.02237045,0.07885643,0.01801809,0.08320878,0.01081081,0.09041606
2018-05-21,0.03254064,31,0.02461088,0.00792975,0.02270478,0.00983585,0.02459893,0.00794171
2018-06-04,-0.12493270,33,-0.03816291,-0.08676979,-0.02898673,-0.09594597,-0.03340292,-0.09152978
2018-06-15,0.02421954,31,-0.02241534,0.04663489,-0.01422014,0.03843969,-0.05507559,0.07929514
2018-07-02,-0.08197508,31,-0.08151949,-0.00045559,-0.09204105,0.01006597,-0.11428571,0.03231063
2018-07-16,-0.01485472,31,0.01386561,-0.02872033,0.01881537,-0.03367009,-0.02064516,0.00579045
2018-07-30,0.05572074,31,0.01954758,0.03617316,0.01238261,0.04333812,0.02898551,0.02673523
2018-08-13,0.01809486,30,-0.02899131,0.04708617,-0.03548577,0.05358063,0.02048656,-0.00239170
2018-08-27,-0.01441464,30,-0.00178508,-0.01262956,0.00478695,-0.01920159,-0.05646173,0.04204709
2018-09-10,-0.04956902,30,-0.04006420,-0.00950482,-0.05181318,0.00224416,-0.05984043,0.01027141
2018-09-21,0.03227797,30,0.04794944,-0.01567147,0.05585563,-0.02357766,0.01697313,0.01530485
2018-10-08,-0.03755898,30,-0.02894543,-0.00861355,-0.03506445,-0.00249453,-0.04033380,0.00277482
2018-10-22,-0.08702259,30,-0.02268874,-0.06433385,-0.00626747,-0.08075512,-0.13043478,0.04341219
2018-11-05,0.05899758,30,0.00397548,0.05502211,-0.00227446,0.06127204,0.02500000,0.03399758
2018-11-19,0.10190449,30,0.01428700,0.08761749,0.00973632,0.09216817,0.10406504,-0.00216055
2018-12-03,-0.03043027,30,-0.01801864,-0.01241163,-0.01021455,-0.02021572,0.02356406,-0.05399434
2018-12-17,-0.03863943,30,-0.02140438,-0.01723505,-0.03059035,-0.00804908,-0.06906475,0.03042532
2018-12-28,-0.04094015,30,-0.04006103,-0.00087912,-0.04762216,0.00668200,-0.06336940,0.02242924
2019-01-14,0.07199030,30,0.01678863,0.05520167,0.01897624,0.05301406,0.05280528,0.01918502
2019-01-28,-0.00118044,30,0.02413922,-0.02531966,0.03781009,-0.03899053,-0.03291536,0.03173492
2019-02-11,-0.00009686,30,0.02191752,-0.02201438,0.03853749,-0.03863435,0.00810373,-0.00820058
2019-02-25,0.13821073,30,0.11582496,0.02238577,0.12793411,0.01027662,0.13504823,0.00316249
2019-03-11,0.09477462,30,0.02218940,0.07258522,0.00012643,0.09464819,0.02832861,0.06644601
2019-03-25,0.05349620,31,0.00529859,0.04819760,0.00345061,0.05004559,0.33471074,-0.28121455
2019-04-08,0.09600656,30,0.06630855,0.02969801,0.08400163,0.01200494,-0.03818369,0.13419026
2019-04-22,0.06753757,30,-0.00917394,0.07671151,-0.00779293,0.07533050,-0.01287554,0.08041311
2019-05-06,-0.13766363,30,-0.09597963,-0.04168400,-0.08470617,-0.05295745,-0.18913043,0.05146681
2019-05-20,0.02411830,30,-0.01233781,0.03645611,-0.01813605,0.04225435,0.00134048,0.02277781
2019-06-03,-0.00488817,30,0.00678474,-0.01167291,0.00393066,-0.00881883,0.01070950,-0.01559768
2019-06-17,-0.00996796,30,-0.00085077,-0.00911719,0.00628084,-0.01624880,-0.03973510,0.02976714
2019-07-01,0.05026208,30,0.05446720,-0.00420512,0.07688106,-0.02661898,0.07862069,-0.02835861
2019-07-15,-0.02809933,30,-0.03373425,0.00563492,-0.02836106,0.00026173,0.00895141,-0.03705074
2019-07-29,-0.02501824,30,-0.00040048,-0.02461776,0.00786640,-0.03288465,-0.03041825,0.00540001
2019-08-12,-0.06933693,30,-0.04284675,-0.02649017,-0.04025813,-0.02907880,-0.08496732,0.01563039
2019-08-26,0.01850435,30,0.01725506,0.00124928,0.01805999,0.00044435,0.02428571,-0.00578137
2019-09-09,0.05727824,30,0.05628347,0.00099478,0.05497685,0.00230139,0.05020921,0.00706904
2019-09-23,-0.02077655,30,-0.01575743,-0.00501912,-0.02071177,-0.00006478,-0.00132802,-0.01944853
2019-09-30,-0.01483732,30,-0.02414701,0.00930969,-0.01956824,0.00473092,-0.03723404,0.02239672
2019-10-21,0.01265394,30,0.01185076,0.00080318,0.01738396,-0.00473002,-0.00690608,0.01956002
2019-11-04,0.01944901,30,0.01220363,0.00724538,0.02506720,-0.00561819,0.00556328,0.01388573
2019-11-18,-0.03372697,30,-0.02227924,-0.01144773,-0.01764463,-0.01608233,-0.03181189,-0.00191507
2019-12-02,0.01885462,30,-0.01147841,0.03033303,-0.01839087,0.03724548,-0.02142857,0.04028319
2019-12-16,0.03448981,30,0.03775820,-0.00326839,0.03949040,-0.00500059,0.04525547,-0.01076566
2019-12-30,0.03299535,30,0.01864078,0.01435457,0.02359521,0.00940014,0.03631285,-0.00331750
2020-01-13,0.04231342,30,0.02485036,0.01746305,0.02997695,0.01233647,0.01752022,0.02479320
2020-01-23,-0.05068342,30,-0.04462796,-0.00605547,-0.04759457,-0.00308886,-0.08476821,0.03408479
2020-02-10,-0.05970504,30,-0.02890626,-0.03079878,-0.02195261,-0.03775242,-0.07670043,0.01699540
2020-02-24,0.07511428,30,0.04869265,0.02642164,0.05537112,0.01974316,0.04388715,0.03122714
2020-03-09,0.03315411,30,-0.02901215,0.06216626,-0.03283610,0.06599020,0.01351351,0.01964059
2020-03-23,-0.06054106,29,-0.09619277,0.03565171,-0.11679040,0.05624934,-0.10962963,0.04908857
2020-04-03,0.07362986,30,0.03902762,0.03460224,0.05181208,0.02181778,-0.00166389,0.07529375
2020-04-20,0.03425118,29,0.03204262,0.00220856,0.03776692,-0.00351574,0.01000000,0.02425118
2020-04-30,0.00285840,29,0.00263953,0.00021887,0.01534262,-0.01248422,-0.02310231,0.02596071
2020-05-18,0.01524423,30,0.00536187,0.00988236,0.00264135,0.01260288,-0.01013514,0.02537937
2020-06-01,0.01275816,30,0.01391572,-0.00115756,0.01234504,0.00041312,0.13651877,-0.12376062
2020-06-15,-0.00933124,29,-0.00871243,-0.00061880,-0.00411748,-0.00521376,-0.03303303,0.02370180
2020-06-29,-0.00462345,30,0.02473531,-0.02935876,0.03912226,-0.04374572,-0.02795031,0.02332686
2020-07-13,0.15202481,29,0.16267676,-0.01065195,0.18085063,-0.02882582,0.42012780,-0.26810299
2020-07-27,-0.02711276,30,-0.06913729,0.04202454,-0.06686870,0.03975594,-0.20697413,0.17986137
2020-08-10,0.04230716,30,0.05429432,-0.01198716,0.04337460,-0.00106744,0.04822695,-0.00591979
2020-08-24,0.00976953,30,0.00188974,0.00787980,0.00655667,0.00321287,-0.00541272,0.01518225
2020-09-07,-0.00787900,30,-0.02748303,0.01960403,-0.01818422,0.01030522,-0.04353741,0.03565842
2020-09-21,-0.03832617,31,0.00739369,-0.04571986,0.00472449,-0.04305066,0.00000000,-0.03832617
2020-09-30,-0.03254576,30,-0.02981156,-0.00273420,-0.02217508,-0.01037068,-0.05689900,0.02435325
2020-10-19,0.02942288,31,0.02940133,0.00002155,0.03664227,-0.00721940,0.02413273,0.00529015
2020-11-02,-0.00394615,30,-0.02642810,0.02248196,-0.00728771,0.00334156,-0.04712813,0.04318198
2020-11-16,0.05600442,30,0.03778142,0.01822299,0.03883644,0.01716797,0.08037094,-0.02436653
2020-11-30,0.00673872,30,0.01338103,-0.00664231,0.01143522,-0.00469651,0.03719599,-0.03045728
2020-12-14,-0.01990967,30,-0.00667354,-0.01323613,-0.00512407,-0.01478559,-0.04275862,0.02284895
2020-12-28,0.00127762,30,0.00835984,-0.00708222,0.02625812,-0.02498050,-0.02161383,0.02289145
2021-01-11,-0.00118770,30,0.03950578,-0.04069348,0.07439035,-0.07557806,-0.01914580,0.01795810
2021-01-25,0.00440257,29,0.02626090,-0.02185833,0.03395691,-0.02955433,-0.00600601,0.01040858
2021-02-08,-0.02262934,30,-0.02532709,0.00269775,-0.01090690,-0.01172243,-0.04833837,0.02570903
2021-02-22,0.05174138,29,0.03113938,0.02060200,0.00588921,0.04585216,0.06666667,-0.01492529
2021-03-08,-0.06478003,29,-0.06068199,-0.00409804,-0.09242047,0.02764044,0.00595238,-0.07073241
2021-03-22,0.01095170,30,0.00643743,0.00451427,-0.00450246,0.01545415,0.06804734,-0.05709564
2021-04-02,0.01509700,30,0.01189311,0.00320389,0.02064500,-0.00554800,-0.02077562,0.03587262
2021-04-19,-0.00586703,29,-0.00196416,-0.00390287,-0.01444146,0.00857443,0.00282885,-0.00869589
2021-04-30,-0.01078037,29,-0.00882579,-0.00195458,0.00716972,-0.01795009,-0.04654443,0.03576406
2021-05-17,0.01764250,30,0.02052868,-0.00288618,0.01200282,0.00563968,0.02514793,-0.00750543
2021-05-31,-0.00144145,30,0.02782041,-0.02926186,0.02827092,-0.02971237,-0.02020202,0.01876057
