date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,998368.78,1000000.00,1000000.00,1000000.00
2018-01-29,941552.13,1032990.14,1018171.47,1001877.93
2018-02-12,838775.41,924831.05,920682.67,859154.93
2018-02-26,875633.25,976274.80,974718.43,969953.05
2018-03-12,921587.82,975431.96,976907.08,1000000.00
2018-03-26,874501.47,918848.45,918265.86,866666.67
2018-04-09,866871.98,920188.96,911884.26,966197.18
2018-04-23,804766.64,899581.47,891387.55,868544.60
2018-05-07,886230.65,919705.51,907448.65,877934.27
2018-05-21,915069.16,942340.28,928052.08,899530.52
2018-06-04,800747.10,906377.83,901150.88,869483.57
2018-06-15,820140.83,886061.06,888336.38,821596.24
2018-07-02,752909.72,813829.82,806572.97,727699.53
2018-07-16,741725.46,825114.07,821748.94,712676.06
2018-07-30,783054.95,841243.05,831924.34,733333.33
2018-08-13,797224.22,816854.31,802402.86,748356.81
2018-08-27,785732.52,815396.17,806243.92,706103.29
2018-09-10,746784.53,782727.97,764469.86,663849.77
2018-09-21,770889.22,820259.34,807169.81,675117.37
2018-10-08,741935.41,796516.58,778866.84,647887.32
2018-10-22,677370.27,778444.62,773985.32,563380.28
2018-11-05,717333.48,781539.31,772224.92,577464.79
2018-11-19,790432.98,792705.16,779743.55,637558.69
2018-12-03,766379.89,778421.69,771778.82,652582.16
2018-12-17,736767.41,761760.06,748169.84,607511.74
2018-12-28,706604.04,731243.17,712540.38,569014.08
2019-01-14,757472.68,743519.74,726061.72,599061.03
2019-01-28,756578.53,761467.73,753514.17,579342.72
2019-02-11,756505.25,778157.22,782552.72,584037.56
2019-02-25,861062.39,868287.24,882667.90,662910.80
2019-03-11,942669.25,887554.02,882779.49,681690.14
2019-03-25,993098.47,892256.80,885825.61,909859.15
2019-04-08,1088442.44,951421.06,960236.41,875117.37
2019-04-22,1161953.20,942692.78,952753.35,863849.77
2019-05-06,1001994.51,852213.47,872049.26,700469.48
2019-05-20,1026160.91,841699.03,856233.73,701408.45
2019-06-03,1021144.86,847409.73,859599.29,708920.19
2019-06-17,1010966.13,846688.78,864998.30,680751.17
2019-07-01,1061779.39,892805.55,931500.28,734272.30
2019-07-15,1031944.10,862687.43,905081.94,740845.07
2019-07-29,1006126.67,862341.94,912201.68,718309.86
2019-08-12,936364.94,825393.39,875478.15,657277.00
2019-08-26,953691.76,839635.60,891289.28,673239.44
2019-09-09,1008317.55,886893.20,940289.56,707042.25
2019-09-23,987368.19,872918.05,920814.50,706103.29
2019-09-30,972718.29,851839.69,902795.78,679812.21
2019-10-21,985027.01,861934.63,918489.94,675117.37
2019-11-04,1004184.81,872453.36,941513.92,678873.24
2019-11-18,970316.70,853015.76,924901.25,657277.00
2019-12-02,988611.65,843224.50,907891.51,643192.49
2019-12-16,1022708.68,875063.14,943744.51,672300.47
2019-12-30,1056453.31,891374.99,966012.36,696713.62
2020-01-13,1101155.46,913525.99,994970.46,708920.19
2020-01-23,1045345.13,872757.19,947615.27,648826.29
2020-02-10,982932.76,847529.04,926812.64,599061.03
2020-02-24,1056765.05,888797.47,978131.30,625352.11
2020-03-09,1091801.15,863011.55,946013.28,633802.82
2020-03-23,1025702.35,779996.07,835528.01,564319.25
2020-04-03,1101224.67,810437.46,878818.46,563380.28
2020-04-20,1138942.91,836406.00,912008.72,569014.08
2020-04-30,1142198.46,838613.72,926001.33,555868.54
2020-05-18,1159610.40,843110.26,928447.22,550234.74
2020-06-01,1174404.89,854842.75,939908.94,625352.11
2020-06-15,1163446.24,847394.99,936038.89,604694.84
2020-06-29,1158067.10,868355.56,972658.85,587793.43
2020-07-13,1334122.03,1009616.83,1148564.82,834741.78
2020-07-27,1297950.30,939814.66,1071761.78,661971.83
2020-08-10,1352862.89,990841.25,1118249.02,693896.71
2020-08-24,1366079.73,992713.68,1125581.01,690140.85
2020-09-07,1355316.39,965430.90,1105113.19,660093.90
2020-09-21,1303372.31,972569.00,1110334.30,660093.90
2020-09-30,1260953.07,943575.20,1085712.54,622535.21
2020-10-19,1298053.94,971317.57,1125495.52,637558.69
2020-11-02,1292931.63,945647.49,1117293.24,607511.74
