date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-12,-0.04374010,31,0.01096502,-0.05470512,0.02083974,-0.06457984,-0.01890189,-0.02483821
2018-01-19,-0.02349735,31,0.01718411,-0.04068146,0.01429443,-0.03779178,0.01284404,-0.03634138
2018-01-26,0.00536832,31,0.02014551,-0.01477719,0.02237941,-0.01701109,-0.01449275,0.01986107
2018-02-02,-0.11587163,31,-0.02699396,-0.08887766,-0.02512200,-0.09074963,-0.06617647,-0.04969516
2018-02-09,-0.07601658,31,-0.09596252,0.01994594,-0.10080928,0.02479270,-0.11417323,0.03815664
2018-02-14,0.03003977,31,0.02214422,0.00789556,0.03288730,-0.00284753,0.03777778,-0.00773800
2018-02-23,0.02265747,31,0.02809026,-0.00543279,0.02624868,-0.00359121,0.07280514,-0.05014767
2018-03-02,0.03218069,31,-0.01048816,0.04266885,-0.01341850,0.04559919,0.02994012,0.00224057
2018-03-09,0.02855334,31,0.01617356,0.01237978,0.02300637,0.00554696,0.00968992,0.01886341
2018-03-16,-0.00414723,31,-0.01127355,0.00712632,-0.01276328,0.00861605,-0.01343570,0.00928847
2018-03-23,-0.04268366,31,-0.03581820,-0.00686546,-0.03734500,-0.00533866,-0.10992218,0.06723852
2018-03-30,0.04411858,31,0.00511799,0.03900059,-0.00164863,0.04576721,0.06666667,-0.02254808
2018-04-04,-0.01249836,31,-0.01192377,-0.00057459,-0.01119282,-0.00130553,0.00307377,-0.01557213
2018-04-13,0.00994650,31,0.00892357,0.00102293,0.00422370,0.00572280,-0.01021450,0.02016101
2018-04-20,-0.06766853,32,-0.02770122,-0.03996731,-0.02849028,-0.03917824,-0.04334365,-0.02432487
2018-04-27,0.06352207,30,0.00348004,0.06004202,-0.00105769,0.06457975,-0.01078749,0.07430955
2018-05-04,-0.00313270,30,0.00285566,-0.00598836,0.00471711,-0.00784982,-0.00218103,-0.00095168
2018-05-11,0.01419881,30,0.02336752,-0.00916871,0.02602666,-0.01182785,0.00874317,0.00545564
2018-05-18,0.00476679,30,0.00949659,-0.00472980,0.00780446,-0.00303767,0.03141928,-0.02665250
2018-05-25,-0.00819704,30,-0.01628414,0.00808710,-0.02217891,0.01398187,0.04831933,-0.05651636
2018-06-01,-0.06058300,31,-0.02106323,-0.03951977,-0.01202906,-0.04855394,-0.08116232,0.02057932
2018-06-08,0.03106143,30,-0.00259806,0.03365949,0.00239400,0.02866743,-0.00872410,0.03978553
