date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-05,998371.99,1000000.00,1000000.00,1000000.00
2018-01-12,954703.10,1010965.02,1020839.74,981098.11
2018-01-19,932270.11,1028337.55,1035432.07,993699.37
2018-01-26,937274.83,1049053.94,1058604.43,979297.93
2018-02-02,828671.27,1020735.81,1032010.17,914491.45
2018-02-09,765678.51,922783.43,927973.96,810081.01
2018-02-14,788679.32,943217.75,958492.52,840684.07
2018-02-23,806548.80,969712.98,983651.68,901890.19
2018-03-02,832504.10,959542.48,970452.56,928892.89
2018-03-09,856274.87,975061.69,992779.15,937893.79
2018-03-16,852723.70,964069.29,980108.03,925292.53
2018-03-23,816326.33,929538.06,943505.90,823582.36
2018-03-30,852341.49,934295.42,941950.40,878487.85
2018-04-04,841688.62,923155.10,931407.32,881188.12
2018-04-13,850060.48,931392.94,935341.31,872187.22
2018-04-20,792538.14,905592.22,908693.17,834383.44
2018-04-27,842881.80,908743.72,907732.06,825382.54
2018-05-04,840241.30,911338.78,912013.93,823582.36
2018-05-11,852171.73,932634.51,935750.61,830783.08
2018-05-18,856233.85,941491.36,943053.63,856885.69
2018-05-25,849215.27,926159.98,922137.73,898289.83
2018-06-01,797767.26,906652.06,911045.28,825382.54
2018-06-08,822547.05,904296.52,913226.32,818181.82
2018-06-15,787898.26,890956.21,906900.23,787578.76
2018-06-22,719800.51,851996.82,871979.26,679567.96
2018-06-29,734706.22,839512.94,848319.92,708370.84
2018-07-06,705955.95,809973.74,813076.97,662466.25
2018-07-13,726906.09,834726.50,843899.55,683168.32
2018-07-20,740123.88,834162.63,843948.87,679567.96
2018-07-27,774213.53,847230.40,850794.68,726372.64
2018-08-03,734172.86,807973.12,801034.97,702070.21
2018-08-10,747827.99,824149.72,822716.69,711071.11
2018-08-17,710141.49,786899.37,780336.92,653465.35
2018-08-24,723674.49,804726.39,803463.44,670567.06
2018-08-31,721320.13,803493.72,805678.82,667866.79
2018-09-07,711575.88,796727.54,791940.42,649864.99
2018-09-14,658604.80,790636.99,783350.00,639063.91
2018-09-21,685827.70,824790.95,824037.50,647164.72
2018-09-28,688578.57,831827.23,830894.47,637263.73
2018-10-12,630480.46,768603.94,766107.11,538253.83
2018-10-19,614023.40,751961.41,757461.82,517551.76
2018-10-26,633978.97,766225.91,766809.93,529252.93
2018-11-02,692541.20,789113.62,794985.23,547254.73
2018-11-09,680382.09,766233.19,765314.12,551755.18
2018-11-16,718229.32,789890.06,787115.22,602160.22
2018-11-23,690189.53,760516.85,759522.76,609360.94
2018-11-30,691172.28,763083.19,766581.60,612061.21
2018-12-07,703707.78,768301.77,768725.88,596759.68
2018-12-14,691981.60,764720.46,764943.65,578757.88
2018-12-21,669209.50,741873.82,731958.86,557155.72
2018-12-28,661024.18,735283.00,727430.56,545454.55
2019-12-31,833837.58,899277.34,989811.32,672367.24
2019-01-11,665341.10,752953.85,747756.65,579657.97
2019-01-18,682834.41,765388.23,765490.43,576957.70
