date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000905.SZ,excess_000905.SZ
2020-02-28,0.07120385,30,-0.03232770,0.10353154,-0.07670043,0.14790428
2020-03-31,-0.11562233,30,-0.04513677,-0.07048556,-0.05329154,-0.06233079
2020-04-30,-0.01568646,30,0.03991788,-0.05560435,-0.01986755,0.00418109
2020-05-29,0.01008475,30,-0.00270307,0.01278782,0.02195946,-0.01187471
2020-06-30,0.10653343,30,0.04639082,0.06014261,0.06611570,0.04041772
2020-07-31,0.20323809,29,0.10900098,0.09423711,0.11937984,0.08385825
2020-08-31,-0.00045166,30,0.02588243,-0.02633409,-0.00277008,0.00231842
2020-09-30,-0.10831032,31,-0.05230927,-0.05600106,-0.07916667,-0.02914366
2020-10-30,-0.01318013,31,0.00201376,-0.01519389,-0.00904977,-0.00413035
2020-11-30,0.06404336,29,0.05185949,0.01218387,0.10350076,-0.03945740
2020-12-31,0.00026927,30,0.02397408,-0.02370480,-0.01103448,0.01130376
2021-01-29,-0.04856948,30,0.00287927,-0.05144875,-0.07949791,0.03092843
2021-02-26,-0.02405961,30,0.00746790,-0.03152751,0.00303030,-0.02708992
2021-03-31,0.02180032,30,-0.01914145,0.04094177,0.07854985,-0.05674953
2021-04-30,-0.12250792,31,0.00143667,-0.12394460,-0.05322129,-0.06928664
2021-05-31,0.07028579,30,0.04892020,0.02136559,0.00443787,0.06584792
2021-06-30,0.09925098,30,-0.00671566,0.10596664,-0.01914580,0.11839678
2021-07-30,-0.04039746,29,-0.05397632,0.01357886,-0.05255255,0.01215509
2021-08-31,0.12719171,30,0.04314612,0.08404558,0.05705230,0.07013941
2021-09-30,-0.00632022,30,0.00683606,-0.01315628,-0.00749625,0.00117603
2021-10-29,0.00445582,30,-0.00583793,0.01029375,-0.04229607,0.04675189
2021-11-30,0.06238670,30,0.00466578,0.05772092,0.17823344,-0.11584674
2021-12-31,-0.01580261,30,0.02129366,-0.03709627,0.00669344,-0.02249605
2022-01-28,-0.11050914,30,-0.07647057,-0.03403857,-0.05319149,-0.05731765
2022-02-28,0.02722895,30,0.03000699,-0.00277805,0.07443820,-0.04720925
2022-03-31,-0.04655500,30,-0.06068310,0.01412810,0.00653595,-0.05309095
2022-04-29,-0.21891693,31,-0.06307740,-0.15583953,-0.10909091,-0.10982602
2022-05-31,0.09491941,30,0.04573740,0.04918202,0.22594752,-0.13102811
2022-06-30,0.01966190,29,0.06659151,-0.04692961,-0.06064209,0.08030399
2022-07-29,0.01486703,30,-0.04277562,0.05764265,0.01265823,0.00220881
2022-08-31,-0.06022765,30,-0.01570755,-0.04452010,0.00750000,-0.06772765
2022-09-30,-0.06553684,30,-0.05550895,-0.01002789,-0.12158809,0.05605125
2022-10-31,-0.06322488,31,-0.04328396,-0.01994092,0.02401130,-0.08723618
2022-11-30,0.14521701,30,0.08911489,0.05610212,0.05241379,0.09280322
2022-12-30,-0.07667043,30,-0.01969876,-0.05697167,-0.05373526,-0.02293518
2023-01-31,0.04312590,30,0.05386773,-0.01074183,0.06648199,-0.02335610
2023-02-28,0.00789562,30,0.00735213,0.00054349,-0.03376623,0.04166185
2023-03-31,-0.02515982,30,-0.00205668,-0.02310314,-0.03091398,0.00575416
2023-04-28,0.00637517,30,0.01540377,-0.00902860,0.04576976,-0.03939459
2023-05-31,-0.03904373,30,-0.03572085,-0.00332288,-0.00132626,-0.03771747
2023-06-30,0.01828140,30,-0.00078079,0.01906219,0.03320053,-0.01491913
2023-07-31,0.01896815,30,0.02778756,-0.00881941,0.04370180,-0.02473365
2023-08-31,-0.05405587,30,-0.05200891,-0.00204696,-0.10221675,0.04816088
2023-09-28,-0.01887121,30,-0.00301329,-0.01585792,0.01234568,-0.03121689
2023-10-31,0.05075638,30,-0.02948254,0.08023891,-0.04878049,0.09953686
2023-11-30,0.03258815,30,0.00361144,0.02897671,0.03276353,-0.00017539
2023-12-29,-0.06255971,29,-0.01806727,-0.04449245,-0.01103448,-0.05152523
2024-01-31,-0.10854477,30,-0.06265233,-0.04589244,-0.11854951,0.01000474
2024-02-29,0.08157878,30,0.08126917,0.00030961,0.01107595,0.07050283
