date,strategy,bench_000001.SH,bench_000905.SZ
2020-01-23,998927.93,1000000.00,1000000.00
2020-02-28,1070055.44,967672.30,923299.57
2020-03-31,946333.14,923994.70,874095.51
2020-04-30,931488.52,960878.62,856729.38
2020-05-29,940882.35,958281.29,875542.69
2020-06-30,1041117.77,1002736.75,933429.81
2020-07-31,1252712.56,1112036.03,1044862.52
2020-08-31,1252146.76,1140818.22,1041968.16
2020-09-30,1116526.34,1081142.86,959479.02
2020-10-30,1101810.38,1083320.03,950795.95
2020-11-30,1172374.02,1139500.45,1049204.05
2020-12-31,1172689.71,1166818.92,1037626.63
2021-01-29,1115732.78,1170178.50,955137.48
2021-02-26,1088888.68,1178917.28,958031.84
2021-03-31,1112626.80,1156351.09,1033285.09
2021-04-30,976321.20,1158012.38,978292.33
2021-05-31,1044942.71,1214662.58,982633.86
2021-06-30,1148654.30,1206505.32,963820.55
2021-07-30,1102251.58,1141382.61,913169.32
2021-08-31,1242448.84,1190628.84,965267.73
2021-09-30,1234596.29,1198768.05,958031.84
2021-10-29,1240097.43,1191769.73,917510.85
2021-11-30,1317463.02,1197330.27,1081041.97
2021-12-31,1296643.67,1222825.82,1088277.86
2022-01-28,1153352.69,1129315.63,1030390.74
2022-02-28,1184757.27,1163202.99,1107091.17
2022-03-31,1129600.89,1092616.23,1114327.06
2022-04-29,882312.13,1023696.84,992764.11
2022-05-31,966060.68,1070518.06,1217076.70
2022-06-30,985055.27,1141805.48,1143270.62
2022-07-29,999700.12,1092964.05,1157742.40
2022-08-31,939490.53,1075796.26,1166425.47
2022-09-30,877919.29,1016079.94,1024602.03
2022-10-31,822412.95,972099.98,1049204.05
2022-11-30,941841.30,1058728.56,1104196.82
2022-12-30,869629.92,1037872.92,1044862.52
2023-01-31,907133.49,1093780.77,1114327.06
2023-02-28,914295.87,1101822.39,1076700.43
2023-03-31,891292.35,1099556.29,1043415.34
2023-04-28,896974.49,1116493.61,1091172.21
2023-05-31,861953.26,1076611.51,1089725.04
2023-06-30,877710.97,1075770.90,1125904.49
2023-07-31,894359.52,1105663.94,1175108.54
2023-08-31,846014.14,1048159.57,1054992.76
2023-09-28,830048.83,1045001.15,1068017.37
2023-10-31,872179.10,1014191.87,1015918.96
2023-11-30,900601.80,1017854.56,1049204.05
2023-12-29,844260.41,999464.71,1037626.63
2024-01-31,752620.36,936845.92,914616.50
2024-02-29,814018.21,1012982.61,924746.74
2024-03-29,815010.90,1021716.17,931982.63
2024-04-30,766109.01,1043102.70,931982.63
2024-05-31,745644.54,1037051.66,916063.68
2024-06-28,672135.82,996934.25,817655.57
2024-07-31,695958.52,987307.76,845151.95
2024-08-30,650047.03,954875.65,807525.33
2024-09-30,785830.62,1120935.97,934876.99
2024-10-31,931776.12,1101896.00,949348.77
2024-11-29,844494.08,1117562.34,966714.91
2024-12-31,784218.36,1126064.63,1036179.45
2025-01-27,762628.53,1092077.95,1039073.81
2025-02-28,749810.91,1115694.93,1005788.71
2025-03-31,717121.54,1120683.59,1094066.57
2025-04-30,643080.53,1101629.58,1069464.54
2025-05-30,697388.99,1124628.15,1153400.87
2025-06-30,730445.32,1157195.73,1164978.29
2025-07-31,766687.07,1200461.77,1201157.74
2025-08-29,875168.35,1296116.57,1280752.53
2025-09-30,831236.59,1304465.23,1186685.96
2025-10-31,882930.24,1328658.71,1512301.01
2025-11-28,831267.01,1306420.12,1564399.42
2025-12-31,906084.59,1333379.01,1891461.65
