symbol,date,open,high,low,close,volume,factor
000905,2006-03-20,6.94,7.06,6.88,7.04,4875.07,1.121
000905,2006-03-21,7.05,7.1,7.01,7.05,5517.3,1.121
000905,2006-03-22,7.05,7.15,6.99,7.11,6156.44,1.121
000905,2006-03-23,7.11,7.22,7.1,7.22,6506.58,1.121
000905,2006-03-24,7.22,7.22,7.11,7.17,6057.11,1.121
000905,2006-03-27,7.12,7.15,6.95,7.03,10902.25,1.121
000905,2006-03-28,7.04,7.15,6.98,7.11,8506.18,1.121
000905,2006-03-29,7.12,7.2,7.08,7.14,10728.8,1.121
000905,2006-03-30,7.14,7.17,7.0,7.02,8226.04,1.121
000905,2006-03-31,7.01,7.08,6.97,7.06,5801.25,1.121
000905,2006-04-21,7.76,7.76,7.32,7.36,50991.88,1.121
000905,2006-04-24,7.24,7.43,7.19,7.34,21237.36,1.121
000905,2006-04-26,7.37,7.51,7.21,7.46,24165.51,1.121
000905,2006-04-27,7.46,7.46,7.33,7.38,13377.99,1.121
000905,2006-04-28,7.35,7.56,7.26,7.49,18369.47,1.121
000905,2006-05-08,7.5,7.65,7.5,7.61,23129.02,1.121
000905,2006-05-09,7.63,7.77,7.55,7.74,28054.27,1.121
000905,2006-05-10,7.74,7.9,7.65,7.87,29627.25,1.121
000905,2006-05-11,7.88,8.08,7.76,7.81,40158.25,1.121
000905,2006-05-12,7.8,7.95,7.77,7.88,35918.54,1.121
000905,2006-05-25,7.55,7.7,7.41,7.59,30574.43,1.121
000905,2006-05-26,7.58,8.07,7.55,7.98,34911.03,1.121
000905,2006-05-29,8.0,8.49,8.0,8.35,43364.09,1.121
000905,2006-05-30,8.35,8.47,8.22,8.36,26022.29,1.121
000905,2006-05-31,8.36,8.61,8.25,8.31,26337.68,1.121
000905,2006-06-01,8.31,9.09,8.31,8.96,49635.52,1.121
000905,2006-06-02,8.99,9.0,8.69,8.81,32388.02,1.121
000905,2006-06-05,8.8,9.16,8.76,9.05,24438.82,1.121
000905,2006-06-06,9.05,9.35,9.0,9.04,28205.01,1.121
000905,2006-06-07,9.09,9.15,8.2,8.38,40861.58,1.121
000905,2006-06-08,8.3,8.79,8.3,8.78,37834.9,1.121
000905,2006-06-09,8.8,8.8,8.35,8.4,23917.11,1.121
000905,2006-06-12,8.35,8.5,8.03,8.37,13941.15,1.121
000905,2006-06-13,8.36,8.5,8.2,8.35,9650.7,1.121
000905,2006-06-14,8.35,9.19,8.14,8.89,59840.8,1.121
000905,2006-06-15,8.69,8.87,8.55,8.7,28217.88,1.121
000905,2006-06-16,8.7,9.08,8.7,8.91,24467.47,1.121
000905,2006-06-19,8.83,9.04,8.7,8.97,16684.6,1.121
000905,2006-06-20,9.08,9.2,8.91,9.17,21004.33,1.121
000905,2006-06-21,9.17,9.22,8.9,9.0,18469.67,1.121
000905,2006-06-22,8.94,8.94,8.67,8.69,12673.0,1.14
000905,2006-06-23,8.62,8.8,8.6,8.78,10063.21,1.14
000905,2006-06-26,8.78,8.99,8.74,8.94,12283.62,1.14
000905,2006-06-27,8.94,9.01,8.75,8.89,15520.76,1.14
000905,2006-06-28,8.8,8.8,8.64,8.74,12540.38,1.14
000905,2006-06-29,8.75,8.9,8.68,8.89,16512.35,1.14
000905,2006-06-30,8.88,8.92,8.69,8.7,17806.6,1.14
000905,2006-07-03,8.78,8.89,8.7,8.81,12199.1,1.14
000905,2006-07-04,8.83,9.18,8.75,8.93,27482.78,1.14
000905,2006-07-05,8.96,9.17,8.86,9.12,32573.18,1.14
000905,2006-07-06,9.12,9.36,9.1,9.18,25429.51,1.14
000905,2006-07-07,9.21,9.26,9.02,9.02,15695.62,1.14
000905,2006-07-10,9.02,9.5,9.02,9.48,29667.35,1.14
000905,2006-07-11,9.62,9.85,9.52,9.63,47609.6,1.14
000905,2006-07-12,9.59,9.76,9.5,9.55,25328.71,1.14
000905,2006-07-13,9.52,9.53,8.78,8.8,37374.73,1.14
000905,2006-07-14,8.79,8.96,8.66,8.85,14321.57,1.14
000905,2006-07-17,8.86,8.95,8.8,8.9,9311.64,1.14
000905,2006-07-18,8.9,8.95,8.71,8.94,11807.57,1.14
000905,2006-07-19,8.94,8.94,8.67,8.69,11454.82,1.14
000905,2006-07-20,8.62,8.8,8.62,8.79,6163.97,1.14
000905,2006-07-21,8.83,8.95,8.78,8.84,10983.74,1.14
000905,2006-07-24,8.79,8.86,8.6,8.76,8508.28,1.14
000905,2006-07-25,8.81,8.95,8.72,8.88,10627.85,1.14
000905,2006-07-26,9.0,9.0,8.86,8.93,7564.57,1.14
000905,2006-07-27,8.93,8.98,8.76,8.8,6202.01,1.14
000905,2006-07-28,8.82,9.21,8.71,9.2,23146.83,1.14
000905,2006-07-31,9.15,9.41,9.02,9.02,39466.58,1.14
000905,2006-08-01,8.96,9.45,8.96,9.36,33169.4,1.14
