ts_code,name,hold_periods,avg_market_value,total_market_value,avg_daily_amount_万,median_daily_amount_万,avg_turnover_rate_%,avg_circ_mv_万,avg_daily_vol_手,amihud_illiq,zero_vol_pct_%,amount_cv,data_days,industry,market,amount_bin,mv_bin
688069.SH,德林海,4,20219.5,80878.0,216.0,104.1,1.951,168720.1,5483.0,0.000157,0.0,2.058,1323,环境保护,科创板,<1000万,10-30亿
603041.SH,美思德,13,19810.46153846154,257536.0,222.4,166.7,2.785,164084.4,16844.0,8.9e-05,0.0,1.052,1942,化工原料,主板,<1000万,10-30亿
688466.SH,金科环境,1,19426.0,19426.0,241.1,116.1,3.198,133638.5,9678.0,0.000153,0.0,1.998,1374,环境保护,科创板,<1000万,10-30亿
600883.SH,博闻科技,7,17060.285714285714,119422.0,242.0,178.1,2.368,182318.5,30616.0,9.3e-05,0.0,0.964,1942,种植业,主板,<1000万,10-30亿
603001.SH,奥康国际,17,22491.117647058825,382349.0,248.1,142.2,1.875,322205.1,31759.0,9e-05,0.0,1.283,1930,服饰,主板,<1000万,30-50亿
688571.SH,杭华股份,9,35735.555555555555,321620.0,248.6,184.3,3.2,187949.6,32082.0,9.2e-05,0.0,1.451,1227,染料涂料,科创板,<1000万,10-30亿
603898.SH,好莱客,5,23379.4,116897.0,267.8,192.1,1.971,365099.4,20122.0,8e-05,0.0,1.059,1942,家居用品,主板,<1000万,30-50亿
688057.SH,金达莱,30,25826.233333333334,774787.0,275.4,160.4,1.277,266443.9,13531.0,8.2e-05,0.0,2.706,1249,环境保护,科创板,<1000万,10-30亿
601368.SH,绿城水务,6,39383.0,236298.0,277.3,179.6,1.414,436710.2,50398.0,6.3e-05,0.0,1.783,1942,水务,主板,<1000万,30-50亿
603685.SH,晨丰科技,9,18498.333333333332,166485.0,279.2,160.7,3.843,162884.4,18261.0,9.3e-05,0.0,1.185,1940,电气设备,主板,<1000万,10-30亿
605003.SH,众望布艺,6,21680.833333333332,130085.0,279.9,174.2,4.511,126140.6,12277.0,8.4e-05,0.0,1.221,1289,纺织,主板,<1000万,10-30亿
600182.SH,S佳通,3,24048.0,72144.0,285.6,211.7,1.04,269829.4,17593.0,6.3e-05,0.0,0.95,1922,汽车配件,主板,<1000万,10-30亿
688211.SH,中科微至,27,26997.62962962963,728936.0,287.3,157.4,1.551,242040.7,6440.0,9e-05,0.0,1.981,1018,专用机械,科创板,<1000万,10-30亿
603159.SH,上海亚虹,1,17680.0,17680.0,288.8,182.2,3.699,169975.3,17874.0,9.2e-05,0.0,1.123,1940,专用机械,主板,<1000万,10-30亿
600647.SH,退市同达(退),1,11504.0,11504.0,288.9,173.6,2.407,188538.7,19868.0,0.000227,0.0,1.424,1512,,主板,<1000万,10-30亿
