formation,1,2,3,4,5,6,7,8,9,10,11,12
1,1.4489436869338879,-0.013339920410380403,0.8423700068742606,0.9018707586119412,0.9594057561388389,1.8295699165549466,2.2659467737630132,2.840226078617757,2.2291601867675293,1.8527069708058257,2.4441284079793344,3.330810868897945
2,0.44777002271241306,-0.040500819892785284,0.27249287125623045,0.7860006386342419,1.4179331698149535,2.5718968109156695,3.1983509838132753,3.1071456566529054,2.2152487190271826,2.4289801540820246,3.417081862997718,3.3285879717838074
3,0.3264585630434986,-0.20561030352538093,0.05407173812825207,1.497948648243391,2.2970591190295764,3.3780832488248076,3.6088103745737756,3.1117030568330577,2.6812465836923476,3.500541888827606,3.98081710133514,3.7676127254487124
4,0.5368907907866042,0.0915007994894317,0.9127509342601404,2.5187256633067436,3.3513207209164126,3.6429275000885872,3.53757858284912,3.416321235714408,3.472174706728215,3.7506966079029307,4.123520633317431,4.051131461137348
5,0.7376141961742461,0.659713269391648,1.8560826067452223,3.52004244533776,3.9497440321208837,3.7781068231457597,4.149215477604196,4.4468351826656365,3.9255291370398684,4.175024980777753,4.666613003446432,4.4465629207942
6,1.680732754859388,1.8322498166033652,3.0351122288210037,4.181038189894408,4.137613868179262,4.366875125339118,5.13230155971733,5.021756941635616,4.522144052639523,5.021909564131821,5.347713427476459,5.129383849632534
7,2.012986914149582,2.407390866763876,2.9258603249065094,3.7294255650906916,4.257386957653369,4.83480978108771,5.187160424106089,5.222743181778629,4.896316469912719,5.0050873542856005,5.477910107349359,5.260345006266517
8,2.5023119939117167,2.331482382548242,2.6231747455962577,3.7631641690393276,4.489507672558937,4.859688082330844,5.29900010616963,5.294540261416262,4.610986471665942,4.78976721507919,5.202069320786155,4.7906415589874936
9,1.8020060479948157,1.5732162198284998,2.2063107550939804,3.811484262747965,4.090883721569082,4.5243174908319,4.878847660086607,4.67936013898853,4.230540359601538,4.571618008086802,4.6290548624409915,4.408363223896988
10,1.4632338982482105,1.8134909300374282,2.776871103110841,3.891918839056801,4.348724661942019,4.743225642963293,4.917034531605859,4.804096656162652,4.449831304361342,4.557692668880247,4.706269462599406,4.4465595616092255
11,2.084297712275761,2.611327324265771,3.1057728359435646,4.2688936312734,4.561242087441097,4.825177856735091,4.911545419898429,4.884065383182715,4.493876814356012,4.621203007674704,4.795194937830337,4.678939235712485
12,2.362860141806147,2.674034003668145,3.190493170890663,4.37022144783738,4.508052298400967,4.760775219117259,4.99282405853007,4.933253941437244,4.468408811186305,4.708699100959156,4.972249089278357,5.014695595252876
